Cell_name	Zvalue	Color	Cluster	AATF	TP53
MGH54_P2_F04	NA	black	0	0	0
MGH36_P6_A03	NA	black	0	0	0
MGH53_P1_F07	NA	black	0	0	0
MGH36_P5_H08	NA	black	0	3.3929	0
MGH54_P2_A04	NA	black	0	0	0
MGH53_P4_E11	NA	black	0	0	0
MGH53_P2_G03	NA	black	0	0	0
MGH36_P3_F04	NA	black	0	0	0
MGH54_P2_B02	NA	black	0	0	0
MGH36_P5_C07	NA	black	0	0	1.5489
MGH53_P2_E02	NA	black	0	0	0.64708
MGH54_P2_F09	NA	black	0	0	0
MGH36_P3_D05	NA	black	0	0	0
MGH36_P5_F12	NA	black	0	0	1.7761
MGH53_P2_H09	NA	black	0	0	0
MGH54_P2_F07	NA	black	0	0	0
MGH36_P5_D10	NA	black	0	0	2.2452
MGH54_P2_F11	NA	black	0	0	0
MGH53_P2_H04	NA	black	0	4.8505	0
MGH36_P6_F09	NA	black	0	0	0
MGH36_P9_F05	NA	black	0	0	0
MGH36_P8_G11	NA	black	0	0	0
MGH54_P2_A07	-0.255560260097	green3	2	3.1484	4.0269
MGH36_P7_H06	NA	black	0	0	0
MGH53_P1_A01	NA	black	0	0	0
MGH53_P1_A02	NA	black	0	0	2.1362
MGH54_P2_E07	NA	black	0	0	0
MGH53_P4_F07	NA	black	0	2.9971	0
MGH53_P2_C05	NA	black	0	0	0
MGH53_P4_H07	NA	black	0	0	0.75702
MGH53_P2_C06	NA	black	0	0	0
MGH36_P3_F03	NA	black	0	0	0
MGH36_P2_A10	NA	black	0	0	0
MGH53_P4_E03	NA	black	0	5.0295	0
MGH36_P9_D12	NA	black	0	0	0
MGH54_P2_H03	NA	black	0	0	0
MGH36_P4_D06	NA	black	0	0	0
MGH53_P2_B03	-0.284013620883	green3	2	3.0801	4.0026
MGH53_P4_F03	NA	black	0	0	4.7812
MGH36_P10_E09	NA	black	0	0	3.8736
MGH53_P1_G02	NA	black	0	0	0.27501
MGH54_P2_A02	NA	black	0	0	0
MGH36_P3_A07	0.11237146584	green3	2	2.9283	2.4335
MGH53_P4_E12	0.662662142516	green3	2	3.03	0.14926
MGH54_P2_A03	NA	black	0	0	3.3296
MGH53_P4_E10	NA	black	0	2.024	0
MGH54_P2_D08	NA	black	0	0	0
MGH36_P8_A02	NA	black	0	0	0
MGH54_P2_B07	-0.291137351957	green3	2	4.0235	0.98477
MGH53_P1_B10	NA	black	0	0	0
MGH53_P2_F08	NA	black	0	0.72509	0
MGH36_P10_A01	NA	black	0	0	0.41468
MGH36_P10_F01	NA	black	0	0	0
MGH53_P4_G03	NA	black	0	0	0
MGH53_P1_F12	NA	black	0	0	0
MGH36_P4_B03	NA	black	0	0	0
MGH54_P2_C07	NA	black	0	0	0
MGH53_P1_B02	NA	black	0	0	0
MGH54_P2_D05	NA	black	0	0	0
MGH53_P2_C08	NA	black	0	0	0
MGH53_P4_H09	-0.353076879865	green3	2	4.9513	2.169
MGH36_P8_H02	NA	black	0	0	0
MGH36_P10_H10	NA	black	0	1.4683	0
MGH53_P1_A12	0.463131209317	green3	2	4.4097	4.3182
MGH36_P8_F08	NA	black	0	0	0
MGH53_P1_D10	NA	black	0	0	0
MGH53_P4_A09	NA	black	0	0	0
MGH53_P2_H08	-0.634788132313	green3	2	2.4977	4.1332
MGH36_P4_A09	NA	black	0	0	0
MGH53_P4_C08	NA	black	0	4.9245	0
MGH36_P5_E04	NA	black	0	0	0.19661
MGH53_P2_A07	NA	black	0	0	0
MGH54_P2_G10	NA	black	0	2.019	0
MGH36_P7_E06	NA	black	0	0	0
MGH36_P9_D04	2.97044549567	black	0	0.67717	0.3584
MGH53_P1_C12	NA	black	0	0	0
MGH36_P8_F06	NA	black	0	0	0
MGH36_P1_G11	NA	black	0	1.3254	0
MGH53_P1_F02	NA	black	0	0	0
MGH54_P2_D10	NA	black	0	0	0
MGH36_P9_A08	NA	black	0	0	3.2037
MGH53_P2_H03	NA	black	0	0	4.2739
MGH53_P4_B03	NA	black	0	0	4.5934
MGH53_P1_F10	-0.752203506602	green3	2	2.437	4.2987
MGH53_P4_B05	NA	black	0	0	0.26903
MGH53_P2_B08	NA	black	0	0	0
MGH36_P3_B06	NA	black	0	0	0
MGH36_P10_C02	NA	black	0	0	0
MGH36_P2_E05	NA	black	0	3.7083	0
MGH54_P2_G09	NA	black	0	0	0
MGH54_P2_D12	NA	black	0	0	0
MGH53_P2_H02	-0.961504657973	red	1	1.5084	3.8871
MGH36_P8_F11	NA	black	0	0	0
MGH53_P2_A10	-1.1728228533	red	1	4.7837	0.34823
MGH54_P2_E09	NA	black	0	3.9711	0
MGH36_P3_H06	NA	black	0	0	0
MGH36_P5_D05	NA	black	0	0	0
MGH54_P2_A11	NA	black	0	0	1.6088
MGH54_P2_G04	NA	black	0	0	0
MGH36_P6_C01	NA	black	0	0	0.20539
MGH53_P2_E06	NA	black	0	5.0242	0
MGH53_P1_E01	NA	black	0	0	0
MGH36_P1_B01	0.424726060775	green3	2	6.0102	3.2681
MGH54_P2_H04	NA	black	0	2.7093	0
MGH36_P2_C05	NA	black	0	0	5.8083
MGH36_P6_H05	NA	black	0	0	0.13881
MGH36_P10_E06	NA	black	0	4.087	0
MGH54_P2_F03	NA	black	0	0	0.30568
MGH36_P4_B10	NA	black	0	0	0
MGH54_P2_F02	NA	black	0	0.50182	0
MGH36_P2_E11	NA	black	0	0	0
MGH54_P2_D11	NA	black	0	0	0
MGH54_P2_G01	NA	black	0	0	2.9477
MGH36_P9_D02	NA	black	0	0	0
MGH54_P2_E06	NA	black	0	0	0
MGH54_P16_F12	NA	black	0	4.8424	0
MGH53_P5_C12	NA	black	0	0	0
MGH54_P12_C10	NA	black	0	0	0
MGH54_P16_F02	NA	black	0	4.4882	0
MGH54_P11_C11	NA	black	0	0	0
MGH53_P1_E03	0.593756845446	green3	2	5.2333	3.7387
MGH54_P15_D06	NA	black	0	0	0
MGH54_P14_F05	NA	black	0	0	0
MGH54_P16_A03	NA	black	0	4.2791	0
MGH53_P4_G11	NA	black	0	0	0
MGH53_P7_B09	NA	black	0	0	0
MGH54_P17_D11	NA	black	0	3.3971	0
MGH54_P10_G04	NA	black	0	0	0
MGH54_P10_C06	NA	black	0	0	0
MGH53_P2_A02	NA	black	0	0	0
MGH53_P4_F06	NA	black	0	0	0
MGH53_P7_F07	NA	black	0	2.7069	0
MGH53_P11_F06	-0.879011633395	red	1	4.8282	1.0321
MGH53_P5_G02	NA	black	0	0	0
MGH53_P1_F09	NA	black	0	4.2914	0
MGH53_P11_H03	NA	black	0	0	0
MGH53_P10_D11	NA	black	0	0	0
MGH53_P1_A10	NA	black	0	0	0
MGH53_P4_B12	NA	black	0	5.5781	0
MGH53_P5_H09	NA	black	0	2.3832	0
MGH53_P9_D07	NA	black	0	4.0584	0
MGH53_P11_E03	NA	black	0	0	0
MGH53_P1_C02	NA	black	0	0	0
MGH53_P10_F11	NA	black	0	0	0
MGH53_P1_E02	NA	black	0	1.6686	0
MGH53_P1_D07	NA	black	0	0	0
MGH53_P6_B01	NA	black	0	0	0
MGH53_P2_G04	NA	black	0	0	0
MGH53_P1_C05	NA	black	0	0	0
MGH53_P2_G09	NA	black	0	4.7517	0
MGH53_P5_A05	NA	black	0	0	0
MGH53_P5_F04	NA	black	0	0	0
MGH53_P10_H03	NA	black	0	0	0
MGH53_P11_F08	NA	black	0	5.2847	0
MGH54_P7_F12	NA	black	0	0	0
MGH53_P8_F03	NA	black	0	0	0
MGH53_P11_A07	NA	black	0	3.8402	0
MGH53_P6_B11	-1.59797355024	red	1	5.1302	0.23511
MGH53_P4_C07	NA	black	0	0	0.28688
MGH53_P6_H06	NA	black	0	2.9343	0
MGH36_P1_A01	0.584663627556	green3	2	1.8221	2.0275
MGH36_P1_A02	0.488332733517	green3	2	4.2435	4.8613
MGH36_P1_A03	0.661627097209	green3	2	4.9508	4.0651
MGH36_P1_A04	NA	black	0	0	2.4065
MGH36_P1_A05	NA	black	0	0	0
MGH36_P1_A06	NA	black	0	0	5.0691
MGH36_P1_A08	-0.250098075223	green3	2	4.9429	2.3567
MGH36_P1_A10	NA	black	0	0	3.2981
MGH36_P1_A12	NA	black	0	2.9977	0
MGH36_P1_B02	1.55843015917	blue	3	1.315	1.1757
MGH36_P1_B03	NA	black	0	0	4.5424
MGH36_P1_B04	-0.263984085565	green3	2	4.4858	2.0604
MGH36_P1_B06	-0.200455541852	green3	2	0.069015	2.9292
MGH36_P1_B07	NA	black	0	3.5886	0
MGH36_P1_B08	NA	black	0	2.779	0
MGH36_P1_B09	-0.825311367938	green3	2	4.9776	1.3283
MGH36_P1_B10	0.11783612089	green3	2	4.5783	3.1304
MGH36_P1_B11	NA	black	0	0	1.4859
MGH36_P1_B12	0.822570116547	green3	2	2.2531	1.3713
MGH36_P1_C01	NA	black	0	0	5.1915
MGH36_P1_C03	-0.285044287753	green3	2	3.8848	0.073135
MGH36_P1_C05	NA	black	0	0	1.6225
MGH36_P1_C06	0.23361380415	green3	2	4.631	3.4018
MGH36_P1_C07	NA	black	0	0.42223	0
MGH36_P1_C08	NA	black	0	0	0
MGH36_P1_C09	NA	black	0	0	3.6827
MGH36_P1_C10	NA	black	0	1.9844	0
MGH36_P1_C11	NA	black	0	1.4136	0
MGH36_P1_D01	NA	black	0	0	0
MGH36_P1_D02	NA	black	0	0	0.13488
MGH36_P1_D03	0.037961811451	green3	2	3.717	4.4639
MGH36_P1_D04	NA	black	0	0	0
MGH36_P1_D06	NA	black	0	0	3.6988
MGH36_P1_D07	NA	black	0	3.2476	0
MGH36_P1_D08	NA	black	0	5.0839	0
MGH36_P1_D09	NA	black	0	0	0
MGH36_P1_D11	NA	black	0	0	2.2531
MGH36_P1_F01	1.11059734811	green3	2	5.0538	4.761
MGH36_P1_F02	2.63928001411	black	0	1.2714	0.088142
MGH36_P1_F03	NA	black	0	4.7949	0
MGH36_P1_F04	NA	black	0	0	3.2497
MGH36_P1_F05	NA	black	0	4.9357	0
MGH36_P1_F06	NA	black	0	0	5.2147
MGH36_P1_F08	0.139855943132	green3	2	3.4408	1.1104
MGH36_P1_F11	NA	black	0	0	0
MGH36_P1_F12	NA	black	0	0	1.9415
MGH36_P1_G02	NA	black	0	0	3.632
MGH36_P1_G03	NA	black	0	0	4.5592
MGH36_P1_G04	NA	black	0	0	0
MGH36_P1_G07	NA	black	0	4.6181	0
MGH36_P1_G08	NA	black	0	0	0
MGH36_P1_G09	NA	black	0	0	0
MGH36_P1_H02	NA	black	0	0	0.72857
MGH36_P1_H03	0.114128833622	green3	2	4.3144	3.2385
MGH36_P1_H04	NA	black	0	0	4.6399
MGH36_P1_H05	NA	black	0	0	1.224
MGH36_P1_H06	0.390265923602	green3	2	4.0057	5.6264
MGH36_P1_H07	2.62646740295	black	0	1.1947	0.1865
MGH36_P1_H09	NA	black	0	0	0
MGH36_P1_H10	NA	black	0	0	2.1194
MGH36_P3_A01	NA	black	0	4.5689	0
MGH36_P3_A02	NA	black	0	5.3572	0
MGH36_P3_A03	NA	black	0	4.6858	0
MGH36_P3_A04	-0.0602381638764	green3	2	4.9638	2.7135
MGH36_P3_A05	NA	black	0	0	0.84077
MGH36_P3_A08	NA	black	0	0	1.2916
MGH36_P3_A09	NA	black	0	1.7364	0
MGH36_P3_A10	NA	black	0	0	4.9855
MGH36_P3_A12	NA	black	0	5.1617	0
MGH36_P3_B02	-0.261447637361	green3	2	5.1173	2.3945
MGH36_P3_B03	-1.27854898314	red	1	6.0652	1.5519
MGH36_P3_B04	-2.15884141761	black	0	5.7312	0.33113
MGH36_P3_B09	0.0753059277271	green3	2	2.5878	2.6376
MGH36_P3_B10	NA	black	0	3.5406	0
MGH36_P3_B11	3.2097259398	black	0	0.27262	0.47612
MGH36_P3_B12	NA	black	0	0	1.1744
MGH36_P3_C01	NA	black	0	0	0
MGH36_P3_C03	-0.784877304385	green3	2	4.594	0.83269
MGH36_P3_C04	NA	black	0	1.91	0
MGH36_P3_C05	-2.41190670493	black	0	6.4142	0.72596
MGH36_P3_C06	-0.365184472315	green3	2	5.3883	2.319
MGH36_P3_C08	NA	black	0	0	0.31034
MGH36_P3_C11	NA	black	0	4.8733	0
MGH36_P3_C12	NA	black	0	3.4778	0
MGH36_P3_D01	NA	black	0	0	0
MGH36_P3_D02	NA	black	0	3.638	0
MGH36_P3_D03	NA	black	0	0	0.86076
MGH36_P3_D04	NA	black	0	0	2.8102
MGH36_P3_D07	NA	black	0	5.4779	0
MGH36_P3_D08	NA	black	0	0	0
MGH36_P3_D09	NA	black	0	0	2.726
MGH36_P3_D11	0.154142088312	green3	2	4.0725	3.716
MGH36_P3_E02	NA	black	0	0	0
MGH36_P3_E04	NA	black	0	3.6586	0
MGH36_P3_E05	0.81114284788	green3	2	2.3796	1.2491
MGH36_P3_E06	NA	black	0	0	3.4505
MGH36_P3_E07	NA	black	0	0	2.9685
MGH36_P3_E08	NA	black	0	4.4403	0
MGH36_P3_E09	1.51822912556	blue	3	2.2163	0.20914
MGH36_P3_E10	NA	black	0	0	0
MGH36_P3_E11	NA	black	0	0	0
MGH36_P3_E12	NA	black	0	0	0.16607
MGH36_P3_F01	NA	black	0	0	0
MGH36_P3_F02	NA	black	0	0	0
MGH36_P3_F05	NA	black	0	0	2.4787
MGH36_P3_F06	NA	black	0	0	0
MGH36_P3_F07	NA	black	0	5.6346	0
MGH36_P3_F08	NA	black	0	0	3.3387
MGH36_P3_F09	NA	black	0	0	0.28806
MGH36_P3_F10	NA	black	0	0	0
MGH36_P3_F11	NA	black	0	0	0.18269
MGH36_P3_F12	NA	black	0	0	0
MGH36_P3_G01	NA	black	0	0.52306	0
MGH36_P3_G02	NA	black	0	0	0
MGH36_P3_G03	NA	black	0	0	0
MGH36_P3_G04	NA	black	0	0	0
MGH36_P3_G05	NA	black	0	0	0
MGH36_P3_G06	NA	black	0	0	0
MGH36_P3_G08	NA	black	0	0	0.70841
MGH36_P3_G09	NA	black	0	0	4.537
MGH36_P3_G10	NA	black	0	0	0.36401
MGH36_P3_G11	NA	black	0	0	0
MGH36_P3_G12	NA	black	0	0	0.58111
MGH36_P3_H03	NA	black	0	5.8683	0
MGH36_P3_H04	NA	black	0	0	1.9631
MGH36_P3_H05	-1.26211326295	red	1	5.062	0.67807
MGH36_P3_H07	NA	black	0	0	0.26424
MGH36_P3_H08	0.921196851249	green3	2	5.4064	4.105
MGH36_P3_H11	NA	black	0	0	0.43082
MGH36_P3_H12	NA	black	0	0	0
MGH36_P4_A01	NA	black	0	0	0
MGH36_P4_A02	NA	black	0	0	0.8953
MGH36_P4_A03	-0.0781678346008	green3	2	3.762	1.2576
MGH36_P4_A04	NA	black	0	0	0
MGH36_P4_A06	NA	black	0	3.804	0
MGH36_P4_A07	NA	black	0	0	2.5526
MGH36_P4_A08	NA	black	0	0	0
MGH36_P4_A11	NA	black	0	0	1.7638
MGH36_P4_A12	NA	black	0	0	0.42331
MGH36_P4_B02	NA	black	0	5.5899	0
MGH36_P4_B04	NA	black	0	5.2267	0
MGH36_P4_B05	-0.407559599143	green3	2	4.9784	2.0837
MGH36_P4_B06	2.98653194978	black	0	0.75275	0.28096
MGH36_P4_B08	NA	black	0	0	0.23634
MGH36_P4_B09	NA	black	0	0	2.497
MGH36_P4_B12	NA	black	0	0	0.17632
MGH36_P4_C02	NA	black	0	0	0
MGH36_P4_C03	NA	black	0	0	3.772
MGH36_P4_C04	NA	black	0	0	0
MGH36_P4_C05	NA	black	0	0	3.3416
MGH36_P4_C06	NA	black	0	0	0
MGH36_P4_C07	NA	black	0	0	0
MGH36_P4_C08	NA	black	0	0	0
MGH36_P4_C10	0.645257146745	green3	2	4.3374	5.1489
MGH36_P4_C11	NA	black	0	0	0
MGH36_P4_C12	0.353449624081	green3	2	5.5671	3.276
MGH36_P4_D01	NA	black	0	0	0
MGH36_P4_D02	NA	black	0	5.2375	0
MGH36_P4_D05	0.448218677701	green3	2	3.1654	0.50284
MGH36_P4_D07	NA	black	0	0	0
MGH36_P4_D08	0.169867203074	green3	2	4.573	3.2695
MGH36_P4_D09	NA	black	0	0	2.6376
MGH36_P4_D10	NA	black	0	6.8318	0
MGH36_P4_D11	-0.0998929894359	green3	2	5.1975	2.6697
MGH36_P4_D12	NA	black	0	0	1.3929
MGH36_P4_E01	NA	black	0	4.9338	0
MGH36_P4_E02	NA	black	0	0	0
MGH36_P4_E04	NA	black	0	0	0
MGH36_P4_E06	NA	black	0	0	2.2076
MGH36_P4_E07	-0.262214619243	green3	2	0.24853	2.9815
MGH36_P4_E08	NA	black	0	0	5.2164
MGH36_P4_E09	NA	black	0	0	0
MGH36_P4_E10	NA	black	0	0	0
MGH36_P4_E11	NA	black	0	0	2.2182
MGH36_P4_E12	NA	black	0	0	0
MGH36_P4_F01	NA	black	0	3.8451	0
MGH36_P4_F02	NA	black	0	0	2.5457
MGH36_P4_F03	NA	black	0	0	0
MGH36_P4_F04	NA	black	0	0	0.25942
MGH36_P4_F05	NA	black	0	0	0
MGH36_P4_F06	NA	black	0	0	0
MGH36_P4_F07	NA	black	0	0	0
MGH36_P4_F09	NA	black	0	6.4446	0
MGH36_P4_F10	NA	black	0	2.5013	0
MGH36_P4_F11	NA	black	0	0	0.45207
MGH36_P4_F12	NA	black	0	0	0
MGH36_P4_G01	NA	black	0	0	6.0368
MGH36_P4_G02	NA	black	0	0	0
MGH36_P4_G03	NA	black	0	0	0
MGH36_P4_G04	NA	black	0	4.4352	0
MGH36_P4_G05	NA	black	0	0	0
MGH36_P4_G06	0.416833785848	green3	2	4.288	4.4309
MGH36_P4_G08	-0.229748878121	green3	2	5.2898	2.4875
MGH36_P4_G09	NA	black	0	0	0
MGH36_P4_G10	-1.03736611562	red	1	4.852	0.7536
MGH36_P4_G11	-1.35783328073	red	1	5.0261	0.45733
MGH36_P4_H01	NA	black	0	5.28	0
MGH36_P4_H02	NA	black	0	0	0
MGH36_P4_H03	NA	black	0	0	0
MGH36_P4_H04	0.238681779702	green3	2	3.2766	1.224
MGH36_P4_H05	NA	black	0	0	2.3268
MGH36_P4_H09	-0.0734457154046	green3	2	4.4473	2.5984
MGH36_P4_H12	NA	black	0	0	0
MGH36_P6_A02	NA	black	0	0	2.9964
MGH36_P6_A04	NA	black	0	0	0.16479
MGH36_P6_A05	NA	black	0	4.5254	0
MGH36_P6_A07	NA	black	0	4.4385	0
MGH36_P6_A08	NA	black	0	0	0
MGH36_P6_A09	NA	black	0	0	0
MGH36_P6_A10	NA	black	0	0	0
MGH36_P6_A11	NA	black	0	0	0.31383
MGH36_P6_B03	NA	black	0	0	0
MGH36_P6_B04	NA	black	0	1.0122	0
MGH36_P6_B05	-0.196779893922	green3	2	3.8757	0.81394
MGH36_P6_B06	NA	black	0	0	1.6069
MGH36_P6_B10	NA	black	0	0	0
MGH36_P6_B11	-0.203833477847	green3	2	4.0656	1.6503
MGH36_P6_B12	NA	black	0	1.4875	0
MGH36_P6_C02	NA	black	0	4.9266	0
MGH36_P6_C03	NA	black	0	5.9326	0
MGH36_P6_C04	NA	black	0	4.6703	0
MGH36_P6_C05	NA	black	0	3.414	0
MGH36_P6_C06	NA	black	0	0	0
MGH36_P6_C07	NA	black	0	0	0
MGH36_P6_C08	-0.42326991314	green3	2	2.3533	3.5953
MGH36_P6_C09	NA	black	0	0	1.2485
MGH36_P6_C11	NA	black	0	0	2.899
MGH36_P6_C12	NA	black	0	0	4.0614
MGH36_P6_D01	NA	black	0	0	0
MGH36_P6_D02	NA	black	0	0	0
MGH36_P6_D03	NA	black	0	4.6294	0
MGH36_P6_D04	NA	black	0	0	4.0267
MGH36_P6_D05	NA	black	0	0	0.21288
MGH36_P6_D06	NA	black	0	0	2.1276
MGH36_P6_D07	NA	black	0	0	0
MGH36_P6_D08	NA	black	0	0	0.42008
MGH36_P6_D10	NA	black	0	0	0
MGH36_P6_D11	NA	black	0	0.22651	0
MGH36_P6_E02	NA	black	0	0	0
MGH36_P6_E03	NA	black	0	0	0
MGH36_P6_E04	0.0128908975932	green3	2	3.6892	3.779
MGH36_P6_E05	NA	black	0	0	0
MGH36_P6_E06	NA	black	0	5.185	0
MGH36_P6_E07	NA	black	0	2.4988	0
MGH36_P6_E08	NA	black	0	0	0
MGH36_P6_E09	NA	black	0	0	0
MGH36_P6_E10	NA	black	0	0	4.3926
MGH36_P6_E11	NA	black	0	0	0
MGH36_P6_E12	NA	black	0	0	0
MGH36_P6_F01	-0.923083316099	red	1	4.9835	1.1596
MGH36_P6_F04	NA	black	0	1.355	0
MGH36_P6_F06	NA	black	0	3.5232	0
MGH36_P6_F07	2.45012118105	black	0	1.2957	0.25822
MGH36_P6_F08	NA	black	0	6.0898	0
MGH36_P6_F10	NA	black	0	0	4.9984
MGH36_P6_F12	NA	black	0	4.5806	0
MGH36_P6_G01	NA	black	0	6.3362	0
MGH36_P6_G02	NA	black	0	0	0
MGH36_P6_G03	NA	black	0	1.9015	0
MGH36_P6_G04	NA	black	0	0	0
MGH36_P6_G05	NA	black	0	0	0
MGH36_P6_G06	NA	black	0	1.1789	0
MGH36_P6_G07	NA	black	0	0	0
MGH36_P6_G08	NA	black	0	0	0.6951
MGH36_P6_G09	NA	black	0	0	0
MGH36_P6_G10	NA	black	0	0	0.15316
MGH36_P6_G11	0.183329536775	green3	2	3.3564	1.251
MGH36_P6_G12	NA	black	0	0	0.53506
MGH36_P6_H06	NA	black	0	3.9196	0
MGH36_P6_H07	NA	black	0	0	0
MGH36_P6_H10	NA	black	0	5.1314	0
MGH36_P6_H12	NA	black	0	0	0
MGH36_P7_A01	NA	black	0	0	0.46989
MGH36_P7_A02	NA	black	0	0	0
MGH36_P7_A03	NA	black	0	5.4744	0
MGH36_P7_A04	NA	black	0	0	0
MGH36_P7_A06	-0.270786041956	green3	2	3.1564	4.1183
MGH36_P7_A07	NA	black	0	0	0
MGH36_P7_A08	NA	black	0	3.9881	0
MGH36_P7_A09	NA	black	0	0	0.83431
MGH36_P7_A10	NA	black	0	0.26544	0
MGH36_P7_A11	NA	black	0	5.0291	0
