Cell_name	Zvalue	Color	Cluster	ADRA1A	SP1
MGH53_P2_E05	NA	black	0	0.4957	0
MGH36_P4_H11	NA	black	0	1.0036	0
MGH53_P1_B01	NA	black	0	0.70929	0
MGH54_P2_G03	-1.32578219146	red	1	0.3115	3.2997
MGH53_P2_F12	NA	black	0	0.64247	0
MGH36_P4_C09	0.251476914305	green3	2	0.78325	0.76214
MGH36_P5_C08	NA	black	0	1.1947	0
MGH36_P4_H06	NA	black	0	0.55287	0
MGH36_P10_E01	NA	black	0	0.43082	0
MGH36_P8_E12	NA	black	0	0	0
MGH53_P2_C10	NA	black	0	1.0503	0
MGH36_P4_H08	NA	black	0	0.87027	0
MGH36_P7_F07	0.184495323881	green3	2	0.68975	1.0902
MGH54_P2_A09	NA	black	0	1.0158	0
MGH36_P6_H11	NA	black	0	0.28333	0
MGH53_P2_E12	NA	black	0	0	0
MGH53_P1_F08	-0.32089799356	green3	2	0.87814	2.7949
MGH36_P6_D12	0.182968278586	green3	2	0.99204	0.17632
MGH36_P2_H09	NA	black	0	1.005	0
MGH53_P1_C01	NA	black	0	0.41468	0
MGH53_P2_F11	NA	black	0	1.0482	0
MGH36_P6_H04	0.736765334803	green3	2	0.5656	0.075875
MGH36_P5_G05	NA	black	0	0.75702	0
MGH53_P4_B04	NA	black	0	0.93357	0
MGH53_P1_E05	NA	black	0	0.83188	0
MGH36_P10_A08	NA	black	0	0	0
MGH36_P9_G01	NA	black	0	0	0
MGH53_P4_A06	0.504979405666	green3	2	0.65535	0.36289
MGH36_P6_B09	NA	black	0	0	0
MGH54_P2_D09	NA	black	0	1.0328	0
MGH53_P1_E06	NA	black	0	0.42008	0
MGH36_P4_A10	NA	black	0	0.77484	0
MGH36_P6_B02	NA	black	0	1.1017	0
MGH53_P4_G06	0.123934650149	green3	2	0.82375	1.119
MGH36_P8_F01	NA	black	0	0.61542	0
MGH36_P9_F06	NA	black	0	1.0222	0
MGH36_P5_H04	NA	black	0	0.38736	0
MGH53_P1_B03	-0.323297165503	green3	2	0.93885	3.1047
MGH53_P2_D05	NA	black	0	0.55582	0
MGH36_P4_G12	0.00140124933144	green3	2	1.1309	1.4993
MGH53_P2_D11	NA	black	0	0	2.9804
MGH53_P4_C02	NA	black	0	0	0.09356
MGH53_P4_F04	NA	black	0	0.28806	0
MGH36_P3_D10	NA	black	0	1.5656	0
MGH54_P2_F04	NA	black	0	1.0628	0
MGH36_P6_A03	NA	black	0	0.4916	0
MGH53_P1_F07	0.687445502165	green3	2	0.49978	0.31846
MGH36_P5_H08	NA	black	0	0.15445	0
MGH54_P2_A04	NA	black	0	1.0587	0
MGH53_P4_E11	NA	black	0	0.77821	0
MGH53_P2_G03	NA	black	0	0.73812	0
MGH36_P3_F04	NA	black	0	0.29514	0
MGH54_P2_B02	NA	black	0	0	0
MGH36_P5_C07	NA	black	0	0.72334	0
MGH53_P2_E02	-0.0123309168128	green3	2	1.0772	1.7185
MGH54_P2_F09	NA	black	0	0.69599	0
MGH36_P3_D05	NA	black	0	1.1583	0
MGH36_P5_F12	NA	black	0	0.52406	0
MGH53_P2_H09	NA	black	0	0.76043	0
MGH54_P2_F07	NA	black	0	0.70752	0
MGH36_P5_D10	NA	black	0	0.23879	0
MGH54_P2_F11	0.871906371351	green3	2	0.35502	0.27023
MGH53_P2_H04	NA	black	0	0.64062	0
MGH36_P6_F09	NA	black	0	1.0752	0
MGH36_P9_F05	NA	black	0	0.68347	0
MGH36_P8_G11	-0.478481528358	green3	2	0.46362	2.3237
MGH54_P2_A07	NA	black	0	0.74502	0
MGH36_P7_H06	NA	black	0	0.38957	0
MGH53_P1_A01	NA	black	0	0	0.066261
MGH53_P1_A02	NA	black	0	0	0
MGH54_P2_E07	NA	black	0	1.0236	0
MGH53_P4_F07	-0.808055147657	green3	2	0.52507	2.9727
MGH53_P2_C05	NA	black	0	0.28451	0
MGH53_P4_H07	NA	black	0	0.29514	0
MGH53_P2_C06	0.585109820634	green3	2	0.6173	0.27023
MGH36_P3_F03	NA	black	0	0.57337	0
MGH36_P2_A10	0.231923275989	green3	2	0.3115	1.224
MGH53_P4_E03	-0.495014250938	green3	2	1.5709	0.21785
MGH36_P9_D12	NA	black	0	0	0
MGH54_P2_H03	NA	black	0	0.67627	0
MGH36_P4_D06	NA	black	0	0.56657	0
MGH53_P2_B03	NA	black	0	0.62199	0
MGH53_P4_F03	0.243130396126	green3	2	0.44467	1.1486
MGH36_P10_E09	NA	black	0	0	0
MGH53_P1_G02	NA	black	0	0	0
MGH54_P2_A02	NA	black	0	0	0
MGH36_P3_A07	NA	black	0	0.43403	0
MGH53_P4_E12	NA	black	0	0.14796	0
MGH54_P2_A03	NA	black	0	0.66721	0
MGH53_P4_E10	NA	black	0	0	0
MGH54_P2_D08	NA	black	0	1.1084	0
MGH36_P8_A02	NA	black	0	0	0
MGH54_P2_B07	NA	black	0	2.2522	0
MGH53_P1_B10	NA	black	0	0.24853	0
MGH53_P2_F08	NA	black	0	0	0
MGH36_P10_A01	NA	black	0	0	2.1535
MGH36_P10_F01	NA	black	0	0.48027	0
MGH53_P4_G03	-0.133221219304	green3	2	0.91915	2.167
MGH53_P1_F12	-0.902356306683	green3	2	0.63413	3.4439
MGH36_P4_B03	NA	black	0	1.2234	0
MGH54_P2_C07	NA	black	0	0.50182	0
MGH53_P1_B02	0.625994567949	green3	2	0.60786	0.20289
MGH54_P2_D05	NA	black	0	1.3668	0
MGH53_P2_C08	-0.169872639312	green3	2	0.83269	2.1332
MGH53_P4_H09	0.0550788926922	green3	2	0.74846	1.3929
MGH36_P8_H02	0.146911806921	green3	2	1.3511	2.5028
MGH36_P10_H10	NA	black	0	0.96199	0
MGH53_P1_A12	NA	black	0	0.75531	0
MGH36_P8_F08	NA	black	0	0.301	0
MGH53_P1_D10	NA	black	0	0	0
MGH53_P4_A09	NA	black	0	0.48954	0
MGH53_P2_H08	NA	black	0	1.6558	0
MGH36_P4_A09	NA	black	0	0.43189	0
MGH53_P4_C08	NA	black	0	0.84077	0
MGH36_P5_E04	-0.204692081661	green3	2	0.89685	2.4109
MGH53_P2_A07	NA	black	0	1.1525	0
MGH54_P2_G10	NA	black	0	0.54794	0
MGH36_P7_E06	NA	black	0	0.49467	0
MGH36_P9_D04	NA	black	0	0.63413	0
MGH53_P1_C12	-0.00672308425866	green3	2	0.42116	1.5524
MGH36_P8_F06	NA	black	0	0.34255	0
MGH36_P1_G11	NA	black	0	0.1776	0
MGH53_P1_F02	NA	black	0	0.56949	0
MGH54_P2_D10	NA	black	0	0.25338	0
MGH36_P9_A08	NA	black	0	0	0
MGH53_P2_H03	NA	black	0	0.37962	0
MGH53_P4_B03	NA	black	0	0.66721	0
MGH53_P1_F10	0.697063808689	green3	2	0.43723	0.41143
MGH53_P4_B05	0.173298824235	green3	2	0.38184	1.2839
MGH53_P2_B08	NA	black	0	0.4678	0
MGH36_P3_B06	NA	black	0	1.0922	0
MGH36_P10_C02	NA	black	0	1.0391	0
MGH36_P2_E05	NA	black	0	0.61542	0
MGH54_P2_G09	-0.873234660629	green3	2	0.67265	3.5189
MGH54_P2_D12	NA	black	0	0.29748	0
MGH53_P2_H02	NA	black	0	0.63506	0
MGH36_P8_F11	-0.901933191679	green3	2	0.52507	3.1345
MGH53_P2_A10	NA	black	0	0.70841	0
MGH54_P2_E09	NA	black	0	0.25217	0
MGH36_P3_H06	NA	black	0	0.852	0
MGH36_P5_D05	NA	black	0	0.74502	0
MGH54_P2_A11	NA	black	0	0.72159	0
MGH54_P2_G04	NA	black	0	0.65444	0
MGH36_P6_C01	NA	black	0	0.69955	0
MGH53_P2_E06	NA	black	0	0.26544	0
MGH53_P1_E01	0.309503690435	green3	2	0.73985	0.67987
MGH36_P1_B01	NA	black	0	0.48543	0
MGH54_P2_H04	NA	black	0	0.36849	0
MGH36_P2_C05	NA	black	0	0.87971	0
MGH36_P6_H05	0.099488807018	green3	2	1.0663	0.084064
MGH36_P10_E06	NA	black	0	1.1309	0
MGH54_P2_F03	0.540695831619	green3	2	0.34255	0.77062
MGH36_P4_B10	NA	black	0	0.53605	0
MGH54_P2_F02	-0.760501865779	green3	2	0.47301	2.7918
MGH36_P2_E11	NA	black	0	0.51197	0
MGH54_P2_D11	NA	black	0	0.68257	0
MGH54_P2_G01	NA	black	0	0.31615	0
MGH36_P9_D02	NA	black	0	0	0.30918
MGH54_P2_E06	NA	black	0	0.22774	0
MGH54_P16_F12	NA	black	0	0	0.084064
MGH53_P5_C12	NA	black	0	0.96051	0
MGH54_P12_C10	-0.16143436432	green3	2	0.72421	1.9683
MGH54_P16_F02	NA	black	0	0	0
MGH54_P11_C11	0.25622556188	green3	2	0.55483	1.0524
MGH53_P1_E03	NA	black	0	0.30217	0
MGH54_P15_D06	0.987094349359	green3	2	0.34823	0.11103
MGH54_P14_F05	0.640463593473	green3	2	0.43723	0.50487
MGH54_P16_A03	NA	black	0	0	0
MGH53_P4_G11	NA	black	0	0.60027	0
MGH53_P7_B09	NA	black	0	0.81229	0
MGH54_P17_D11	0.833780161819	green3	2	0.32077	0.3774
MGH54_P10_G04	NA	black	0	0.83512	0
MGH54_P10_C06	NA	black	0	0.5955	0
MGH53_P2_A02	NA	black	0	0	0
MGH53_P4_F06	NA	black	0	1.0349	0
MGH53_P7_F07	1.02550078294	green3	2	0.02432	0.48336
MGH53_P11_F06	-0.92953538777	green3	2	0.42761	2.9723
MGH53_P5_G02	NA	black	0	0	0
MGH53_P1_F09	-0.0979673265805	green3	2	1.0573	2.5346
MGH53_P11_H03	NA	black	0	0.72596	0
MGH53_P10_D11	0.158926746605	green3	2	0.88127	0.87657
MGH53_P1_A10	-1.59149307182	black	0	0.063503	3.1816
MGH53_P4_B12	-0.432359308922	green3	2	0.90843	3.3745
MGH53_P5_H09	-0.369071612234	green3	2	1.0531	4.5541
MGH53_P9_D07	NA	black	0	0.94486	0
MGH53_P11_E03	NA	black	0	0.35502	0
MGH53_P1_C02	-0.979083369066	green3	2	0.59646	3.4714
MGH53_P10_F11	NA	black	0	0	0
MGH53_P1_E02	NA	black	0	0	3.5313
MGH53_P1_D07	0.696903155316	green3	2	0.49262	0.31499
MGH53_P6_B01	NA	black	0	0	0
MGH53_P2_G04	-0.149290092562	green3	2	1.4233	0.91991
MGH53_P1_C05	NA	black	0	1.121	0
MGH53_P2_G09	-0.266660872951	green3	2	0.88362	2.6114
MGH53_P5_A05	NA	black	0	1.3202	0
MGH53_P5_F04	NA	black	0	0	0
MGH53_P10_H03	NA	black	0	0.44996	0
MGH53_P11_F08	NA	black	0	0.56267	0
MGH54_P7_F12	0.29435436022	green3	2	0.91227	0.088142
MGH53_P8_F03	NA	black	0	0	0
MGH53_P11_A07	NA	black	0	0.66084	0
MGH53_P6_B11	NA	black	0	0.67807	0
MGH53_P4_C07	NA	black	0	1.1712	0
MGH53_P6_H06	NA	black	0	0.82619	0
MGH36_P1_A01	NA	black	0	0.57337	0
MGH36_P1_A02	NA	black	0	0.56169	0
MGH36_P1_A03	-0.94055084074	green3	2	0.75788	4.0634
MGH36_P1_A04	NA	black	0	0.48027	0
MGH36_P1_A05	NA	black	0	3.8134	0
MGH36_P1_A06	NA	black	0	1.0663	0
MGH36_P1_A08	0.475024409482	green3	2	0.66266	0.41792
MGH36_P1_A10	-0.195663248114	green3	2	0.67897	2.009
MGH36_P1_A12	NA	black	0	0.13356	0
MGH36_P1_B02	NA	black	0	0.2302	0
MGH36_P1_B03	0.0132313821598	green3	2	0.75531	1.5099
MGH36_P1_B04	NA	black	0	3.4724	0
MGH36_P1_B06	NA	black	0	0.30685	0
MGH36_P1_B07	0.607762326916	green3	2	0.55483	0.36177
MGH36_P1_B08	0.603504448475	green3	2	0.67807	0.052416
MGH36_P1_B09	1.58675654867	black	0	2.3488	3.1401
MGH36_P1_B10	0.551773884627	green3	2	0.46362	0.61636
MGH36_P1_B11	NA	black	0	0.926	0
MGH36_P1_B12	-0.227589792792	green3	2	0.78073	2.224
MGH36_P1_C01	0.233616415018	green3	2	0.83107	0.70841
MGH36_P1_C03	NA	black	0	0.36289	0
MGH36_P1_C05	-0.297564187124	green3	2	1.0847	4.6387
MGH36_P1_C06	0.620676498939	green3	2	0.32539	0.67356
MGH36_P1_C07	NA	black	0	0.27381	0
MGH36_P1_C08	NA	black	0	0.44042	0
MGH36_P1_C09	NA	black	0	0.26903	0
MGH36_P1_C10	NA	black	0	0.30918	0
MGH36_P1_C11	NA	black	0	0.34937	0
MGH36_P1_D01	NA	black	0	0	0
MGH36_P1_D02	NA	black	0	0.29396	0
MGH36_P1_D03	NA	black	0	0.78241	0
MGH36_P1_D04	NA	black	0	0.73379	0
MGH36_P1_D06	NA	black	0	0	0
MGH36_P1_D07	NA	black	0	0.19283	0
MGH36_P1_D08	NA	black	0	0.57725	0
MGH36_P1_D09	NA	black	0	0.39944	0
MGH36_P1_D11	NA	black	0	0.3115	0
MGH36_P1_F01	-0.282970244509	green3	2	0.39944	1.9672
MGH36_P1_F02	-3.60885395748	black	0	3.8879	0.077243
MGH36_P1_F03	-0.495453486501	green3	2	0.4351	2.3196
MGH36_P1_F04	-1.16177380116	green3	2	0.29748	3.0616
MGH36_P1_F05	NA	black	0	0.39397	0
MGH36_P1_F06	-0.487276935242	green3	2	0.62387	2.569
MGH36_P1_F08	0.517043783006	green3	2	0.61636	0.42438
MGH36_P1_F11	NA	black	0	4.8332	0
MGH36_P1_F12	1.15652534011	green3	2	0.27023	0.011496
MGH36_P1_G02	NA	black	0	0.51299	0
MGH36_P1_G03	0.490483041934	green3	2	0.34028	0.84479
MGH36_P1_G04	NA	black	0	0.53007	0
MGH36_P1_G07	-0.954241378148	green3	2	0.38847	2.9375
MGH36_P1_G08	NA	black	0	0.17249	0
MGH36_P1_G09	NA	black	0	0.44784	0
MGH36_P1_H02	NA	black	0	0.47197	0
MGH36_P1_H03	0.687301282212	green3	2	0.42761	0.44255
MGH36_P1_H04	NA	black	0	0.77653	0
MGH36_P1_H05	NA	black	0	0.20414	0
MGH36_P1_H06	NA	black	0	0.419	0
MGH36_P1_H07	NA	black	0	0.27858	0
MGH36_P1_H09	NA	black	0	0.10568	0
MGH36_P1_H10	NA	black	0	0.16479	0
MGH36_P3_A01	NA	black	0	1.121	0
MGH36_P3_A02	NA	black	0	1.2916	0
MGH36_P3_A03	0.203765621603	green3	2	2.4356	1.7604
MGH36_P3_A04	NA	black	0	0.50691	0
MGH36_P3_A05	NA	black	0	0.6581	0
MGH36_P3_A08	NA	black	0	1.1493	0
MGH36_P3_A09	NA	black	0	0.24732	0
MGH36_P3_A10	-0.624695392206	green3	2	0.55483	2.7071
MGH36_P3_A12	0.000459407820711	green3	2	1.1661	1.7442
MGH36_P3_B02	NA	black	0	2.8049	0
MGH36_P3_B03	NA	black	0	1.3533	0
MGH36_P3_B04	NA	black	0	1.4787	0
MGH36_P3_B09	NA	black	0	1.3103	0
MGH36_P3_B10	NA	black	0	0.018634	0
MGH36_P3_B11	NA	black	0	0.42546	0
MGH36_P3_B12	NA	black	0	0.42008	0
MGH36_P3_C01	NA	black	0	1.3138	0
MGH36_P3_C03	NA	black	0	0.88206	0
MGH36_P3_C04	NA	black	0	1.0065	0
MGH36_P3_C05	NA	black	0	0.24001	0
MGH36_P3_C06	NA	black	0	0.77146	0
MGH36_P3_C08	0.0320124612842	green3	2	0.24001	1.4988
MGH36_P3_C11	NA	black	0	0.49467	0
MGH36_P3_C12	NA	black	0	0.98258	0
MGH36_P3_D01	NA	black	0	1.0286	0
MGH36_P3_D02	NA	black	0	0	0
MGH36_P3_D03	-1.00894738149	green3	2	0.31267	2.8877
MGH36_P3_D04	NA	black	0	0.86869	0
MGH36_P3_D07	NA	black	0	0.91762	0
MGH36_P3_D08	NA	black	0	1.6731	0
MGH36_P3_D09	NA	black	0	0.77737	0
MGH36_P3_D11	NA	black	0	0	0
MGH36_P3_E02	NA	black	0	1.5336	0
MGH36_P3_E04	NA	black	0	0.39177	0
MGH36_P3_E05	NA	black	0	1.0607	0
MGH36_P3_E06	NA	black	0	0.44784	0
MGH36_P3_E07	0.490512432064	green3	2	0.76469	0.056584
MGH36_P3_E08	0.547559035002	green3	2	1.3901	4.8693
MGH36_P3_E09	NA	black	0	0.63691	0
MGH36_P3_E10	NA	black	0	0.95754	0
MGH36_P3_E11	NA	black	0	0	0
MGH36_P3_E12	NA	black	0	3.9144	0
MGH36_P3_F01	NA	black	0	0.76043	0
MGH36_P3_F02	NA	black	0	0	0
MGH36_P3_F05	-0.631117072383	green3	2	0.87499	3.8805
MGH36_P3_F06	0.0143918226524	green3	2	1.1909	3.3623
MGH36_P3_F07	NA	black	0	0.20539	0
MGH36_P3_F08	NA	black	0	1.3225	0
MGH36_P3_F09	-2.211501941	black	0	0.2857	4.3572
MGH36_P3_F10	NA	black	0	0.57046	0
MGH36_P3_F11	NA	black	0	0.54201	0
MGH36_P3_F12	NA	black	0	2.0018	0
MGH36_P3_G01	NA	black	0	0.72944	0
MGH36_P3_G02	NA	black	0	1.2141	0
MGH36_P3_G03	NA	black	0	1.281	0
MGH36_P3_G04	NA	black	0	0.30918	0
MGH36_P3_G05	NA	black	0	1.0029	0
MGH36_P3_G06	NA	black	0	2.5641	0
MGH36_P3_G08	NA	black	0	0.95977	0
MGH36_P3_G09	NA	black	0	0.36177	0
MGH36_P3_G10	NA	black	0	0.57821	0
MGH36_P3_G11	NA	black	0	0.98404	0
MGH36_P3_G12	NA	black	0	0.30334	0
MGH36_P3_H03	NA	black	0	0.82619	0
MGH36_P3_H04	NA	black	0	1.177	0
MGH36_P3_H05	-0.1875558579	green3	2	0.58496	1.9172
MGH36_P3_H07	NA	black	0	0.95531	0
MGH36_P3_H08	NA	black	0	0.70929	0
MGH36_P3_H11	NA	black	0	3.6467	0
MGH36_P3_H12	-0.151499907825	green3	2	0.96717	2.4084
MGH36_P4_A01	NA	black	0	0.81147	0
MGH36_P4_A02	NA	black	0	1.6991	0
MGH36_P4_A03	NA	black	0	1.1336	0
MGH36_P4_A04	NA	black	0	1.0834	0
MGH36_P4_A06	NA	black	0	1.5632	0
MGH36_P4_A07	NA	black	0	0.21039	0
MGH36_P4_A08	NA	black	0	1.4589	0
MGH36_P4_A11	NA	black	0	0.88127	0
MGH36_P4_A12	NA	black	0	0.58592	0
MGH36_P4_B02	NA	black	0	1.6781	0
MGH36_P4_B04	NA	black	0	0.76384	0
MGH36_P4_B05	-0.566205380418	green3	2	2.9249	1.2141
MGH36_P4_B06	NA	black	0	0.69332	0
MGH36_P4_B08	NA	black	0	1.0108	0
MGH36_P4_B09	NA	black	0	0.65901	0
MGH36_P4_B12	NA	black	0	1.0922	0
MGH36_P4_C02	NA	black	0	0.73725	0
MGH36_P4_C03	NA	black	0	0.31034	0
MGH36_P4_C04	NA	black	0	0.59837	0
MGH36_P4_C05	NA	black	0	0.27023	0
MGH36_P4_C06	NA	black	0	0.58785	0
MGH36_P4_C07	0.45392276053	green3	2	0.75189	0.21909
MGH36_P4_C08	NA	black	0	1.2845	0
MGH36_P4_C10	NA	black	0	1.0314	0
MGH36_P4_C11	NA	black	0	0.82863	0
MGH36_P4_C12	NA	black	0	2.5724	0
MGH36_P4_D01	NA	black	0	0.83107	0
MGH36_P4_D02	NA	black	0	0.87421	0
MGH36_P4_D05	NA	black	0	1.1966	0
MGH36_P4_D07	NA	black	0	0.45523	0
MGH36_P4_D08	NA	black	0	0.56852	0
MGH36_P4_D09	NA	black	0	0.90612	0
MGH36_P4_D10	-0.214692099842	green3	2	1.451	0.73205
MGH36_P4_D11	NA	black	0	0.66993	0
MGH36_P4_D12	NA	black	0	0.24001	0
MGH36_P4_E01	1.19195510374	green3	2	2.7487	2.4531
MGH36_P4_E02	NA	black	0	0.67717	0
MGH36_P4_E04	0.0242719735742	green3	2	1.3741	1.6902
MGH36_P4_E06	NA	black	0	0.9313	0
MGH36_P4_E07	NA	black	0	0.4351	0
MGH36_P4_E08	NA	black	0	0.59455	0
MGH36_P4_E09	NA	black	0	0.71545	0
MGH36_P4_E10	NA	black	0	1.8331	0
MGH36_P4_E11	NA	black	0	0.70929	0
MGH36_P4_E12	NA	black	0	1.2265	0
MGH36_P4_F01	NA	black	0	0.67807	0
MGH36_P4_F02	NA	black	0	1.0158	0
MGH36_P4_F03	NA	black	0	4.2256	0
MGH36_P4_F04	NA	black	0	0.9782	0
MGH36_P4_F05	NA	black	0	2.0607	0
MGH36_P4_F06	NA	black	0	0.92448	0
MGH36_P4_F07	NA	black	0	1.4478	0
MGH36_P4_F09	NA	black	0	1.0461	0
MGH36_P4_F10	NA	black	0	0.41468	0
MGH36_P4_F11	NA	black	0	0.34369	0
MGH36_P4_F12	-0.292288519799	green3	2	1.0257	3.6674
MGH36_P4_G01	NA	black	0	1.0922	0
MGH36_P4_G02	NA	black	0	4.9447	0
MGH36_P4_G03	NA	black	0	1.2339	0
MGH36_P4_G04	NA	black	0	0.57434	0
MGH36_P4_G05	NA	black	0	1.2951	0
MGH36_P4_G06	NA	black	0	0.22897	0
MGH36_P4_G08	-0.156595352845	green3	2	1.0738	3.2473
MGH36_P4_G09	NA	black	0	0.34028	0
MGH36_P4_G10	NA	black	0	0.42008	0
MGH36_P4_G11	NA	black	0	0.87027	0
MGH36_P4_H01	NA	black	0	1.0058	0
MGH36_P4_H02	NA	black	0	0.98039	0
MGH36_P4_H03	NA	black	0	1.6512	0
MGH36_P4_H04	NA	black	0	0.82944	0
MGH36_P4_H05	NA	black	0	4.5865	0
MGH36_P4_H09	NA	black	0	2.0663	0
MGH36_P4_H12	NA	black	0	0.36625	0
MGH36_P6_A02	NA	black	0	0.27858	0
MGH36_P6_A04	NA	black	0	0.4782	0
MGH36_P6_A05	NA	black	0	1.1909	0
MGH36_P6_A07	NA	black	0	0.67987	0
MGH36_P6_A08	NA	black	0	1.0086	0
MGH36_P6_A09	NA	black	0	1.211	0
MGH36_P6_A10	NA	black	0	0.79992	0
MGH36_P6_A11	NA	black	0	0.1635	0
MGH36_P6_B03	NA	black	0	1.0007	0
MGH36_P6_B04	NA	black	0	0.66357	0
MGH36_P6_B05	NA	black	0	0.35727	0
MGH36_P6_B06	NA	black	0	0.61447	0
MGH36_P6_B10	NA	black	0	0.84077	0
MGH36_P6_B11	NA	black	0	0.6951	0
MGH36_P6_B12	NA	black	0	1.3033	0
MGH36_P6_C02	NA	black	0	0.94636	0
MGH36_P6_C03	NA	black	0	0	0
MGH36_P6_C04	NA	black	0	0.40599	0
MGH36_P6_C05	NA	black	0	0	0.92296
MGH36_P6_C06	NA	black	0	0.60881	0
MGH36_P6_C07	NA	black	0	0.55778	0
MGH36_P6_C08	NA	black	0	0.54102	0
MGH36_P6_C09	NA	black	0	0	0
MGH36_P6_C11	NA	black	0	1.0854	0
MGH36_P6_C12	NA	black	0	0.72334	0
MGH36_P6_D01	NA	black	0	0.19787	0
MGH36_P6_D02	NA	black	0	0	0
MGH36_P6_D03	NA	black	0	0.58785	0
MGH36_P6_D04	NA	black	0	0.61353	0
MGH36_P6_D05	NA	black	0	0.34596	0
MGH36_P6_D06	NA	black	0	0.34596	0
MGH36_P6_D07	NA	black	0	1.2934	0
MGH36_P6_D08	0.375305834734	green3	2	0.77737	0.37962
MGH36_P6_D10	NA	black	0	0.3471	0
MGH36_P6_D11	-0.799398358979	green3	2	0.52005	2.9471
MGH36_P6_E02	NA	black	0	1.1718	0
MGH36_P6_E03	NA	black	0	1.0475	0
MGH36_P6_E04	NA	black	0	0.45101	0
MGH36_P6_E05	NA	black	0	0	0
MGH36_P6_E06	NA	black	0	0.41684	0
MGH36_P6_E07	NA	black	0	0.70044	0
