Cell_name	Zvalue	Color	Cluster	F3	SP1
MGH36_P1_A02	NA	black	0	0	0
MGH36_P1_A03	-1.67280089099	black	0	0.10165	4.0634
MGH36_P1_A04	NA	black	0	0.19535	0
MGH36_P1_A05	NA	black	0	0	0
MGH36_P1_A06	NA	black	0	5.0819	0
MGH36_P1_A08	-2.11020968194	black	0	3.932	0.41792
MGH36_P1_A10	-0.245723808154	red	1	0.32308	2.009
MGH36_P1_A12	NA	black	0	0	0
MGH36_P1_B02	NA	black	0	0	0
MGH36_P1_B03	-0.0310433159937	red	1	0.2857	1.5099
MGH36_P1_B04	NA	black	0	0.28333	0
MGH36_P1_B06	NA	black	0	0	0
MGH36_P1_B07	0.345259412266	red	1	0.41359	0.36177
MGH36_P1_B08	0.137749022513	red	1	0.76043	0.052416
MGH36_P1_B09	4.32581117912	black	0	6.0472	3.1401
MGH36_P1_B10	NA	black	0	0	0.61636
MGH36_P1_B11	NA	black	0	0.10969	0
MGH36_P1_B12	-0.469860369513	red	1	0.071763	2.224
MGH36_P1_C01	-1.80896871802	black	0	4.3117	0.70841
MGH36_P1_C03	NA	black	0	0.074505	0
MGH36_P1_C05	NA	black	0	0	4.6387
MGH36_P1_C06	0.331749859565	red	1	0.24123	0.67356
MGH36_P1_C07	NA	black	0	0	0
MGH36_P1_C08	NA	black	0	0.1137	0
MGH36_P1_C09	NA	black	0	3.6396	0
MGH36_P1_C10	NA	black	0	1.891	0
MGH36_P1_C11	NA	black	0	0	0
MGH36_P1_D01	NA	black	0	4.022	0
MGH36_P1_D02	NA	black	0	0	0
MGH36_P1_D03	NA	black	0	0	0
MGH36_P1_D04	NA	black	0	3.8947	0
MGH36_P1_D06	NA	black	0	0	0
MGH36_P1_D07	NA	black	0	0	0
MGH36_P1_D08	NA	black	0	4.3275	0
MGH36_P1_D09	NA	black	0	0.51501	0
MGH36_P1_D11	NA	black	0	4.0022	0
MGH36_P1_F01	-0.183852334027	red	1	0.45207	1.9672
MGH36_P1_F02	-3.04976938145	black	0	4.2464	0.077243
MGH36_P1_F03	NA	black	0	0	2.3196
MGH36_P1_F04	NA	black	0	0	3.0616
MGH36_P1_F05	NA	black	0	0	0
MGH36_P1_F06	NA	black	0	0	2.569
MGH36_P1_F08	NA	black	0	0	0.42438
MGH36_P1_F11	NA	black	0	2.8871	0
MGH36_P1_F12	0.719974474471	red	1	0.08134	0.011496
MGH36_P1_G02	NA	black	0	0	0
MGH36_P1_G03	0.296471943683	red	1	0.13619	0.84479
MGH36_P1_G04	NA	black	0	0.29396	0
MGH36_P1_G07	NA	black	0	0	2.9375
MGH36_P1_G08	NA	black	0	0	0
MGH36_P1_G09	NA	black	0	0.37962	0
MGH36_P1_H02	NA	black	0	4.9383	0
MGH36_P1_H03	NA	black	0	0	0.44255
MGH36_P1_H04	NA	black	0	1.326	0
MGH36_P1_H05	NA	black	0	0.052416	0
MGH36_P1_H06	NA	black	0	0	0
MGH36_P1_H07	NA	black	0	0.21537	0
MGH36_P1_H09	NA	black	0	0	0
MGH36_P1_H10	NA	black	0	0	0
MGH36_P3_A01	NA	black	0	2.2833	0
MGH36_P3_A02	NA	black	0	0.67717	0
MGH36_P3_A03	-0.0156189020492	red	1	0.93433	1.7604
MGH36_P3_A04	NA	black	0	0	0
MGH36_P3_A05	NA	black	0	3.301	0
MGH36_P3_A08	NA	black	0	1.2054	0
MGH36_P3_A09	NA	black	0	0	0
MGH36_P3_A10	-0.629138729893	red	1	0.25822	2.7071
MGH36_P3_A12	0.126666299646	red	1	1.8949	1.7442
MGH36_P3_B02	NA	black	0	0	0
MGH36_P3_B03	NA	black	0	5.0052	0
MGH36_P3_B04	NA	black	0	0.83835	0
MGH36_P3_B09	NA	black	0	0	0
MGH36_P3_B10	NA	black	0	5.312	0
MGH36_P3_B11	NA	black	0	0	0
MGH36_P3_B12	NA	black	0	0.32884	0
MGH36_P3_C01	NA	black	0	0.51299	0
MGH36_P3_C03	NA	black	0	1.2951	0
MGH36_P3_C04	NA	black	0	0	0
MGH36_P3_C05	NA	black	0	0	0
MGH36_P3_C06	NA	black	0	0	0
MGH36_P3_C08	-0.542963851093	red	1	6.1047	1.4988
MGH36_P3_C11	NA	black	0	0.5509	0
MGH36_P3_C12	NA	black	0	0.67356	0
MGH36_P3_D01	NA	black	0	0.68706	0
MGH36_P3_D02	NA	black	0	0	0
MGH36_P3_D03	-0.684015519049	red	1	0.30685	2.8877
MGH36_P3_D04	NA	black	0	1.3896	0
MGH36_P3_D07	NA	black	0	0.47612	0
MGH36_P3_D08	NA	black	0	0.32769	0
MGH36_P3_D09	NA	black	0	4.5519	0
MGH36_P3_D11	NA	black	0	0.45838	0
MGH36_P3_E02	NA	black	0	5.5984	0
MGH36_P3_E04	NA	black	0	0	0
MGH36_P3_E05	NA	black	0	3.5674	0
MGH36_P3_E06	NA	black	0	0.43936	0
MGH36_P3_E07	0.613903417273	red	1	0.1865	0.056584
MGH36_P3_E08	-2.00476304359	black	0	0.2302	4.8693
MGH36_P3_E09	NA	black	0	4.3586	0
MGH36_P3_E10	NA	black	0	0	0
MGH36_P3_E11	NA	black	0	0	0
MGH36_P3_E12	NA	black	0	0.45733	0
MGH36_P3_F01	NA	black	0	0.18396	0
MGH36_P3_F02	NA	black	0	5.6219	0
MGH36_P3_F05	-1.07067412259	red	1	0.41684	3.8805
MGH36_P3_F06	NA	black	0	0	3.3623
MGH36_P3_F07	NA	black	0	0.39287	0
MGH36_P3_F08	NA	black	0	0.22527	0
MGH36_P3_F09	NA	black	0	0	4.3572
MGH36_P3_F10	NA	black	0	0	0
MGH36_P3_F11	NA	black	0	0.18523	0
MGH36_P3_F12	NA	black	0	0	0
MGH36_P3_G01	NA	black	0	0	0
MGH36_P3_G02	NA	black	0	0.338	0
MGH36_P3_G03	NA	black	0	0.37184	0
MGH36_P3_G04	NA	black	0	0	0
MGH36_P3_G05	NA	black	0	0.1903	0
MGH36_P3_G06	NA	black	0	0	0
MGH36_P3_G08	NA	black	0	0	0
MGH36_P3_G09	NA	black	0	0.22651	0
MGH36_P3_G10	NA	black	0	0	0
MGH36_P3_G11	NA	black	0	0	0
MGH36_P3_G12	NA	black	0	0.2302	0
MGH36_P3_H03	NA	black	0	0.24975	0
MGH36_P3_H04	NA	black	0	4.2086	0
MGH36_P3_H05	NA	black	0	0	1.9172
MGH36_P3_H07	NA	black	0	0	0
MGH36_P3_H08	NA	black	0	0.21288	0
MGH36_P3_H11	NA	black	0	0.22404	0
MGH36_P3_H12	-0.412515376612	red	1	0.35502	2.4084
MGH36_P4_A01	NA	black	0	0	0
MGH36_P4_A02	NA	black	0	0	0
MGH36_P4_A03	NA	black	0	4.034	0
MGH36_P4_A04	NA	black	0	0.3115	0
MGH36_P4_A06	NA	black	0	0.59837	0
MGH36_P4_A07	NA	black	0	0	0
MGH36_P4_A08	NA	black	0	0.9782	0
MGH36_P4_A11	NA	black	0	3.9934	0
MGH36_P4_A12	NA	black	0	0	0
MGH36_P4_B02	NA	black	0	0	0
MGH36_P4_B04	NA	black	0	1.6631	0
MGH36_P4_B05	0.0744560329454	red	1	0.46048	1.2141
MGH36_P4_B06	NA	black	0	0	0
MGH36_P4_B08	NA	black	0	0.24001	0
MGH36_P4_B09	NA	black	0	2.4649	0
MGH36_P4_B12	NA	black	0	0.18015	0
MGH36_P4_C02	NA	black	0	0.32077	0
MGH36_P4_C03	NA	black	0	1.0841	0
MGH36_P4_C04	NA	black	0	0	0
MGH36_P4_C05	NA	black	0	0.34369	0
MGH36_P4_C06	NA	black	0	0.19787	0
MGH36_P4_C07	NA	black	0	0	0.21909
MGH36_P4_C08	NA	black	0	0.63691	0
MGH36_P4_C10	NA	black	0	0.73466	0
MGH36_P4_C11	NA	black	0	0.51096	0
MGH36_P4_C12	NA	black	0	0	0
MGH36_P4_D01	NA	black	0	0	0
MGH36_P4_D02	NA	black	0	0.16736	0
MGH36_P4_D05	NA	black	0	0.88518	0
MGH36_P4_D07	NA	black	0	0	0
MGH36_P4_D08	NA	black	0	5.261	0
MGH36_P4_D09	NA	black	0	4.4588	0
MGH36_P4_D10	0.171246069308	red	1	0.56852	0.73205
MGH36_P4_D11	NA	black	0	0.43936	0
MGH36_P4_D12	NA	black	0	0.20163	0
MGH36_P4_E01	NA	black	0	0	2.4531
MGH36_P4_E02	NA	black	0	0	0
MGH36_P4_E04	NA	black	0	0	1.6902
MGH36_P4_E06	NA	black	0	0.20539	0
MGH36_P4_E07	NA	black	0	2.1766	0
MGH36_P4_E08	NA	black	0	0	0
MGH36_P4_E09	NA	black	0	0.23389	0
MGH36_P4_E10	NA	black	0	0	0
MGH36_P4_E11	NA	black	0	0	0
MGH36_P4_E12	NA	black	0	0.40599	0
MGH36_P4_F01	NA	black	0	0	0
MGH36_P4_F02	NA	black	0	0.60217	0
MGH36_P4_F03	NA	black	0	3.4136	0
MGH36_P4_F04	NA	black	0	0	0
MGH36_P4_F05	NA	black	0	3.9808	0
MGH36_P4_F06	NA	black	0	1.266	0
MGH36_P4_F07	NA	black	0	0.39726	0
MGH36_P4_F09	NA	black	0	0	0
MGH36_P4_F10	NA	black	0	0.19409	0
MGH36_P4_F11	NA	black	0	0.24853	0
MGH36_P4_F12	NA	black	0	0	3.6674
MGH36_P4_G01	NA	black	0	0	0
MGH36_P4_G02	NA	black	0	0	0
MGH36_P4_G03	NA	black	0	0.28924	0
MGH36_P4_G04	NA	black	0	0.41468	0
MGH36_P4_G05	NA	black	0	0.39067	0
MGH36_P4_G06	NA	black	0	0.20914	0
MGH36_P4_G08	NA	black	0	0	3.2473
MGH36_P4_G09	NA	black	0	0.45733	0
MGH36_P4_G10	NA	black	0	0.23266	0
MGH36_P4_G11	NA	black	0	0.19535	0
MGH36_P4_H01	NA	black	0	0	0
MGH36_P4_H02	NA	black	0	1.8639	0
MGH36_P4_H03	NA	black	0	0.584	0
MGH36_P4_H04	NA	black	0	0.21164	0
MGH36_P4_H05	NA	black	0	0.51602	0
MGH36_P4_H09	NA	black	0	0.23634	0
MGH36_P4_H12	NA	black	0	0	0
MGH36_P6_A02	NA	black	0	0.23634	0
MGH36_P6_A04	NA	black	0	0.17632	0
MGH36_P6_A05	NA	black	0	0.301	0
MGH36_P6_A07	NA	black	0	0	0
MGH36_P6_A08	NA	black	0	0.30217	0
MGH36_P6_A09	NA	black	0	5.7368	0
MGH36_P6_A10	NA	black	0	0.18015	0
MGH36_P6_A11	NA	black	0	0	0
MGH36_P6_B03	NA	black	0	0.38626	0
MGH36_P6_B04	NA	black	0	0.16607	0
MGH36_P6_B05	NA	black	0	0	0
MGH36_P6_B06	NA	black	0	0	0
MGH36_P6_B10	NA	black	0	0.40817	0
MGH36_P6_B11	NA	black	0	0	0
MGH36_P6_B12	NA	black	0	0	0
MGH36_P6_C02	NA	black	0	0.87027	0
MGH36_P6_C03	NA	black	0	0.37184	0
MGH36_P6_C04	NA	black	0	0.19787	0
MGH36_P6_C05	0.20862400704	red	1	0.30685	0.92296
MGH36_P6_C06	NA	black	0	3.9769	0
MGH36_P6_C07	NA	black	0	0.49467	0
MGH36_P6_C08	NA	black	0	0.19156	0
MGH36_P6_C09	NA	black	0	0.42868	0
MGH36_P6_C11	NA	black	0	2.7472	0
MGH36_P6_C12	NA	black	0	0.15445	0
MGH36_P6_D01	NA	black	0	0	0
MGH36_P6_D02	NA	black	0	0	0
MGH36_P6_D03	NA	black	0	0	0
MGH36_P6_D04	NA	black	0	0.60217	0
MGH36_P6_D05	NA	black	0	0.21661	0
MGH36_P6_D06	NA	black	0	3.4355	0
MGH36_P6_D07	NA	black	0	4.7858	0
MGH36_P6_D08	0.141098693059	red	1	0.72509	0.37962
MGH36_P6_D10	NA	black	0	0.19661	0
MGH36_P6_D11	NA	black	0	0	2.9471
MGH36_P6_E02	NA	black	0	0	0
MGH36_P6_E03	NA	black	0	0	0
MGH36_P6_E04	NA	black	0	0	0
MGH36_P6_E05	NA	black	0	0	0
MGH36_P6_E06	NA	black	0	0.36737	0
MGH36_P6_E07	NA	black	0	0.15575	0
MGH36_P6_E08	0.398886361317	red	1	0.44042	0.082703
MGH36_P6_E09	NA	black	0	5.1533	0
MGH36_P6_E10	NA	black	0	0	0
MGH36_P6_E11	0.454097839047	red	1	0.21412	0.40708
MGH36_P6_E12	NA	black	0	0	0
MGH36_P6_F01	NA	black	0	0.29631	0
MGH36_P6_F04	NA	black	0	0	0
MGH36_P6_F06	NA	black	0	0.55385	0
MGH36_P6_F07	NA	black	0	0	0
MGH36_P6_F08	NA	black	0	0	0
MGH36_P6_F10	NA	black	0	2.4657	0
MGH36_P6_F12	0.156279232099	red	1	0.71017	0.32423
MGH36_P6_G01	NA	black	0	0	0
MGH36_P6_G02	NA	black	0	4.5528	0
MGH36_P6_G03	NA	black	0	0.21661	0
MGH36_P6_G04	NA	black	0	0	0
MGH36_P6_G05	NA	black	0	3.1227	0
MGH36_P6_G06	NA	black	0	0.31267	0
MGH36_P6_G07	NA	black	0	0.53506	0
MGH36_P6_G08	NA	black	0	0.23879	0
MGH36_P6_G09	NA	black	0	5.5393	0
MGH36_P6_G10	NA	black	0	0	0
MGH36_P6_G11	NA	black	0	3.9512	0
MGH36_P6_G12	NA	black	0	2.3528	0
MGH36_P6_H06	NA	black	0	0.15834	0
MGH36_P6_H07	NA	black	0	0	0
MGH36_P6_H10	NA	black	0	0	2.6904
MGH36_P6_H12	0.505922844927	red	1	0.11636	0.42223
MGH36_P7_A01	NA	black	0	0.32539	0
MGH36_P7_A02	NA	black	0	0.21288	0
MGH36_P7_A03	NA	black	0	0.22774	0
MGH36_P7_A04	NA	black	0	4.1397	0
MGH36_P7_A06	NA	black	0	0.38847	0
MGH36_P7_A07	NA	black	0	0	0
MGH36_P7_A08	NA	black	0	0.4489	0
