Cell_name	Zvalue	Color	Cluster	TSG101	TTF2
MGH36_P4_H06	NA	black	0	0	3.7877
MGH36_P10_E01	NA	black	0	0	0.20038
MGH36_P8_E12	0.202088614942	red	1	3.9913	0.1375
MGH53_P2_C10	NA	black	0	0	0
MGH36_P4_H08	NA	black	0	0	0
MGH36_P7_F07	NA	black	0	5.3608	0
MGH54_P2_A09	NA	black	0	0	0.092207
MGH36_P6_H11	NA	black	0	0	0.084064
MGH53_P2_E12	NA	black	0	0.94186	0
MGH53_P1_F08	NA	black	0	0	0.1177
MGH36_P6_D12	-0.126919084987	red	1	5.1548	0.12168
MGH36_P2_H09	NA	black	0	0	0
MGH53_P1_C01	NA	black	0	0	0
MGH53_P2_F11	NA	black	0	0.53903	0
MGH36_P6_H04	NA	black	0	0	0.11503
MGH36_P5_G05	-0.543457690947	red	1	6.2839	0.028569
MGH53_P4_B04	NA	black	0	0	0
MGH53_P1_E05	NA	black	0	0	0.40381
MGH36_P10_A08	NA	black	0	0	0
MGH36_P9_G01	NA	black	0	0	0
MGH53_P4_A06	NA	black	0	5.7371	0
MGH36_P6_B09	NA	black	0	0	0
MGH54_P2_D09	NA	black	0	2.0545	0
MGH53_P1_E06	NA	black	0	0	4.051
MGH36_P4_A10	NA	black	0	0	0.18396
MGH36_P6_B02	NA	black	0	0	0
MGH53_P4_G06	-0.598226346718	red	1	6.8293	0.11636
MGH36_P8_F01	NA	black	0	0	2.2354
MGH36_P9_F06	NA	black	0	0	0
MGH36_P5_H04	NA	black	0	0	3.3036
MGH53_P1_B03	NA	black	0	0	0
MGH53_P2_D05	NA	black	0	0	2.6704
MGH36_P4_G12	NA	black	0	0	0
MGH53_P2_D11	NA	black	0	0	0
MGH53_P4_C02	NA	black	0	0	0
MGH53_P4_F04	-0.396003599089	red	1	6.1783	0.13881
MGH36_P3_D10	NA	black	0	0	0.10969
MGH54_P2_F04	NA	black	0	0	0
MGH36_P6_A03	NA	black	0	0	3.6404
MGH53_P1_F07	NA	black	0	0	0.25459
MGH36_P5_H08	NA	black	0	0	0
MGH54_P2_A04	NA	black	0	0	0
MGH53_P4_E11	NA	black	0	2.0607	0
MGH53_P2_G03	NA	black	0	0	0.71984
MGH36_P3_F04	NA	black	0	0	0.16993
MGH54_P2_B02	NA	black	0	4.2144	0
MGH36_P5_C07	-0.304595159865	red	1	5.8604	0.14796
MGH53_P2_E02	NA	black	0	0	0.66357
MGH54_P2_F09	NA	black	0	0	0.090853
MGH36_P3_D05	NA	black	0	0	0.092207
MGH36_P5_F12	NA	black	0	0	0
MGH53_P2_H09	NA	black	0	0	0.23511
MGH54_P2_F07	NA	black	0	0	0.10434
MGH36_P5_D10	NA	black	0	0	0.5509
MGH54_P2_F11	NA	black	0	0	3.3566
MGH53_P2_H04	NA	black	0	0	0.066261
MGH36_P6_F09	NA	black	0	0	0
MGH36_P9_F05	NA	black	0	0	0
MGH36_P8_G11	NA	black	0	0	0.23511
MGH54_P2_A07	NA	black	0	4.6477	0
MGH36_P7_H06	NA	black	0	0	0
MGH53_P1_A01	NA	black	0	0	0.28806
MGH53_P1_A02	NA	black	0	0	0
MGH54_P2_E07	NA	black	0	0	0
MGH53_P4_F07	NA	black	0	0	0
MGH53_P2_C05	NA	black	0	0	0
MGH53_P4_H07	NA	black	0	5.5169	0
MGH53_P2_C06	NA	black	0	0	0.14012
MGH36_P3_F03	NA	black	0	0	0
MGH36_P2_A10	NA	black	0	5.3695	0
MGH53_P4_E03	NA	black	0	0	0
MGH36_P9_D12	NA	black	0	0	0
MGH54_P2_H03	NA	black	0	0	0
MGH36_P4_D06	NA	black	0	0	0
MGH53_P2_B03	NA	black	0	0	3.3032
MGH53_P4_F03	-0.371100294719	red	1	6.4531	0.21909
MGH36_P10_E09	NA	black	0	0	0
MGH53_P1_G02	NA	black	0	0	0
MGH54_P2_A02	NA	black	0	0	4.3984
MGH36_P3_A07	NA	black	0	0	2.59
MGH53_P4_E12	NA	black	0	0	0.76808
MGH54_P2_A03	NA	black	0	0	0
MGH53_P4_E10	NA	black	0	0	0
MGH54_P2_D08	0.55515905291	red	1	2.1683	0.23756
MGH36_P8_A02	NA	black	0	0	3.2815
MGH54_P2_B07	NA	black	0	6.0732	0
MGH53_P1_B10	NA	black	0	6.0516	0
MGH53_P2_F08	-0.0554753472177	red	1	5.1625	0.3584
MGH36_P10_A01	NA	black	0	0	0.20414
MGH36_P10_F01	-0.462952221539	red	1	6.3758	0.12565
MGH53_P4_G03	NA	black	0	0	0
MGH53_P1_F12	NA	black	0	0	3.1314
MGH36_P4_B03	NA	black	0	0	0
MGH54_P2_C07	NA	black	0	0	0
MGH53_P1_B02	NA	black	0	4.6474	0
MGH54_P2_D05	-0.160266611364	red	1	5.2813	0.12829
MGH53_P2_C08	NA	black	0	0	0
MGH53_P4_H09	NA	black	0	0	0
MGH36_P8_H02	NA	black	0	0	0
MGH36_P10_H10	NA	black	0	0	0
MGH53_P1_A12	NA	black	0	5.4478	0
MGH36_P8_F08	NA	black	0	0	0
MGH53_P1_D10	NA	black	0	0	0
MGH53_P4_A09	-0.0356826259268	red	1	4.8305	0.10165
MGH53_P2_H08	NA	black	0	0	0.41684
MGH36_P4_A09	0.570099629442	red	1	4.8826	3.8181
MGH53_P4_C08	NA	black	0	0	0
MGH36_P5_E04	NA	black	0	0	0
MGH53_P2_A07	NA	black	0	0	0
MGH54_P2_G10	NA	black	0	2.7327	0
MGH36_P7_E06	NA	black	0	0.83915	0
MGH36_P9_D04	NA	black	0	0	0
MGH53_P1_C12	-0.154459758807	red	1	5.2317	0.10568
MGH36_P8_F06	NA	black	0	0	0
MGH36_P1_G11	0.170096103389	red	1	4.2472	0.015783
MGH53_P1_F02	NA	black	0	3.3707	0
MGH54_P2_D10	NA	black	0	0	0
MGH36_P9_A08	NA	black	0	5.1879	0
MGH53_P2_H03	NA	black	0	0	0
MGH53_P4_B03	NA	black	0	0	0
MGH53_P1_F10	NA	black	0	6.7895	0
MGH53_P4_B05	NA	black	0	5.6115	0
MGH53_P2_B08	NA	black	0	0	0
MGH36_P3_B06	NA	black	0	3.4378	0
MGH36_P10_C02	NA	black	0	0	2.9557
MGH36_P2_E05	NA	black	0	0	0.035624
MGH54_P2_G09	1.57259240584	black	0	0.21039	0.059355
MGH54_P2_D12	-0.60828566189	red	1	6.6598	0.074505
MGH53_P2_H02	-0.222676131521	red	1	4.4655	2.125
MGH36_P8_F11	NA	black	0	4.5696	0
MGH53_P2_A10	NA	black	0	0	0.16993
MGH54_P2_E09	NA	black	0	0	0
MGH36_P3_H06	NA	black	0	0	3.7445
MGH36_P5_D05	NA	black	0	0	0
MGH54_P2_A11	NA	black	0	0	3.9584
MGH54_P2_G04	NA	black	0	0	0
MGH36_P6_C01	NA	black	0	0.29631	0
MGH53_P2_E06	NA	black	0	4.6019	0
MGH53_P1_E01	NA	black	0	0	0
MGH36_P1_B01	0.186803602685	red	1	4.1326	0.077243
MGH54_P2_H04	NA	black	0	0	0
MGH36_P2_C05	NA	black	0	0	0.092207
MGH36_P6_H05	NA	black	0	0.80818	0
MGH36_P10_E06	NA	black	0	0	0
MGH54_P2_F03	NA	black	0	0	0
MGH36_P4_B10	NA	black	0	5.2952	0
MGH54_P2_F02	NA	black	0	0	2.5984
MGH36_P2_E11	NA	black	0	0	0.10299
MGH54_P2_D11	NA	black	0	0	0
MGH54_P2_G01	-0.142419424571	red	1	5.2539	0.15575
MGH36_P9_D02	NA	black	0	0	3.1985
MGH54_P2_E06	-0.0176590154305	red	1	4.4629	0.64432
MGH54_P16_F12	NA	black	0	0	0.2461
MGH53_P5_C12	0.037071069134	red	1	8.2287	0.52907
MGH54_P12_C10	NA	black	0	0	3.2888
MGH54_P16_F02	NA	black	0	0	0
MGH54_P11_C11	NA	black	0	0	0
MGH53_P1_E03	0.0994349411832	red	1	4.3734	0.11636
MGH54_P15_D06	NA	black	0	3.8196	0
MGH54_P14_F05	NA	black	0	0	0
MGH54_P16_A03	0.0604630911076	red	1	4.751	1.7062
MGH53_P4_G11	NA	black	0	0	0.73379
MGH53_P7_B09	NA	black	0	6.8509	0
MGH54_P17_D11	NA	black	0	5.0746	0
MGH54_P10_G04	-0.274449385834	red	1	5.8125	0.17121
MGH54_P10_C06	NA	black	0	2.7198	0
MGH53_P2_A02	-0.310625177213	red	1	5.7756	0.10969
MGH53_P4_F06	NA	black	0	0	0
MGH53_P7_F07	NA	black	0	0.36401	0
MGH53_P11_F06	NA	black	0	0	0
MGH53_P5_G02	3.50275804929	black	0	5.887	4.5535
MGH53_P1_F09	NA	black	0	5.4479	0
MGH53_P11_H03	NA	black	0	5.08	0
MGH53_P10_D11	NA	black	0	0	0
MGH53_P1_A10	-0.200296193907	red	1	5.3917	0.10836
MGH53_P4_B12	NA	black	0	5.9575	0
MGH53_P5_H09	NA	black	0	0	0
MGH53_P9_D07	NA	black	0	0	0
MGH53_P11_E03	NA	black	0	0	0
MGH53_P1_C02	0.064810757475	red	1	4.5254	0.042644
MGH53_P10_F11	NA	black	0	0	0
MGH53_P1_E02	NA	black	0	0	0
MGH53_P1_D07	NA	black	0	0	0
MGH53_P6_B01	NA	black	0	0	0
MGH53_P2_G04	NA	black	0	0	0
MGH53_P1_C05	NA	black	0	0	1.8492
MGH53_P2_G09	NA	black	0	6.2075	0
MGH53_P5_A05	NA	black	0	0	0
MGH53_P5_F04	NA	black	0	0	0
MGH53_P10_H03	NA	black	0	0	4.4774
MGH53_P11_F08	NA	black	0	6.1532	0
MGH54_P7_F12	NA	black	0	0	0.13356
MGH53_P8_F03	NA	black	0	0	0
MGH53_P11_A07	NA	black	0	4.1763	0
MGH53_P6_B11	NA	black	0	0	0
MGH53_P4_C07	-0.401333693334	red	1	6.2037	0.14012
MGH53_P6_H06	NA	black	0	0	0
MGH36_P1_A01	-0.356448011512	red	1	6.0467	0.14405
MGH36_P1_A02	NA	black	0	0	0
MGH36_P1_A03	0.176282402197	red	1	4.1993	0.04684
MGH36_P1_A04	NA	black	0	4.6676	0
MGH36_P1_A05	NA	black	0	5.2314	0
MGH36_P1_A06	NA	black	0	0	0.082703
MGH36_P1_A08	NA	black	0	4.9174	0
MGH36_P1_A10	NA	black	0	5.0146	0
MGH36_P1_A12	0.112017054773	red	1	4.3752	0.062122
MGH36_P1_B02	NA	black	0	3.5202	0
MGH36_P1_B03	NA	black	0	0	0
MGH36_P1_B04	0.973114001281	green3	2	1.9475	0.04684
MGH36_P1_B06	NA	black	0	0	0
MGH36_P1_B07	NA	black	0	7.4833	0
MGH36_P1_B08	NA	black	0	3.7714	0
MGH36_P1_B09	NA	black	0	0	0
MGH36_P1_B10	NA	black	0	0	0
MGH36_P1_B11	NA	black	0	0	0
MGH36_P1_B12	NA	black	0	0	0.060739
MGH36_P1_C01	-0.232910331392	red	1	5.4136	0.053806
MGH36_P1_C03	0.853571234738	green3	2	2.3369	0.034216
MGH36_P1_C05	NA	black	0	0	0
MGH36_P1_C06	NA	black	0	4.4289	0
MGH36_P1_C07	NA	black	0	4.8397	0
MGH36_P1_C08	NA	black	0	5.5527	0
MGH36_P1_C09	NA	black	0	4.5778	0
MGH36_P1_C10	0.0743368889146	red	1	4.4823	0.074505
MGH36_P1_C11	NA	black	0	6.4395	0
MGH36_P1_D01	NA	black	0	4.1828	0
MGH36_P1_D02	NA	black	0	0	0
MGH36_P1_D03	NA	black	0	5.0967	0
MGH36_P1_D04	NA	black	0	4.6566	0
MGH36_P1_D06	NA	black	0	0.34142	0
MGH36_P1_D07	NA	black	0	4.5603	0
MGH36_P1_D08	-0.181038792131	red	1	5.2534	0.051024
MGH36_P1_D09	NA	black	0	0	0.10434
MGH36_P1_D11	NA	black	0	3.3664	0
MGH36_P1_F01	-0.187053018487	red	1	5.3086	0.08134
MGH36_P1_F02	NA	black	0	1.0949	0
MGH36_P1_F03	NA	black	0	0	0
MGH36_P1_F04	NA	black	0	0	0
MGH36_P1_F05	NA	black	0	1.4895	0
MGH36_P1_F06	NA	black	0	6.0981	0
MGH36_P1_F08	NA	black	0	4.2822	0
MGH36_P1_F11	NA	black	0	0	2.0433
MGH36_P1_F12	NA	black	0	4.2664	0
MGH36_P1_G02	NA	black	0	4.6237	0
MGH36_P1_G03	0.288563376202	red	1	3.9006	0.031395
MGH36_P1_G04	-0.237367164295	red	1	5.5878	0.14143
MGH36_P1_G07	NA	black	0	0	0
MGH36_P1_G08	NA	black	0	5.7489	0
MGH36_P1_G09	NA	black	0	0	0
MGH36_P1_H02	NA	black	0	0	0
MGH36_P1_H03	NA	black	0	0	0
MGH36_P1_H04	-0.0349763499633	red	1	4.8161	0.045443
MGH36_P1_H05	NA	black	0	5.5514	0
MGH36_P1_H06	NA	black	0	0	0.4957
MGH36_P1_H07	NA	black	0	5.4116	0
MGH36_P1_H09	0.696705569352	red	1	2.6376	0.066261
MGH36_P1_H10	NA	black	0	5.6255	0
MGH36_P3_A01	NA	black	0	0.7031	0
MGH36_P3_A02	NA	black	0	6.721	0
MGH36_P3_A03	NA	black	0	0	0
MGH36_P3_A04	NA	black	0	0	0
MGH36_P3_A05	NA	black	0	0	0.12565
MGH36_P3_A08	-0.183230285325	red	1	5.3659	0.12961
MGH36_P3_A09	NA	black	0	4.266	0
MGH36_P3_A10	NA	black	0	5.1729	0
MGH36_P3_A12	-0.127491920203	red	1	5.1391	0.10434
MGH36_P3_B02	NA	black	0	0	0
MGH36_P3_B03	NA	black	0	0	0.19661
MGH36_P3_B04	NA	black	0	0	0
MGH36_P3_B09	NA	black	0	5.4015	0
MGH36_P3_B10	NA	black	0	6.508	0
MGH36_P3_B11	-0.40537581008	red	1	6.0632	0.096262
MGH36_P3_B12	NA	black	0	1.0854	0
MGH36_P3_C01	0.639062325835	red	1	2.5036	0.13356
MGH36_P3_C03	NA	black	0	5.1797	0
MGH36_P3_C04	NA	black	0	0	0.084064
MGH36_P3_C05	NA	black	0	0	0
MGH36_P3_C06	NA	black	0	0	1.6695
MGH36_P3_C08	-0.124521036102	red	1	5.1772	0.14926
MGH36_P3_C11	NA	black	0	0	0
MGH36_P3_C12	NA	black	0	0	0.12433
MGH36_P3_D01	NA	black	0	0	0.12829
MGH36_P3_D02	0.005918211594	red	1	4.2509	0.52005
MGH36_P3_D03	NA	black	0	0	0.14796
MGH36_P3_D04	NA	black	0	4.6211	0
MGH36_P3_D07	NA	black	0	6.0435	0
MGH36_P3_D08	NA	black	0	0	0
MGH36_P3_D09	-0.311730741868	red	1	5.8004	0.1177
MGH36_P3_D11	NA	black	0	5.8021	0
MGH36_P3_E02	NA	black	0	5.9923	0
MGH36_P3_E04	NA	black	0	0	0
MGH36_P3_E05	NA	black	0	0	3.7093
MGH36_P3_E06	-0.46097753792	red	1	6.1822	0.075875
MGH36_P3_E07	NA	black	0	0	0.11902
MGH36_P3_E08	NA	black	0	0	0
MGH36_P3_E09	NA	black	0	0	0.1003
MGH36_P3_E10	NA	black	0	0	0
MGH36_P3_E11	NA	black	0	0	0
MGH36_P3_E12	NA	black	0	4.985	0
MGH36_P3_F01	NA	black	0	5.6457	0
MGH36_P3_F02	NA	black	0	0	0
MGH36_P3_F05	NA	black	0	5.5598	0
MGH36_P3_F06	NA	black	0	0	0
MGH36_P3_F07	-0.349504024858	red	1	5.881	0.098958
MGH36_P3_F08	NA	black	0	0	0
MGH36_P3_F09	NA	black	0	0	0
MGH36_P3_F10	NA	black	0	0	0
MGH36_P3_F11	NA	black	0	5.594	0
MGH36_P3_F12	NA	black	0	0	0
MGH36_P3_G01	-0.293245073467	red	1	5.666	0.088142
MGH36_P3_G02	NA	black	0	0	0.15575
MGH36_P3_G03	NA	black	0	6.3827	0
MGH36_P3_G04	NA	black	0	0.23879	0
MGH36_P3_G05	NA	black	0	0	0
MGH36_P3_G06	NA	black	0	6.5178	0
MGH36_P3_G08	NA	black	0	6.4232	0
MGH36_P3_G09	NA	black	0	5.8541	0
MGH36_P3_G10	NA	black	0	0	0.10568
MGH36_P3_G11	NA	black	0	0	0
MGH36_P3_G12	NA	black	0	3.3196	0
MGH36_P3_H03	-0.412491267638	red	1	6.1606	0.1177
MGH36_P3_H04	NA	black	0	5.4706	0
MGH36_P3_H05	NA	black	0	0	0
MGH36_P3_H07	-0.371953336818	red	1	6.6252	0.24489
MGH36_P3_H08	NA	black	0	0	0
MGH36_P3_H11	NA	black	0	0	0.11103
MGH36_P3_H12	NA	black	0	0	0
MGH36_P4_A01	NA	black	0	0	0
MGH36_P4_A02	NA	black	0	0	0
MGH36_P4_A03	NA	black	0	3.8184	0
MGH36_P4_A04	-0.126714059077	red	1	5.1612	0.12829
MGH36_P4_A06	0.0092252641484	red	1	4.6812	0.10836
MGH36_P4_A07	NA	black	0	3.542	0
MGH36_P4_A08	NA	black	0	0	0.28688
MGH36_P4_A11	NA	black	0	0	0
MGH36_P4_A12	NA	black	0	0.36625	0
MGH36_P4_B02	NA	black	0	0	0.17121
MGH36_P4_B04	NA	black	0	0	0.21909
MGH36_P4_B05	NA	black	0	0	0
MGH36_P4_B06	-0.512023596199	red	1	6.6094	0.13619
MGH36_P4_B08	NA	black	0	5.8547	0
MGH36_P4_B09	NA	black	0	6.3025	0
MGH36_P4_B12	-0.298401282109	red	1	5.6741	0.084064
MGH36_P4_C02	NA	black	0	0	0.1003
MGH36_P4_C03	NA	black	0	0	0
MGH36_P4_C04	NA	black	0	4.9404	0
MGH36_P4_C05	NA	black	0	0	0.085425
MGH36_P4_C06	NA	black	0	0	0
MGH36_P4_C07	-0.137694673649	red	1	5.1583	0.089498
MGH36_P4_C08	NA	black	0	0	0
MGH36_P4_C10	NA	black	0	0	0
MGH36_P4_C11	NA	black	0	0	0
MGH36_P4_C12	-0.259265740731	red	1	5.549	0.085425
MGH36_P4_D01	NA	black	0	5.8764	0
MGH36_P4_D02	NA	black	0	5.9168	0
MGH36_P4_D05	NA	black	0	0	0
MGH36_P4_D07	NA	black	0	0	0.11103
MGH36_P4_D08	NA	black	0	0	0
MGH36_P4_D09	-0.454066976356	red	1	6.332	0.123
MGH36_P4_D10	NA	black	0	7.1344	0
MGH36_P4_D11	NA	black	0	0	0.11503
MGH36_P4_D12	NA	black	0	0	0
MGH36_P4_E01	0.238998174815	red	1	3.9379	0.097611
MGH36_P4_E02	NA	black	0	6.0213	0
MGH36_P4_E04	NA	black	0	0	0
MGH36_P4_E06	0.608682791884	red	1	2.77	0.097611
MGH36_P4_E07	NA	black	0	6.646	0
MGH36_P4_E08	NA	black	0	0	0
MGH36_P4_E09	NA	black	0	0	0.11103
MGH36_P4_E10	NA	black	0	0	0
MGH36_P4_E11	NA	black	0	5.5545	0
MGH36_P4_E12	NA	black	0	0	0.39726
MGH36_P4_F01	-0.127470482716	red	1	5.2451	0.1903
MGH36_P4_F02	-0.352203478891	red	1	5.9207	0.10969
MGH36_P4_F03	NA	black	0	0	0
MGH36_P4_F04	NA	black	0	0	0.12565
MGH36_P4_F05	NA	black	0	7.5258	0
MGH36_P4_F06	NA	black	0	0	0
MGH36_P4_F07	NA	black	0	0	0.50487
MGH36_P4_F09	NA	black	0	0	0
MGH36_P4_F10	NA	black	0	4.918	0
MGH36_P4_F11	NA	black	0	0	0
MGH36_P4_F12	NA	black	0	5.7847	0
MGH36_P4_G01	NA	black	0	0	0
MGH36_P4_G02	-0.506462595229	red	1	6.5623	0.13093
MGH36_P4_G03	NA	black	0	0	0.13881
MGH36_P4_G04	NA	black	0	0.31846	0
MGH36_P4_G05	NA	black	0	0	0
MGH36_P4_G06	NA	black	0	0	0
MGH36_P4_G08	NA	black	0	0	0
MGH36_P4_G09	NA	black	0	0	0.31034
MGH36_P4_G10	NA	black	0	0	0
MGH36_P4_G11	NA	black	0	0	0
MGH36_P4_H01	-0.159277021735	red	1	5.4086	0.20414
MGH36_P4_H02	NA	black	0	7.0591	0
MGH36_P4_H03	NA	black	0	0	0
MGH36_P4_H04	NA	black	0	0	0
MGH36_P4_H05	NA	black	0	6.3157	0
MGH36_P4_H09	-1.61930811983	black	0	3.1622	2.0949
MGH36_P4_H12	NA	black	0	0	0.27858
MGH36_P6_A02	NA	black	0	4.8293	0
MGH36_P6_A04	NA	black	0	0	0.29042
MGH36_P6_A05	NA	black	0	0	0
MGH36_P6_A07	-0.338863344836	red	1	5.9369	0.13093
MGH36_P6_A08	NA	black	0	5.0888	0
MGH36_P6_A09	NA	black	0	4.7509	0
MGH36_P6_A10	-0.627886072104	red	1	6.7695	0.084064
MGH36_P6_A11	NA	black	0	6.4295	0
MGH36_P6_B03	NA	black	0	0	0.19283
MGH36_P6_B04	-0.387433934646	red	1	5.914	0.064883
MGH36_P6_B05	NA	black	0	3.8062	0
MGH36_P6_B06	NA	black	0	4.6891	0
MGH36_P6_B10	NA	black	0	0	0.10299
MGH36_P6_B11	NA	black	0	5.2891	0
MGH36_P6_B12	NA	black	0	0.78073	0
MGH36_P6_C02	NA	black	0	5.7097	0
MGH36_P6_C03	NA	black	0	0	0
MGH36_P6_C04	NA	black	0	6.0999	0
MGH36_P6_C05	NA	black	0	0	0
MGH36_P6_C06	NA	black	0	0	0.12035
MGH36_P6_C07	NA	black	0	0	0
MGH36_P6_C08	NA	black	0	4.1459	0
MGH36_P6_C09	NA	black	0	0	0.32539
MGH36_P6_C11	NA	black	0	0	0
MGH36_P6_C12	NA	black	0	0	0
MGH36_P6_D01	NA	black	0	0	0
MGH36_P6_D02	0.15857026493	red	1	1.2041	0.49262
MGH36_P6_D03	NA	black	0	6.338	0
MGH36_P6_D04	NA	black	0	0.61542	0
MGH36_P6_D05	NA	black	0	0	0
MGH36_P6_D06	NA	black	0	4.9028	0
MGH36_P6_D07	NA	black	0	0	0
MGH36_P6_D08	NA	black	0	0	0
MGH36_P6_D10	NA	black	0	4.9734	0
MGH36_P6_D11	NA	black	0	7.6091	0
MGH36_P6_E02	NA	black	0	0	0
MGH36_P6_E03	NA	black	0	0	0.13619
MGH36_P6_E04	0.0460032226021	red	1	4.5086	0.20914
MGH36_P6_E05	NA	black	0	0	0
MGH36_P6_E06	NA	black	0	0	0.092207
MGH36_P6_E07	NA	black	0	4.6943	0
MGH36_P6_E08	NA	black	0	0	0
MGH36_P6_E09	NA	black	0	0	0
MGH36_P6_E10	NA	black	0	6.039	0
MGH36_P6_E11	NA	black	0	5.1309	0
MGH36_P6_E12	0.0179550738366	red	1	4.5944	0.30918
MGH36_P6_F01	NA	black	0	5.9689	0
MGH36_P6_F04	NA	black	0	0	0.07861
MGH36_P6_F06	NA	black	0	5.537	0
MGH36_P6_F07	NA	black	0	4.436	0
MGH36_P6_F08	-0.0230139904417	red	1	4.7936	0.13225
MGH36_P6_F10	NA	black	0	0	0
MGH36_P6_F12	-0.282580136283	red	1	5.9389	0.19787
MGH36_P6_G01	1.10169432284	black	0	6.0603	1.6736
MGH36_P6_G02	NA	black	0	6.0566	0
MGH36_P6_G03	NA	black	0	5.8917	0
MGH36_P6_G04	NA	black	0	0.50284	0
MGH36_P6_G05	NA	black	0	3.698	0
MGH36_P6_G06	NA	black	0	0	0
MGH36_P6_G07	NA	black	0	0	0
MGH36_P6_G08	NA	black	0	0	0
MGH36_P6_G09	NA	black	0	6.1638	0
MGH36_P6_G10	NA	black	0	0	0.073135
MGH36_P6_G11	0.825034968136	green3	2	2.1677	0.085425
MGH36_P6_G12	NA	black	0	5.8477	0
MGH36_P6_H06	NA	black	0	0	0.073135
MGH36_P6_H07	NA	black	0	0	0.077243
MGH36_P6_H10	NA	black	0	2.6624	0
MGH36_P6_H12	NA	black	0	6.4066	0
