Cell_name	Zvalue	Color	Cluster	CHEK1	MYC
MGH53_P4_C04	NA	black	0	0.27143	0
MGH53_P1_E10	NA	black	0	0.50386	0
MGH53_P2_E09	NA	black	0	0	0
MGH36_P3_C10	NA	black	0	0.39177	0
MGH53_P2_F01	NA	black	0	0	0
MGH53_P4_H05	NA	black	0	0	0
MGH53_P4_G10	NA	black	0	0	4.48
MGH54_P2_D07	NA	black	0	0	0
MGH53_P2_D09	NA	black	0	0.32077	0
MGH53_P1_D09	NA	black	0	0	0.71633
MGH54_P2_B08	NA	black	0	0.22774	0
MGH54_P2_G05	NA	black	0	0	0
MGH53_P2_F06	NA	black	0	0	0
MGH36_P3_E01	NA	black	0	0.11636	0
MGH36_P5_E12	NA	black	0	0.35614	0
MGH53_P4_A12	NA	black	0	0.45733	0
MGH36_P9_F01	NA	black	0	0	0
MGH36_P3_H10	NA	black	0	0.123	0
MGH36_P3_H02	NA	black	0	0	0
MGH36_P5_C10	NA	black	0	0	0
MGH54_P2_B05	-0.454594674521	red	1	0.20539	4.5024
MGH36_P2_F09	-1.0898146231	red	1	0.24853	6.3924
MGH53_P4_A05	NA	black	0	0	0
MGH54_P2_H10	NA	black	0	0	0
MGH53_P4_E06	NA	black	0	0.301	0
MGH53_P4_D12	NA	black	0	0	0
MGH54_P2_H07	NA	black	0	0.23511	0
MGH53_P2_E03	-0.161452603423	red	1	0.74846	4.4218
MGH53_P1_A05	0.290627587093	red	1	0.17121	2.6886
MGH36_P7_D12	NA	black	0	0	0
MGH53_P4_H03	NA	black	0	0	0
MGH53_P2_E05	0.998417164534	green3	2	0.338	0.67987
MGH36_P4_H11	NA	black	0	0	0
MGH53_P1_B01	NA	black	0	0	3.2951
MGH54_P2_G03	NA	black	0	0	0
MGH53_P2_F12	NA	black	0	0.44361	0
MGH36_P4_C09	NA	black	0	0.16864	0
MGH36_P5_C08	NA	black	0	0	0
MGH36_P4_H06	-0.608031808056	red	1	0.25338	4.9968
MGH36_P10_E01	NA	black	0	0	0
MGH36_P8_E12	NA	black	0	0	2.9811
MGH53_P2_C10	NA	black	0	0.20914	0
MGH36_P4_H08	NA	black	0	0	0
MGH36_P7_F07	-0.235663311306	red	1	0.15834	3.9164
MGH54_P2_A09	-0.440748671868	red	1	0.3115	4.6222
MGH36_P6_H11	1.17153713493	green3	2	0.15056	0.80571
MGH53_P2_E12	NA	black	0	0	0
MGH53_P1_F08	NA	black	0	0.54992	0
MGH36_P6_D12	0.226799740003	red	1	0.12697	2.8602
MGH36_P2_H09	-0.428768428838	red	1	0.31499	4.5923
MGH53_P1_C01	NA	black	0	0	0
MGH53_P2_F11	NA	black	0	0.32769	0
MGH36_P6_H04	NA	black	0	0	0
MGH36_P5_G05	-1.53275492712	red	1	0.063503	6.8561
MGH53_P4_B04	NA	black	0	0.24853	0
MGH53_P1_E05	NA	black	0	0	0
MGH36_P10_A08	NA	black	0	0	4.3832
MGH36_P9_G01	NA	black	0	0	0
MGH53_P4_A06	NA	black	0	0	5.2067
MGH36_P6_B09	NA	black	0	0	4.6174
MGH54_P2_D09	NA	black	0	0	0.39177
MGH53_P1_E06	NA	black	0	0	0
MGH36_P4_A10	NA	black	0	0	0
MGH36_P6_B02	NA	black	0	0.60407	0
MGH53_P4_G06	NA	black	0	0.20539	0
MGH36_P8_F01	NA	black	0	0	0
MGH36_P9_F06	NA	black	0	0	5.8031
MGH36_P5_H04	NA	black	0	0	0
MGH53_P1_B03	NA	black	0	0.3584	0
MGH53_P2_D05	NA	black	0	0	3.3883
MGH36_P4_G12	NA	black	0	0	4.4036
MGH53_P2_D11	NA	black	0	0	0
MGH53_P4_C02	NA	black	0	0.25217	0
MGH53_P4_F04	NA	black	0	0	3.7869
MGH36_P3_D10	NA	black	0	0	0
MGH54_P2_F04	NA	black	0	0	0
MGH36_P6_A03	NA	black	0	0.14666	0
MGH53_P1_F07	NA	black	0	0	0
MGH36_P5_H08	1.5374648677	green3	2	0.097611	0.21164
MGH54_P2_A04	NA	black	0	0	4.2519
MGH53_P4_E11	-0.366041434235	red	1	0.1865	4.2558
MGH53_P2_G03	NA	black	0	0.15834	0
MGH36_P3_F04	NA	black	0	0	4.986
MGH54_P2_B02	NA	black	0	0	6.781
MGH36_P5_C07	NA	black	0	0	0
MGH53_P2_E02	NA	black	0	0	0
MGH54_P2_F09	NA	black	0	0	0
MGH36_P3_D05	NA	black	0	0.31034	0
MGH36_P5_F12	NA	black	0	0.052416	0
MGH53_P2_H09	NA	black	0	0	0
MGH54_P2_F07	NA	black	0	0.18777	0
MGH36_P5_D10	NA	black	0	0.097611	0
MGH54_P2_F11	NA	black	0	0	0
MGH53_P2_H04	NA	black	0	0	0
MGH36_P6_F09	NA	black	0	0.13488	0
MGH36_P9_F05	NA	black	0	0.60217	0
MGH36_P8_G11	NA	black	0	0	0
MGH54_P2_A07	NA	black	0	0.17121	0
MGH36_P7_H06	NA	black	0	0	3.7496
MGH53_P1_A01	NA	black	0	0.18269	0
MGH53_P1_A02	-0.0244263560178	red	1	0.39616	3.4291
MGH54_P2_E07	NA	black	0	0	4.1835
MGH53_P4_F07	NA	black	0	0	0
MGH53_P2_C05	NA	black	0	0	0
MGH53_P4_H07	NA	black	0	0	0
MGH53_P2_C06	NA	black	0	0	6.2974
MGH36_P3_F03	NA	black	0	0.28096	0
MGH36_P2_A10	NA	black	0	0.09356	0
MGH53_P4_E03	NA	black	0	0	4.1208
MGH36_P9_D12	NA	black	0	0	4.2324
MGH54_P2_H03	NA	black	0	0.26784	0
MGH36_P4_D06	NA	black	0	0	4.6504
MGH53_P2_B03	NA	black	0	0.33571	0
MGH53_P4_F03	NA	black	0	0.20163	0
MGH36_P10_E09	NA	black	0	0	5.0261
MGH53_P1_G02	NA	black	0	2.7377	0
MGH54_P2_A02	NA	black	0	0	0
MGH36_P3_A07	NA	black	0	0.4782	0
MGH53_P4_E12	NA	black	0	0	0
MGH54_P2_A03	NA	black	0	0	4.1849
MGH53_P4_E10	NA	black	0	0	3.9868
MGH54_P2_D08	NA	black	0	0.40926	0
MGH36_P8_A02	NA	black	0	0	0
MGH54_P2_B07	NA	black	0	0	0
MGH53_P1_B10	NA	black	0	0	5.0523
MGH53_P2_F08	NA	black	0	0.33228	0
MGH36_P10_A01	NA	black	0	0	0
MGH36_P10_F01	NA	black	0	0	0
MGH53_P4_G03	NA	black	0	0	0
MGH53_P1_F12	NA	black	0	0	0
MGH36_P4_B03	NA	black	0	0	0
MGH54_P2_C07	NA	black	0	2.4375	0
MGH53_P1_B02	NA	black	0	0	4.1708
MGH54_P2_D05	NA	black	0	0	0
MGH53_P2_C08	NA	black	0	0	0
MGH53_P4_H09	NA	black	0	0	0.64985
MGH36_P8_H02	NA	black	0	0	0
MGH36_P10_H10	NA	black	0	0	0
MGH53_P1_A12	-0.668248678756	red	1	0.30451	5.2953
MGH36_P8_F08	NA	black	0	0	0
MGH53_P1_D10	NA	black	0	0.32193	0
MGH53_P4_A09	NA	black	0	0	0
MGH53_P2_H08	NA	black	0	0.69064	0
MGH36_P4_A09	NA	black	0	0	0.27143
MGH53_P4_C08	NA	black	0	0.16736	0
MGH36_P5_E04	NA	black	0	0.16736	0
MGH53_P2_A07	NA	black	0	0	0
MGH54_P2_G10	NA	black	0	0	0
MGH36_P7_E06	NA	black	0	0	0
MGH36_P9_D04	NA	black	0	0	4.2349
MGH53_P1_C12	NA	black	0	0	0
MGH36_P8_F06	NA	black	0	0	3.8051
MGH36_P1_G11	NA	black	0	0	4.6186
MGH53_P1_F02	NA	black	0	0	0
MGH54_P2_D10	NA	black	0	0	4.9599
MGH36_P9_A08	NA	black	0	0	0
MGH53_P2_H03	NA	black	0	0	0
MGH53_P4_B03	NA	black	0	0.75531	0
MGH53_P1_F10	-0.0631523843012	red	1	0.18142	3.5125
MGH53_P4_B05	NA	black	0	0	0
MGH53_P2_B08	NA	black	0	0.21785	0
MGH36_P3_B06	NA	black	0	0	0
MGH36_P10_C02	NA	black	0	0	2.9732
MGH36_P2_E05	NA	black	0	0.064883	0
MGH54_P2_G09	NA	black	0	0	0
MGH54_P2_D12	NA	black	0	0	0
MGH53_P2_H02	NA	black	0	0	0
MGH36_P8_F11	NA	black	0	0	0
MGH53_P2_A10	NA	black	0	0	3.5988
MGH54_P2_E09	NA	black	0	0	0
MGH36_P3_H06	NA	black	0	0	4.8196
MGH36_P5_D05	1.48796934219	green3	2	0.097611	0.30801
MGH54_P2_A11	NA	black	0	0	4.6698
MGH54_P2_G04	NA	black	0	0	0
MGH36_P6_C01	NA	black	0	0	0
MGH53_P2_E06	NA	black	0	0	0
MGH53_P1_E01	NA	black	0	0.32193	0
MGH36_P1_B01	NA	black	0	0.20414	0
MGH54_P2_H04	NA	black	0	0	0
MGH36_P2_C05	NA	black	0	0.094912	0
MGH36_P6_H05	NA	black	0	0.12961	0
MGH36_P10_E06	NA	black	0	0	0.50182
MGH54_P2_F03	NA	black	0	0	0
MGH36_P4_B10	NA	black	0	0	6.1422
MGH54_P2_F02	NA	black	0	0.41143	0
MGH36_P2_E11	NA	black	0	0.123	0
MGH54_P2_D11	NA	black	0	0.15704	0
MGH54_P2_G01	NA	black	0	0	2.2657
MGH36_P9_D02	NA	black	0	0	0
MGH54_P2_E06	NA	black	0	0	0
MGH54_P16_F12	NA	black	0	0	0
MGH53_P5_C12	NA	black	0	0	0
MGH54_P12_C10	NA	black	0	0	0
MGH54_P16_F02	NA	black	0	0	0
MGH54_P11_C11	NA	black	0	0	0
MGH53_P1_E03	NA	black	0	0	0
MGH54_P15_D06	NA	black	0	0	0
MGH54_P14_F05	NA	black	0	0	0
MGH54_P16_A03	NA	black	0	0.33342	0
MGH53_P4_G11	NA	black	0	0	0
MGH53_P7_B09	NA	black	0	0	0
MGH54_P17_D11	NA	black	0	0	0
MGH54_P10_G04	NA	black	0	0	0
MGH54_P10_C06	NA	black	0	0	0
MGH53_P2_A02	NA	black	0	0.19535	0
MGH53_P4_F06	NA	black	0	0	0
MGH53_P7_F07	NA	black	0	0.21661	0
MGH53_P11_F06	NA	black	0	0	0
MGH53_P5_G02	NA	black	0	0	0
MGH53_P1_F09	NA	black	0	0.38626	0
MGH53_P11_H03	NA	black	0	0	0
MGH53_P10_D11	NA	black	0	0	0
MGH53_P1_A10	NA	black	0	0	0
MGH53_P4_B12	NA	black	0	0.37629	0
MGH53_P5_H09	NA	black	0	0	0
MGH53_P9_D07	NA	black	0	0	0
MGH53_P11_E03	NA	black	0	0	0
MGH53_P1_C02	NA	black	0	0	0
MGH53_P10_F11	NA	black	0	0.83107	0
MGH53_P1_E02	NA	black	0	0	0
MGH53_P1_D07	NA	black	0	0.43082	0
MGH53_P6_B01	NA	black	0	0	0
MGH53_P2_G04	NA	black	0	0.19535	0
MGH53_P1_C05	NA	black	0	0	0
MGH53_P2_G09	NA	black	0	0.48027	0
MGH53_P5_A05	NA	black	0	0	0
MGH53_P5_F04	NA	black	0	0	0
MGH53_P10_H03	NA	black	0	0.27858	0
MGH53_P11_F08	NA	black	0	0	0
MGH54_P7_F12	NA	black	0	0.23634	0
MGH53_P8_F03	NA	black	0	0	0
MGH53_P11_A07	NA	black	0	3.2699	0
MGH53_P6_B11	NA	black	0	0	0
MGH53_P4_C07	NA	black	0	4.0699	0
MGH53_P6_H06	NA	black	0	0	0
MGH36_P1_A01	0.022729961371	red	1	0.13225	3.3125
MGH36_P1_A02	NA	black	0	0	4.2764
MGH36_P1_A03	NA	black	0	0.086784	0
MGH36_P1_A04	NA	black	0	0	0
MGH36_P1_A05	NA	black	0	0	0.15316
MGH36_P1_A06	NA	black	0	0	0
MGH36_P1_A08	-0.95313736647	red	1	2.7721	1.9989
MGH36_P1_A10	NA	black	0	0	1.4098
MGH36_P1_A12	NA	black	0	0	4.1738
MGH36_P1_B02	NA	black	0	0	0
MGH36_P1_B03	NA	black	0	0.066261	0
MGH36_P1_B04	NA	black	0	3.8705	0
MGH36_P1_B06	0.0663467815148	red	1	0.59072	3.0625
MGH36_P1_B07	NA	black	0	0	0
MGH36_P1_B08	NA	black	0	0.20914	0
MGH36_P1_B09	NA	black	0	0	0
MGH36_P1_B10	-0.346964540018	red	1	1.4238	0.51904
MGH36_P1_B11	NA	black	0	0.073135	0
MGH36_P1_B12	NA	black	0	1.6131	0
MGH36_P1_C01	-0.494390373837	red	1	0.097611	4.4685
MGH36_P1_C03	NA	black	0	0	0.32423
MGH36_P1_C05	NA	black	0	0	0
MGH36_P1_C06	NA	black	0	0	3.1481
MGH36_P1_C07	0.904395249852	green3	2	0.075875	1.5059
MGH36_P1_C08	NA	black	0	0	0
MGH36_P1_C09	-0.0335686880424	red	1	0.063503	3.4374
MGH36_P1_C10	NA	black	0	0	0
MGH36_P1_C11	NA	black	0	0.056584	0
MGH36_P1_D01	NA	black	0	2.5236	0
MGH36_P1_D02	NA	black	0	0	0
MGH36_P1_D03	-3.59980405228	black	0	4.3729	0.74502
MGH36_P1_D04	NA	black	0	0	0
MGH36_P1_D06	NA	black	0	0	0
MGH36_P1_D07	NA	black	0	0	0
MGH36_P1_D08	NA	black	0	0.097611	0
MGH36_P1_D09	NA	black	0	0	0
MGH36_P1_D11	NA	black	0	0.15316	0
MGH36_P1_F01	NA	black	0	0.14666	0
MGH36_P1_F02	NA	black	0	0	0
MGH36_P1_F03	NA	black	0	0	0
MGH36_P1_F04	1.66743557275	green3	2	0.060739	0.069015
MGH36_P1_F05	NA	black	0	3.3587	0
MGH36_P1_F06	NA	black	0	0	0
MGH36_P1_F08	NA	black	0	0	0.31846
MGH36_P1_F11	NA	black	0	2.7396	0
MGH36_P1_F12	NA	black	0	0.034216	0
MGH36_P1_G02	NA	black	0	0	0
MGH36_P1_G03	1.41028301949	green3	2	0.098958	0.45628
MGH36_P1_G04	NA	black	0	0	1.2327
MGH36_P1_G07	-0.129942651477	red	1	0.85997	4.7021
MGH36_P1_G08	0.567726588549	red	1	2.0817	4.5037
MGH36_P1_G09	0.399383368433	red	1	0.062122	2.5398
MGH36_P1_H02	-1.63951487156	red	1	0.031395	6.991
MGH36_P1_H03	NA	black	0	0.048236	0
MGH36_P1_H04	0.367374775656	red	1	0.86948	0.51803
MGH36_P1_H05	NA	black	0	0	0
MGH36_P1_H06	NA	black	0	3.1468	0
MGH36_P1_H07	NA	black	0	0.10568	0
MGH36_P1_H09	NA	black	0	2.6982	0
MGH36_P1_H10	NA	black	0	0	0
MGH36_P3_A01	NA	black	0	0	0
MGH36_P3_A02	NA	black	0	0	0
MGH36_P3_A03	NA	black	0	0	4.7417
MGH36_P3_A04	NA	black	0	0.23879	0
MGH36_P3_A05	NA	black	0	0	0
MGH36_P3_A08	NA	black	0	0	0
MGH36_P3_A09	NA	black	0	0	0
MGH36_P3_A10	NA	black	0	0	0
MGH36_P3_A12	NA	black	0	0.10299	0
MGH36_P3_B02	NA	black	0	0	0
MGH36_P3_B03	NA	black	0	0	0
MGH36_P3_B04	NA	black	0	0.45207	0
MGH36_P3_B09	-0.47325776823	red	1	0.19156	4.532
MGH36_P3_B10	NA	black	0	0	0
MGH36_P3_B11	NA	black	0	0	0
MGH36_P3_B12	NA	black	0	0	2.0468
MGH36_P3_C01	NA	black	0	0.23879	0
MGH36_P3_C03	0.0867410937528	red	1	0.20289	3.1506
MGH36_P3_C04	NA	black	0	0.086784	0
MGH36_P3_C05	NA	black	0	0	7.587
MGH36_P3_C06	NA	black	0	0	0.94711
MGH36_P3_C08	NA	black	0	0	0
MGH36_P3_C11	NA	black	0	3.4098	0
MGH36_P3_C12	NA	black	0	0.51904	0
MGH36_P3_D01	NA	black	0	0.85758	0
MGH36_P3_D02	NA	black	0	0	0
MGH36_P3_D03	NA	black	0	0	0
MGH36_P3_D04	NA	black	0	0.20163	0
MGH36_P3_D07	NA	black	0	0	0
MGH36_P3_D08	NA	black	0	0.2762	0
MGH36_P3_D09	-0.609750248064	red	1	0.21164	4.9193
MGH36_P3_D11	NA	black	0	0	6.0732
MGH36_P3_E02	NA	black	0	0	0
MGH36_P3_E04	NA	black	0	0.16092	0
MGH36_P3_E05	1.22235569107	green3	2	0.19535	0.58015
MGH36_P3_E06	NA	black	0	0	0.53406
MGH36_P3_E07	NA	black	0	3.5567	0
MGH36_P3_E08	NA	black	0	0	0.85838
MGH36_P3_E09	NA	black	0	0	2.6053
MGH36_P3_E10	NA	black	0	0	3.8526
MGH36_P3_E11	NA	black	0	0	0
MGH36_P3_E12	NA	black	0	0.14143	0
MGH36_P3_F01	NA	black	0	0	4.7533
MGH36_P3_F02	NA	black	0	0	0
MGH36_P3_F05	NA	black	0	0.35502	0
MGH36_P3_F06	NA	black	0	0	0
MGH36_P3_F07	NA	black	0	0	0
MGH36_P3_F08	NA	black	0	2.1227	0
MGH36_P3_F09	NA	black	0	0	0
MGH36_P3_F10	NA	black	0	0	4.6885
MGH36_P3_F11	NA	black	0	0.15575	0
MGH36_P3_F12	NA	black	0	0	0
MGH36_P3_G01	NA	black	0	0	0
MGH36_P3_G02	NA	black	0	0	6.5629
MGH36_P3_G03	0.946452883571	green3	2	0.1903	1.1928
MGH36_P3_G04	NA	black	0	0.49978	0
MGH36_P3_G05	NA	black	0	2.9804	0
MGH36_P3_G06	NA	black	0	0	0
MGH36_P3_G08	NA	black	0	4.8081	0
MGH36_P3_G09	NA	black	0	0	0
MGH36_P3_G10	NA	black	0	3.9169	0
MGH36_P3_G11	NA	black	0	0	0
MGH36_P3_G12	NA	black	0	2.3704	0
MGH36_P3_H03	NA	black	0	0	0
MGH36_P3_H04	NA	black	0	0	0
MGH36_P3_H05	NA	black	0	0	0
MGH36_P3_H07	NA	black	0	0	0
MGH36_P3_H08	NA	black	0	0	0
MGH36_P3_H11	NA	black	0	0	2.9996
MGH36_P3_H12	1.62548454811	green3	2	2.9879	5.0815
MGH36_P4_A01	-0.682385720092	red	1	0.40708	5.6755
MGH36_P4_A02	NA	black	0	0	0
MGH36_P4_A03	NA	black	0	0	0
MGH36_P4_A04	-0.275653318832	red	1	0.22774	4.0626
MGH36_P4_A06	NA	black	0	3.1859	0
MGH36_P4_A07	NA	black	0	2.1661	0
MGH36_P4_A08	NA	black	0	0	0
MGH36_P4_A11	NA	black	0	0	0
MGH36_P4_A12	1.16187682034	green3	2	0.22033	0.64247
MGH36_P4_B02	NA	black	0	0	0
MGH36_P4_B04	-0.463468789329	red	1	0.53605	5.2923
MGH36_P4_B05	NA	black	0	0	0
MGH36_P4_B06	NA	black	0	0	0
MGH36_P4_B08	NA	black	0	0	4.4914
MGH36_P4_B09	NA	black	0	0.22651	0
MGH36_P4_B12	NA	black	0	0	4.6501
MGH36_P4_C02	NA	black	0	0.18015	0
MGH36_P4_C03	NA	black	0	0	0
MGH36_P4_C04	NA	black	0	0	0
MGH36_P4_C05	NA	black	0	0	0
MGH36_P4_C06	NA	black	0	0	0
MGH36_P4_C07	NA	black	0	0.47508	0
MGH36_P4_C08	NA	black	0	0	0
MGH36_P4_C10	NA	black	0	0	0
MGH36_P4_C11	NA	black	0	0	0
MGH36_P4_C12	NA	black	0	0	4.4559
MGH36_P4_D01	-0.889105682361	red	1	0.20289	5.6537
MGH36_P4_D02	NA	black	0	0	3.4807
MGH36_P4_D05	NA	black	0	0	0
MGH36_P4_D07	NA	black	0	0	0
MGH36_P4_D08	NA	black	0	0	0
MGH36_P4_D09	NA	black	0	0	0
MGH36_P4_D10	NA	black	0	0	0
MGH36_P4_D11	NA	black	0	0.20163	0
MGH36_P4_D12	NA	black	0	4.9528	0
MGH36_P4_E01	NA	black	0	0	0
MGH36_P4_E02	NA	black	0	0	0
MGH36_P4_E04	NA	black	0	0	0
MGH36_P4_E06	NA	black	0	0	0
MGH36_P4_E07	NA	black	0	0	0
MGH36_P4_E08	NA	black	0	0	0
MGH36_P4_E09	NA	black	0	0.19409	0
MGH36_P4_E10	NA	black	0	0	0
MGH36_P4_E11	NA	black	0	0	0
MGH36_P4_E12	NA	black	0	0	0.41034
MGH36_P4_F01	-0.133947453327	red	1	0.32998	3.7402
MGH36_P4_F02	NA	black	0	0	0
MGH36_P4_F03	NA	black	0	0	0
MGH36_P4_F04	NA	black	0	0	0
MGH36_P4_F05	NA	black	0	0	5.9458
MGH36_P4_F06	NA	black	0	0.35952	0
MGH36_P4_F07	NA	black	0	0	5.4122
MGH36_P4_F09	NA	black	0	0	0
MGH36_P4_F10	NA	black	0	0	4.8078
MGH36_P4_F11	NA	black	0	0	5.0714
MGH36_P4_F12	NA	black	0	0	0
MGH36_P4_G01	NA	black	0	0	0
MGH36_P4_G02	NA	black	0	0	0
MGH36_P4_G03	NA	black	0	0.24367	0
MGH36_P4_G04	-0.121997003198	red	1	0.19283	3.6572
MGH36_P4_G05	NA	black	0	0	0.66539
MGH36_P4_G06	NA	black	0	0.71633	0
MGH36_P4_G08	NA	black	0	0	3.6277
MGH36_P4_G09	NA	black	0	0.89685	0
MGH36_P4_G10	NA	black	0	0	0
MGH36_P4_G11	NA	black	0	0	4.0952
MGH36_P4_H01	NA	black	0	0.51096	0
MGH36_P4_H02	NA	black	0	0	3.6067
MGH36_P4_H03	NA	black	0	0.49876	0
MGH36_P4_H04	NA	black	0	2.3854	0
MGH36_P4_H05	NA	black	0	3.7146	0
MGH36_P4_H09	NA	black	0	0	3.8703
MGH36_P4_H12	NA	black	0	0.66084	0
MGH36_P6_A02	-4.71885282949	black	0	4.7751	0.30918
MGH36_P6_A04	-0.182977879524	red	1	0.14012	3.7838
MGH36_P6_A05	NA	black	0	0	0
MGH36_P6_A07	NA	black	0	0	0
MGH36_P6_A08	NA	black	0	0.2558	0
MGH36_P6_A09	NA	black	0	0	1.7115
MGH36_P6_A10	NA	black	0	0	4.5693
MGH36_P6_A11	NA	black	0	0	5.5889
MGH36_P6_B03	NA	black	0	0.60597	0
MGH36_P6_B04	NA	black	0	0	0
MGH36_P6_B05	NA	black	0	0	4.3232
MGH36_P6_B06	0.0678964637334	red	1	0.15056	3.2073
MGH36_P6_B10	NA	black	0	0	0
MGH36_P6_B11	NA	black	0	0	0
MGH36_P6_B12	NA	black	0	0	0
MGH36_P6_C02	NA	black	0	0	0
MGH36_P6_C03	NA	black	0	0	0
MGH36_P6_C04	NA	black	0	2.2651	0
MGH36_P6_C05	NA	black	0	0	4.7262
MGH36_P6_C06	NA	black	0	0	3.4729
MGH36_P6_C07	NA	black	0	0	0
MGH36_P6_C08	NA	black	0	0	2.3443
MGH36_P6_C09	NA	black	0	0	0
MGH36_P6_C11	NA	black	0	4.0766	0
MGH36_P6_C12	NA	black	0	0.46048	0
MGH36_P6_D01	NA	black	0	0	0.28806
MGH36_P6_D02	NA	black	0	0.80074	0
MGH36_P6_D03	NA	black	0	0	0
MGH36_P6_D04	NA	black	0	0	2.7338
MGH36_P6_D05	NA	black	0	0.18269	0
MGH36_P6_D06	-0.40979226179	red	1	0.33113	4.5617
MGH36_P6_D07	NA	black	0	0.20289	0
MGH36_P6_D08	NA	black	0	0	0
MGH36_P6_D10	-1.03036490168	red	1	0.44573	7.3238
MGH36_P6_D11	NA	black	0	0	0
MGH36_P6_E02	NA	black	0	0	0
MGH36_P6_E03	NA	black	0	0.21039	0
MGH36_P6_E04	-0.313225808375	red	1	0.22033	4.1536
MGH36_P6_E05	NA	black	0	0	0
MGH36_P6_E06	NA	black	0	0	0
MGH36_P6_E07	NA	black	0	0	3.7299
MGH36_P6_E08	NA	black	0	0	1.0969
MGH36_P6_E09	NA	black	0	0	2.9614
MGH36_P6_E10	NA	black	0	0.39177	0
MGH36_P6_E11	NA	black	0	0.4351	0
MGH36_P6_E12	NA	black	0	0	4.4831
MGH36_P6_F01	NA	black	0	0.24975	0
MGH36_P6_F04	NA	black	0	0.14143	0
MGH36_P6_F06	NA	black	0	0	0
MGH36_P6_F07	NA	black	0	0	4.4215
MGH36_P6_F08	NA	black	0	0	5.0588
MGH36_P6_F10	NA	black	0	0.15445	0
MGH36_P6_F12	NA	black	0	0	0
MGH36_P6_G01	NA	black	0	0	3.7141
MGH36_P6_G02	NA	black	0	0	0
MGH36_P6_G03	NA	black	0	2.346	0
MGH36_P6_G04	NA	black	0	0.16092	0
MGH36_P6_G05	1.2029432052	green3	2	0.26303	0.42331
MGH36_P6_G06	NA	black	0	0	0
MGH36_P6_G07	NA	black	0	0	0
MGH36_P6_G08	-0.548381637933	red	1	0.47508	5.4186
MGH36_P6_G09	NA	black	0	0	4.8827
MGH36_P6_G10	NA	black	0	0	0
MGH36_P6_G11	NA	black	0	0	0
MGH36_P6_G12	NA	black	0	3.5815	0
MGH36_P6_H06	NA	black	0	0	0
MGH36_P6_H07	NA	black	0	0.32423	0
MGH36_P6_H10	0.168819838663	red	1	0.10568	2.9968
MGH36_P6_H12	NA	black	0	0	0.1375
MGH36_P7_A01	NA	black	0	4.0035	0
MGH36_P7_A02	NA	black	0	0	0
MGH36_P7_A03	NA	black	0	0	0
MGH36_P7_A04	NA	black	0	0	0
MGH36_P7_A06	NA	black	0	0.17377	0
MGH36_P7_A07	NA	black	0	0.60502	0
MGH36_P7_A08	NA	black	0	0.38184	0
MGH36_P7_A09	NA	black	0	0	0
MGH36_P7_A10	NA	black	0	0	0
MGH36_P7_A11	NA	black	0	0	0
MGH36_P7_A12	NA	black	0	0	0
MGH36_P7_B01	NA	black	0	0	0
MGH36_P7_B02	NA	black	0	0	0
MGH36_P7_B03	NA	black	0	3.0275	0
MGH36_P7_B04	NA	black	0	0	0
MGH36_P7_B06	NA	black	0	0	0
MGH36_P7_B07	0.2750450607	red	1	0.22033	2.6875
