Cell_name	Zvalue	Color	Cluster	CREB1	ODC1
MGH54_P2_D07	-1.71255244009	red	1	0.063503	6.3885
MGH53_P2_D09	NA	black	0	0	2.9765
MGH53_P1_D09	-0.576628615384	red	1	0.6173	5.4223
MGH54_P2_B08	-0.903810154345	red	1	0.16479	5.1562
MGH54_P2_G05	NA	black	0	2.5452	0
MGH53_P2_F06	NA	black	0	0	5.7366
MGH36_P3_E01	NA	black	0	0.13356	0
MGH36_P5_E12	NA	black	0	0.05797	0
MGH53_P4_A12	NA	black	0	0.070389	0
MGH36_P9_F01	NA	black	0	0.36065	0
MGH36_P3_H10	NA	black	0	0	1.9309
MGH36_P3_H02	NA	black	0	0	0
MGH36_P5_C10	NA	black	0	0.33342	0
MGH54_P2_B05	-0.835094397734	red	1	0.086784	4.9166
MGH36_P2_F09	NA	black	0	0	0
MGH53_P4_A05	-1.84897202901	red	1	0.060739	6.617
MGH54_P2_H10	NA	black	0	0	5.479
MGH53_P4_E06	NA	black	0	0.053806	0
MGH53_P4_D12	NA	black	0	0.060739	0
MGH54_P2_H07	-1.03874155138	red	1	0.073135	5.2477
MGH53_P2_E03	NA	black	0	0	5.2145
MGH53_P1_A05	0.693072544784	red	1	2.9773	4.1727
MGH36_P7_D12	NA	black	0	0.045443	0
MGH53_P4_H03	NA	black	0	0	0
MGH53_P2_E05	NA	black	0	0	5.3669
MGH36_P4_H11	NA	black	0	0.13488	0
MGH53_P1_B01	NA	black	0	0	3.6811
MGH54_P2_G03	NA	black	0	0.07861	0
MGH53_P2_F12	-0.37657558646	red	1	2.5296	2.9364
MGH36_P4_C09	NA	black	0	0.20289	0
MGH36_P5_C08	0.0725738668387	red	1	1.3488	4.2627
MGH36_P4_H06	NA	black	0	0.79909	0
MGH36_P10_E01	-1.2102194538	red	1	0.10165	5.5982
MGH36_P8_E12	1.31135466486	red	1	2.3868	5.4702
MGH53_P2_C10	NA	black	0	2.9098	0
MGH36_P4_H08	NA	black	0	0.11902	0
MGH36_P7_F07	NA	black	0	0.76043	0
MGH54_P2_A09	-0.408462967443	red	1	2.4701	2.8663
MGH36_P6_H11	NA	black	0	0.08134	0
MGH53_P2_E12	NA	black	0	0.18903	0
MGH53_P1_F08	NA	black	0	1.0022	0
MGH36_P6_D12	NA	black	0	0.16993	0
MGH36_P2_H09	NA	black	0	0.079975	0
MGH53_P1_C01	NA	black	0	0	4.3638
MGH53_P2_F11	-0.0660032366902	red	1	0.027154	3.5916
MGH36_P6_H04	-0.26163078408	red	1	0.16864	3.9657
MGH36_P5_G05	NA	black	0	0.015783	0
MGH53_P4_B04	NA	black	0	0	0
MGH53_P1_E05	NA	black	0	1.9256	0
MGH36_P10_A08	-0.242023654243	red	1	0.11103	3.906
MGH36_P9_G01	NA	black	0	2.3956	0
MGH53_P4_A06	1.85570026817	green3	2	0.123	0.27977
MGH36_P6_B09	-0.58411303975	red	1	0.25338	4.6634
MGH54_P2_D09	NA	black	0	0	5.9285
MGH53_P1_E06	0.122419930423	red	1	0.63784	3.0626
MGH36_P4_A10	NA	black	0	0.096262	0
MGH36_P6_B02	NA	black	0	0.098958	0
MGH53_P4_G06	1.44448727477	red	1	0.11503	0.99928
MGH36_P8_F01	-0.216421927593	red	1	0.16607	3.8812
MGH36_P9_F06	NA	black	0	0	1.7281
MGH36_P5_H04	NA	black	0	0.082703	0
MGH53_P1_B03	0.0121598861314	red	1	0.25096	3.4585
MGH53_P2_D05	-0.912695078834	red	1	0.094912	5.0629
MGH36_P4_G12	NA	black	0	0.082703	0
MGH53_P2_D11	NA	black	0	0	5.2014
MGH53_P4_C02	0.278123869254	red	1	0.11902	2.9986
MGH53_P4_F04	NA	black	0	0	0
MGH36_P3_D10	NA	black	0	0.25096	0
MGH54_P2_F04	NA	black	0	0	0
MGH36_P6_A03	NA	black	0	0.084064	0
MGH53_P1_F07	NA	black	0	0.067639	0
MGH36_P5_H08	NA	black	0	0	0
MGH54_P2_A04	NA	black	0	2.8135	0
MGH53_P4_E11	-1.19221852987	red	1	0.053806	5.4764
MGH53_P2_G03	NA	black	0	0	0.20789
MGH36_P3_F04	NA	black	0	0.17505	0
MGH54_P2_B02	-0.0519479822917	red	1	0.28688	3.5905
MGH36_P5_C07	NA	black	0	0.074505	0
MGH53_P2_E02	1.49563997207	green3	2	0.045443	1.0663
MGH54_P2_F09	-0.790150642493	red	1	0.045443	4.7893
MGH36_P3_D05	NA	black	0	0.12961	0
MGH36_P5_F12	NA	black	0	0.029983	0
MGH53_P2_H09	-1.20288363668	red	1	0.13881	5.6617
MGH54_P2_F07	NA	black	0	0.051024	0
MGH36_P5_D10	NA	black	0	0.0229	0
MGH54_P2_F11	NA	black	0	0.038436	0
MGH53_P2_H04	NA	black	0	0	0.92144
MGH36_P6_F09	0.00168118319905	red	1	1.6452	3.475
MGH36_P9_F05	NA	black	0	0.98477	0
MGH36_P8_G11	0.391019853328	red	1	0.7031	1.9902
MGH54_P2_A07	NA	black	0	0.051024	0
MGH36_P7_H06	NA	black	0	3.0454	0
MGH53_P1_A01	2.00762253274	black	0	0.051024	0.23511
MGH53_P1_A02	NA	black	0	0	4.2414
MGH54_P2_E07	2.04471032559	black	0	0.04684	0.18777
MGH53_P4_F07	NA	black	0	0	0
MGH53_P2_C05	0.679350290359	red	1	3.8717	3.9161
MGH53_P4_H07	NA	black	0	0.15963	0
MGH53_P2_C06	NA	black	0	0	0
MGH36_P3_F03	NA	black	0	0.123	0
MGH36_P2_A10	-0.710343771472	red	1	0.027154	4.638
MGH53_P4_E03	0.505964997112	red	1	1.9605	4.6657
MGH36_P9_D12	NA	black	0	0	0
MGH54_P2_H03	NA	black	0	0.03984	0
MGH36_P4_D06	NA	black	0	0.045443	0
MGH53_P2_B03	0.0356843902072	red	1	0.77146	3.3163
MGH53_P4_F03	NA	black	0	0	0
MGH36_P10_E09	NA	black	0	0	4.1559
MGH53_P1_G02	NA	black	0	0.066261	0
MGH54_P2_A02	NA	black	0	0.15316	0
MGH36_P3_A07	1.14931786707	red	1	0.049631	1.6145
MGH53_P4_E12	NA	black	0	0.03984	0
MGH54_P2_A03	NA	black	0	0	3.6375
MGH53_P4_E10	0.935864986438	red	1	2.5649	4.7138
MGH54_P2_D08	NA	black	0	0	3.8667
MGH36_P8_A02	NA	black	0	0	0
MGH54_P2_B07	NA	black	0	0	3.4245
MGH53_P1_B10	NA	black	0	0.1177	0
MGH53_P2_F08	0.495984858728	red	1	3.1117	3.9317
MGH36_P10_A01	-0.168486108508	red	1	2.338	3.1887
MGH36_P10_F01	NA	black	0	0.74416	0
MGH53_P4_G03	NA	black	0	2.5957	0
MGH53_P1_F12	NA	black	0	0.17377	0
MGH36_P4_B03	NA	black	0	0.079975	0
MGH54_P2_C07	NA	black	0	0	3.8267
MGH53_P1_B02	0.0770648409195	red	1	2.8793	3.54
MGH54_P2_D05	NA	black	0	3.011	0
MGH53_P2_C08	NA	black	0	0	0
MGH53_P4_H09	NA	black	0	0.055196	0
MGH36_P8_H02	NA	black	0	0	0
MGH36_P10_H10	NA	black	0	0	0
MGH53_P1_A12	NA	black	0	2.4636	0
MGH36_P8_F08	NA	black	0	2.009	0
MGH53_P1_D10	NA	black	0	0	2.4836
MGH53_P4_A09	NA	black	0	0	0
MGH53_P2_H08	0.487673579359	red	1	0.22157	2.544
MGH36_P4_A09	NA	black	0	0.14274	0
MGH53_P4_C08	NA	black	0	0.048236	0
MGH36_P5_E04	NA	black	0	0.064883	0
MGH53_P2_A07	NA	black	0	0.13093	0
MGH54_P2_G10	NA	black	0	0.852	0
MGH36_P7_E06	NA	black	0	1.8639	0
MGH36_P9_D04	NA	black	0	0	0
MGH53_P1_C12	NA	black	0	0.10969	0
MGH36_P8_F06	NA	black	0	0	0
MGH36_P1_G11	NA	black	0	0	0
MGH53_P1_F02	NA	black	0	0	0
MGH54_P2_D10	NA	black	0	0	4.3386
MGH36_P9_A08	1.11396851729	red	1	2.8858	4.6696
MGH53_P2_H03	1.90020536387	black	0	0.035624	0.44679
MGH53_P4_B03	NA	black	0	0.15963	0
MGH53_P1_F10	NA	black	0	2.0656	0
MGH53_P4_B05	NA	black	0	0.066261	0
MGH53_P2_B08	1.58039976729	green3	2	0.062122	0.89375
MGH36_P3_B06	NA	black	0	0.12961	0
MGH36_P10_C02	NA	black	0	0	0
MGH36_P2_E05	NA	black	0	0.075875	0
MGH54_P2_G09	NA	black	0	1.5869	0
MGH54_P2_D12	-0.235635574707	red	1	0.037031	3.869
MGH53_P2_H02	0.302521881321	red	1	0.1177	2.9568
MGH36_P8_F11	0.52785920025	red	1	0.085425	2.5931
MGH53_P2_A10	NA	black	0	0.13881	0
MGH54_P2_E09	NA	black	0	0	0
MGH36_P3_H06	NA	black	0	0	0
MGH36_P5_D05	NA	black	0	0.71809	0
MGH54_P2_A11	-1.53583243732	red	1	2.0807	0.19156
MGH54_P2_G04	NA	black	0	0.062122	0
MGH36_P6_C01	NA	black	0	0.27381	0
MGH53_P2_E06	NA	black	0	2.9828	0
MGH53_P1_E01	NA	black	0	0.62012	0
MGH36_P1_B01	NA	black	0	0.12961	0
MGH54_P2_H04	NA	black	0	0.58592	0
MGH36_P2_C05	NA	black	0	0.096262	0
MGH36_P6_H05	NA	black	0	0	3.1939
MGH36_P10_E06	NA	black	0	0.045443	0
MGH54_P2_F03	-1.08821433345	red	1	0.090853	5.3632
MGH36_P4_B10	NA	black	0	0.051024	0
MGH54_P2_F02	NA	black	0	0.13093	0
MGH36_P2_E11	-0.225250970483	red	1	0.10568	3.8748
MGH54_P2_D11	NA	black	0	0.04684	0
MGH54_P2_G01	NA	black	0	0	1.4049
MGH36_P9_D02	-0.123662470032	red	1	1.7866	3.0834
MGH54_P2_E06	NA	black	0	0	4.6962
MGH54_P16_F12	NA	black	0	0	0
MGH53_P5_C12	NA	black	0	0	0
MGH54_P12_C10	NA	black	0	0.3774	0
MGH54_P16_F02	NA	black	0	2.4688	0
MGH54_P11_C11	NA	black	0	2.0111	0
MGH53_P1_E03	NA	black	0	1.7194	0
MGH54_P15_D06	NA	black	0	0	0.9313
MGH54_P14_F05	NA	black	0	0	0
MGH54_P16_A03	NA	black	0	0	0
MGH53_P4_G11	NA	black	0	0.042644	0
MGH53_P7_B09	NA	black	0	0	0
MGH54_P17_D11	NA	black	0	0.079975	0
MGH54_P10_G04	NA	black	0	0.082703	0
MGH54_P10_C06	NA	black	0	0	0
MGH53_P2_A02	NA	black	0	0	0
MGH53_P4_F06	NA	black	0	0.15704	0
MGH53_P7_F07	NA	black	0	0	0
MGH53_P11_F06	NA	black	0	0.16221	0
MGH53_P5_G02	NA	black	0	0	0
MGH53_P1_F09	NA	black	0	0.11503	0
MGH53_P11_H03	NA	black	0	0	0
MGH53_P10_D11	NA	black	0	0	0
MGH53_P1_A10	NA	black	0	0	0
MGH53_P4_B12	NA	black	0	0	0
MGH53_P5_H09	NA	black	0	0	0
MGH53_P9_D07	NA	black	0	2.4257	0
MGH53_P11_E03	NA	black	0	3.7462	0
MGH53_P1_C02	NA	black	0	0.17632	0
MGH53_P10_F11	NA	black	0	3.0291	0
MGH53_P1_E02	NA	black	0	0.30451	0
MGH53_P1_D07	NA	black	0	2.2497	0
MGH53_P6_B01	NA	black	0	3.1522	0
MGH53_P2_G04	NA	black	0	0.11237	0
MGH53_P1_C05	NA	black	0	0.24367	0
MGH53_P2_G09	NA	black	0	2.9243	0
MGH53_P5_A05	NA	black	0	0.18523	0
MGH53_P5_F04	NA	black	0	0	0
MGH53_P10_H03	NA	black	0	0.08134	0
MGH53_P11_F08	NA	black	0	0	0
MGH54_P7_F12	NA	black	0	0.069015	0
MGH53_P8_F03	NA	black	0	1.8516	0
MGH53_P11_A07	NA	black	0	1.2339	0
MGH53_P6_B11	NA	black	0	0	0
MGH53_P4_C07	NA	black	0	3.8428	0
MGH53_P6_H06	NA	black	0	0	0
MGH36_P1_A01	NA	black	0	0.74846	0
MGH36_P1_A02	-0.34586928035	red	1	0.049631	4.0554
MGH36_P1_A03	0.457547392357	red	1	2.1683	4.3233
MGH36_P1_A04	NA	black	0	2.4284	0
MGH36_P1_A05	NA	black	0	0.074505	0
MGH36_P1_A06	NA	black	0	0	0
MGH36_P1_A08	NA	black	0	0	2.4738
MGH36_P1_A10	NA	black	0	0	0
MGH36_P1_A12	NA	black	0	1.8131	0
MGH36_P1_B02	NA	black	0	0	0
MGH36_P1_B03	NA	black	0	0	2.1651
MGH36_P1_B04	NA	black	0	0.12035	0
MGH36_P1_B06	-0.742744643318	red	1	1.8572	1.369
MGH36_P1_B07	NA	black	0	0	3.0358
MGH36_P1_B08	NA	black	0	0.015783	0
MGH36_P1_B09	NA	black	0	1.9233	0
MGH36_P1_B10	NA	black	0	0.041243	0
MGH36_P1_B11	NA	black	0	0	0
MGH36_P1_B12	NA	black	0	2.1985	0
MGH36_P1_C01	NA	black	0	0	0
MGH36_P1_C03	NA	black	0	1.9986	0
MGH36_P1_C05	NA	black	0	0	0
MGH36_P1_C06	-0.763471302238	red	1	1.9855	1.6645
MGH36_P1_C07	NA	black	0	0	0
MGH36_P1_C08	1.9775008375	black	0	0.11103	0.10969
MGH36_P1_C09	NA	black	0	1.4027	0
MGH36_P1_C10	-0.212103749061	red	1	0.03984	3.8314
MGH36_P1_C11	-1.93803612981	red	1	2.669	0.99711
MGH36_P1_D01	-0.307347555723	red	1	2.2624	2.9294
MGH36_P1_D02	NA	black	0	0.49467	0
MGH36_P1_D03	NA	black	0	0	1.9287
MGH36_P1_D04	NA	black	0	1.2327	0
MGH36_P1_D06	NA	black	0	0.05797	0
MGH36_P1_D07	1.6688997143	green3	2	0.22897	0.28806
MGH36_P1_D08	0.677222693129	red	1	0.052416	2.3757
MGH36_P1_D09	NA	black	0	0.052416	0
MGH36_P1_D11	-1.31005174626	red	1	1.9305	0.09356
MGH36_P1_F01	NA	black	0	2.8482	0
MGH36_P1_F02	-0.264144304825	red	1	1.8111	2.6763
MGH36_P1_F03	-0.816562199215	red	1	2.4335	2.2348
MGH36_P1_F04	NA	black	0	0	0
MGH36_P1_F05	-1.47495609881	red	1	2.8468	1.7912
MGH36_P1_F06	NA	black	0	0.20038	0
MGH36_P1_F08	NA	black	0	2.8912	0
MGH36_P1_F11	NA	black	0	3.1718	0
MGH36_P1_F12	NA	black	0	0	0
MGH36_P1_G02	NA	black	0	0	4.868
MGH36_P1_G03	NA	black	0	0	0
MGH36_P1_G04	-0.034218406502	red	1	1.224	0.21909
MGH36_P1_G07	NA	black	0	0	0
MGH36_P1_G08	-0.360600711297	red	1	0.15704	4.1414
MGH36_P1_G09	NA	black	0	0.017209	0
MGH36_P1_H02	NA	black	0	0.38957	0
MGH36_P1_H03	NA	black	0	0.05797	0
MGH36_P1_H04	NA	black	0	1.4212	0
MGH36_P1_H05	NA	black	0	0.0028825	0
MGH36_P1_H06	NA	black	0	0.069015	0
MGH36_P1_H07	NA	black	0	0.23143	0
MGH36_P1_H09	NA	black	0	0	0
MGH36_P1_H10	-1.4427804697	red	1	2.8225	1.8036
MGH36_P3_A01	NA	black	0	0	0
MGH36_P3_A02	NA	black	0	2.3389	0
MGH36_P3_A03	NA	black	0	2.0233	0
MGH36_P3_A04	NA	black	0	0.069015	0
MGH36_P3_A05	NA	black	0	0.063503	0
MGH36_P3_A08	NA	black	0	0	0
MGH36_P3_A09	NA	black	0	0	2.3904
MGH36_P3_A10	NA	black	0	0.18015	0
MGH36_P3_A12	NA	black	0	0	0
MGH36_P3_B02	NA	black	0	0	0
MGH36_P3_B03	NA	black	0	0.1003	0
MGH36_P3_B04	NA	black	0	0.082703	0
MGH36_P3_B09	NA	black	0	2.33	0
MGH36_P3_B10	NA	black	0	0	0
MGH36_P3_B11	-1.22338579856	red	1	0.049631	5.5215
MGH36_P3_B12	1.44186721048	red	1	0.08134	1.0779
MGH36_P3_C01	NA	black	0	0	0
MGH36_P3_C03	1.97794941725	black	0	0.059355	0.25942
MGH36_P3_C04	-0.963429694806	red	1	0.12697	5.203
MGH36_P3_C05	NA	black	0	2.5797	0
MGH36_P3_C06	0.764060294115	red	1	0.11503	2.1616
MGH36_P3_C08	NA	black	0	0.079975	0
MGH36_P3_C11	NA	black	0	0.18777	0
MGH36_P3_C12	NA	black	0	0	0
MGH36_P3_D01	NA	black	0	2.9023	0
MGH36_P3_D02	NA	black	0	0	0
MGH36_P3_D03	NA	black	0	0.21537	0
MGH36_P3_D04	NA	black	0	0.12961	0
MGH36_P3_D07	0.808239283657	red	1	0.059355	2.1545
MGH36_P3_D08	NA	black	0	3.737	0
MGH36_P3_D09	NA	black	0	0	0
MGH36_P3_D11	NA	black	0	0	0
MGH36_P3_E02	NA	black	0	1.3505	0
MGH36_P3_E04	NA	black	0	0.045443	0
MGH36_P3_E05	NA	black	0	0.27381	0
MGH36_P3_E06	NA	black	0	0.074505	0
MGH36_P3_E07	-0.558647458489	red	1	0.32308	4.7039
MGH36_P3_E08	NA	black	0	0	0
MGH36_P3_E09	NA	black	0	1.8856	0
MGH36_P3_E10	NA	black	0	2.8143	0
MGH36_P3_E11	NA	black	0	0	0
MGH36_P3_E12	NA	black	0	0.18142	0
MGH36_P3_F01	NA	black	0	0	2.4035
MGH36_P3_F02	NA	black	0	0.12433	0
MGH36_P3_F05	NA	black	0	0	0
MGH36_P3_F06	1.61897704141	green3	2	0.097611	0.74674
MGH36_P3_F07	NA	black	0	0	0
MGH36_P3_F08	NA	black	0	0	0
MGH36_P3_F09	NA	black	0	0.18903	0
MGH36_P3_F10	NA	black	0	0.48336	0
MGH36_P3_F11	NA	black	0	0.22404	0
MGH36_P3_F12	NA	black	0	0.33342	0
MGH36_P3_G01	NA	black	0	0	5.0862
MGH36_P3_G02	NA	black	0	0	0
MGH36_P3_G03	-1.16538989294	red	1	0.1003	5.5162
MGH36_P3_G04	0.0569717829168	red	1	0.03984	3.3922
MGH36_P3_G05	NA	black	0	0.045443	0
MGH36_P3_G06	NA	black	0	0.6248	0
MGH36_P3_G08	NA	black	0	0.067639	0
MGH36_P3_G09	NA	black	0	0.084064	0
MGH36_P3_G10	NA	black	0	0	0
MGH36_P3_G11	NA	black	0	0	0
MGH36_P3_G12	NA	black	0	0	0
MGH36_P3_H03	NA	black	0	0.70929	0
MGH36_P3_H04	NA	black	0	0.041243	0
MGH36_P3_H05	NA	black	0	0	4.7826
MGH36_P3_H07	NA	black	0	0.91609	0
MGH36_P3_H08	NA	black	0	0.074505	0
MGH36_P3_H11	NA	black	0	3.6527	0
MGH36_P3_H12	NA	black	0	3.7324	0
MGH36_P4_A01	NA	black	0	0	0
MGH36_P4_A02	NA	black	0	0	0
MGH36_P4_A03	-0.515332724973	red	1	0.074505	4.3554
MGH36_P4_A04	NA	black	0	2.2621	0
MGH36_P4_A06	NA	black	0	0	3.2362
MGH36_P4_A07	-1.24003855472	red	1	2.1057	0.90997
MGH36_P4_A08	NA	black	0	0	0
MGH36_P4_A11	NA	black	0	0.096262	0
MGH36_P4_A12	NA	black	0	0.062122	0
MGH36_P4_B02	NA	black	0	0	0
MGH36_P4_B04	NA	black	0	0.14796	0
MGH36_P4_B05	NA	black	0	0	0
MGH36_P4_B06	0.208731748896	red	1	0.1635	3.1032
MGH36_P4_B08	NA	black	0	2.9745	0
MGH36_P4_B09	NA	black	0	2.7729	0
MGH36_P4_B12	NA	black	0	0	4.8673
MGH36_P4_C02	NA	black	0	0.053806	0
MGH36_P4_C03	-0.253744504394	red	1	2.4552	3.0873
MGH36_P4_C04	NA	black	0	0	0
MGH36_P4_C05	0.0244641814202	red	1	1.4641	3.6317
MGH36_P4_C06	NA	black	0	0.10568	0
MGH36_P4_C07	NA	black	0	0.14535	0
MGH36_P4_C08	NA	black	0	0.053806	0
MGH36_P4_C10	NA	black	0	0	0
MGH36_P4_C11	NA	black	0	0	0
MGH36_P4_C12	NA	black	0	2.9657	0
MGH36_P4_D01	NA	black	0	0.21909	0
MGH36_P4_D02	NA	black	0	0.07861	0
MGH36_P4_D05	NA	black	0	0.13225	0
MGH36_P4_D07	0.0312876515342	red	1	0.17632	3.4257
MGH36_P4_D08	NA	black	0	0.053806	0
MGH36_P4_D09	NA	black	0	0.062122	0
MGH36_P4_D10	NA	black	0	0.23511	0
MGH36_P4_D11	NA	black	0	0.05797	0
MGH36_P4_D12	NA	black	0	0.74674	0
MGH36_P4_E01	NA	black	0	0.96938	0
MGH36_P4_E02	NA	black	0	0.052416	0
MGH36_P4_E04	NA	black	0	0	0
MGH36_P4_E06	NA	black	0	2.8963	0
MGH36_P4_E07	NA	black	0	0.15445	0
MGH36_P4_E08	NA	black	0	0	0
MGH36_P4_E09	NA	black	0	0.12168	0
MGH36_P4_E10	NA	black	0	0	0
MGH36_P4_E11	0.871693895749	red	1	0.23511	1.7887
MGH36_P4_E12	NA	black	0	0.20914	0
MGH36_P4_F01	NA	black	0	0	0
MGH36_P4_F02	NA	black	0	0.15963	0
MGH36_P4_F03	1.68657383284	green3	2	0.11103	0.59932
MGH36_P4_F04	NA	black	0	0.063503	0
MGH36_P4_F05	NA	black	0	0.05797	0
MGH36_P4_F06	-0.692380663301	red	1	0.15834	4.7533
MGH36_P4_F07	NA	black	0	0.073135	0
MGH36_P4_F09	NA	black	0	0	0
MGH36_P4_F10	NA	black	0	0	0
MGH36_P4_F11	NA	black	0	0.064883	0
MGH36_P4_F12	NA	black	0	0.05797	0
MGH36_P4_G01	NA	black	0	0.60692	0
MGH36_P4_G02	NA	black	0	0.24853	0
MGH36_P4_G03	NA	black	0	0	0
MGH36_P4_G04	NA	black	0	2.6859	0
MGH36_P4_G05	NA	black	0	0.18015	0
MGH36_P4_G06	NA	black	0	3.3515	0
MGH36_P4_G08	1.63886853089	green3	2	0.19535	0.44784
MGH36_P4_G09	NA	black	0	0	0
MGH36_P4_G10	NA	black	0	0.056584	0
MGH36_P4_G11	NA	black	0	0	0
MGH36_P4_H01	NA	black	0	0	0
MGH36_P4_H02	NA	black	0	0.12433	0
MGH36_P4_H03	NA	black	0	0.22527	0
MGH36_P4_H04	NA	black	0	0.064883	0
MGH36_P4_H05	NA	black	0	0	0
MGH36_P4_H09	NA	black	0	0	0
MGH36_P4_H12	NA	black	0	0.069015	0
MGH36_P6_A02	NA	black	0	0	2.8207
MGH36_P6_A04	0.779000960629	red	1	2.801	4.3506
MGH36_P6_A05	NA	black	0	0.071763	0
MGH36_P6_A07	-1.03379107041	red	1	0.074505	5.2414
MGH36_P6_A08	-0.224979416793	red	1	2.1253	3.0169
MGH36_P6_A09	NA	black	0	0	0
MGH36_P6_A10	NA	black	0	0.042644	0
MGH36_P6_A11	NA	black	0	0	3.2602
MGH36_P6_B03	NA	black	0	0.10299	0
MGH36_P6_B04	-0.235460449322	red	1	0.077243	3.8823
MGH36_P6_B05	-0.35846720368	red	1	1.8193	2.4049
MGH36_P6_B06	0.223726238559	red	1	0.07861	3.108
MGH36_P6_B10	NA	black	0	0.10568	0
MGH36_P6_B11	NA	black	0	0.042644	0
MGH36_P6_B12	NA	black	0	0.08134	0
MGH36_P6_C02	NA	black	0	0	0
MGH36_P6_C03	NA	black	0	0	0
MGH36_P6_C04	0.766632506991	red	1	0.049631	2.2333
MGH36_P6_C05	NA	black	0	0.073135	0
MGH36_P6_C06	NA	black	0	0	0
MGH36_P6_C07	NA	black	0	0.052416	0
MGH36_P6_C08	NA	black	0	0	0
MGH36_P6_C09	NA	black	0	0.088142	0
MGH36_P6_C11	NA	black	0	0.25459	0
MGH36_P6_C12	NA	black	0	0	3.8254
MGH36_P6_D01	NA	black	0	0	0
MGH36_P6_D02	-0.402397148831	red	1	2.009	2.5499
MGH36_P6_D03	0.547296111873	red	1	1.6794	5.4709
MGH36_P6_D04	NA	black	0	0	0
MGH36_P6_D05	NA	black	0	0.25338	0
MGH36_P6_D06	NA	black	0	0.14405	0
MGH36_P6_D07	NA	black	0	0.049631	0
MGH36_P6_D08	NA	black	0	0.50691	0
MGH36_P6_D10	NA	black	0	0	0
MGH36_P6_D11	NA	black	0	0.062122	0
MGH36_P6_E02	NA	black	0	0.13488	0
MGH36_P6_E03	NA	black	0	3.8608	0
MGH36_P6_E04	0.147844925872	red	1	0.94411	2.3573
MGH36_P6_E05	NA	black	0	0.048236	0
MGH36_P6_E06	2.02891183599	black	0	0.04684	0.21288
MGH36_P6_E07	NA	black	0	0	0
MGH36_P6_E08	NA	black	0	0	0
MGH36_P6_E09	NA	black	0	0	1.5251
MGH36_P6_E10	NA	black	0	0	5.9933
MGH36_P6_E11	NA	black	0	0	0
MGH36_P6_E12	NA	black	0	0.12565	0
MGH36_P6_F01	NA	black	0	0.035624	0
MGH36_P6_F04	NA	black	0	0.53506	0
MGH36_P6_F06	NA	black	0	0.037031	0
MGH36_P6_F07	NA	black	0	0	4.114
MGH36_P6_F08	NA	black	0	0.041243	0
MGH36_P6_F10	NA	black	0	0.088142	0
MGH36_P6_F12	-0.63702924491	red	1	0.090853	4.5786
MGH36_P6_G01	NA	black	0	1.8949	0
MGH36_P6_G02	NA	black	0	0	4.3124
MGH36_P6_G03	-0.0357947215572	red	1	0.14926	3.5484
