Cell_name	Zvalue	Color	Cluster	CIITA	USF1
MGH54_P2_B05	0.275428537734	red	1	0.12035	2.7809
MGH36_P2_F09	NA	black	0	3.2141	0
MGH53_P4_A05	NA	black	0	0	0
MGH54_P2_H10	-0.111752519549	red	1	0.2302	4.8872
MGH53_P4_E06	NA	black	0	0	0
MGH53_P4_D12	NA	black	0	0.31499	0
MGH54_P2_H07	NA	black	0	0.1375	0
MGH53_P2_E03	NA	black	0	0	0
MGH53_P1_A05	NA	black	0	0	0.25459
MGH36_P7_D12	NA	black	0	0.090853	0
MGH53_P4_H03	1.78394177691	black	0	2.0058	4.9647
MGH53_P2_E05	NA	black	0	0.21039	0
MGH36_P4_H11	NA	black	0	3.0599	0
MGH53_P1_B01	NA	black	0	1.7035	0
MGH54_P2_G03	0.661662360606	blue	3	0.15963	0.40926
MGH53_P2_F12	NA	black	0	1.0208	0
MGH36_P4_C09	NA	black	0	0.65076	0
MGH36_P5_C08	-14.4686260184	black	0	4.0543	0.33571
MGH36_P4_H06	NA	black	0	0.15056	0
MGH36_P10_E01	NA	black	0	3.9775	0
MGH36_P8_E12	NA	black	0	0.14405	0
MGH53_P2_C10	NA	black	0	0.12433	0
MGH36_P4_H08	NA	black	0	0	0
MGH36_P7_F07	NA	black	0	0	0
MGH54_P2_A09	-0.197817195529	red	1	0.18903	5.148
MGH36_P6_H11	NA	black	0	4.6603	0
MGH53_P2_E12	NA	black	0	0	0
MGH53_P1_F08	-0.0765849686474	red	1	0.28333	5.1948
MGH36_P6_D12	NA	black	0	0.074505	0
MGH36_P2_H09	-0.197145941058	red	1	0.22774	5.5481
MGH53_P1_C01	NA	black	0	0	0
MGH53_P2_F11	NA	black	0	2.6693	0
MGH36_P6_H04	NA	black	0	0	0
MGH36_P5_G05	NA	black	0	2.2951	0
MGH53_P4_B04	NA	black	0	0	0
MGH53_P1_E05	NA	black	0	0.42008	0
MGH36_P10_A08	-0.828166222616	black	0	2.7409	3.6785
MGH36_P9_G01	NA	black	0	0	0
MGH53_P4_A06	0.0213878549011	red	1	0.25096	3.7247
MGH36_P6_B09	NA	black	0	0.4916	0
MGH54_P2_D09	NA	black	0	0.10836	0
MGH53_P1_E06	NA	black	0	0	0
MGH36_P4_A10	NA	black	0	0.27262	0
MGH36_P6_B02	NA	black	0	4.1653	0
MGH53_P4_G06	NA	black	0	0	4.38
MGH36_P8_F01	NA	black	0	0.33113	0
MGH36_P9_F06	NA	black	0	0.58688	0
MGH36_P5_H04	NA	black	0	1.848	0
MGH53_P1_B03	NA	black	0	0	0
MGH53_P2_D05	-1.94820591633	black	0	2.3688	3.1087
MGH36_P4_G12	NA	black	0	0	0
MGH53_P2_D11	NA	black	0	0.3584	0
MGH53_P4_C02	NA	black	0	0	0
MGH53_P4_F04	NA	black	0	0.14535	0
MGH36_P3_D10	NA	black	0	0.68706	0
MGH54_P2_F04	2.75489130664	black	0	3.4492	4.8368
MGH36_P6_A03	NA	black	0	2.5497	0
MGH53_P1_F07	NA	black	0	0	0
MGH36_P5_H08	NA	black	0	0.059355	0
MGH54_P2_A04	NA	black	0	0.41684	0
MGH53_P4_E11	NA	black	0	0.20289	0
MGH53_P2_G03	NA	black	0	0.16864	0
MGH36_P3_F04	NA	black	0	0.83673	0
MGH54_P2_B02	NA	black	0	0	5.7509
MGH36_P5_C07	NA	black	0	0.12035	0
MGH53_P2_E02	NA	black	0	0.084064	0
MGH54_P2_F09	NA	black	0	0	5.8775
MGH36_P3_D05	NA	black	0	0	0
MGH36_P5_F12	NA	black	0	0.22157	0
MGH53_P2_H09	NA	black	0	0	0
MGH54_P2_F07	NA	black	0	0.21412	0
MGH36_P5_D10	NA	black	0	0.12697	0
MGH54_P2_F11	-0.33064771783	red	1	0.096262	5.1862
MGH53_P2_H04	NA	black	0	2.479	0
MGH36_P6_F09	NA	black	0	0.69153	0
MGH36_P9_F05	NA	black	0	0	0
MGH36_P8_G11	NA	black	0	3.547	0
MGH54_P2_A07	NA	black	0	0	0
MGH36_P7_H06	NA	black	0	1.614	0
MGH53_P1_A01	NA	black	0	0.10702	0
MGH53_P1_A02	NA	black	0	0	0
MGH54_P2_E07	NA	black	0	2.7912	0
MGH53_P4_F07	NA	black	0	0	1.109
MGH53_P2_C05	NA	black	0	0	0
MGH53_P4_H07	NA	black	0	0.15186	0
MGH53_P2_C06	NA	black	0	2.0047	0
MGH36_P3_F03	NA	black	0	3.6599	0
MGH36_P2_A10	NA	black	0	1.3901	0
MGH53_P4_E03	0.123778233709	red	1	0.28924	1.3092
MGH36_P9_D12	NA	black	0	1.9411	0
MGH54_P2_H03	8.954498604	black	0	4.5674	6.0543
MGH36_P4_D06	NA	black	0	0.090853	0
MGH53_P2_B03	NA	black	0	0	0
MGH53_P4_F03	0.0262624645098	red	1	0.11902	3.8398
MGH36_P10_E09	NA	black	0	1.585	0
MGH53_P1_G02	NA	black	0	0	5.1317
MGH54_P2_A02	2.98936068547	black	0	3.2449	4.9637
MGH36_P3_A07	0.312477104429	green3	2	1.9694	4.1584
MGH53_P4_E12	NA	black	0	0.14143	0
MGH54_P2_A03	-0.059334538872	red	1	0.18269	4.2987
MGH53_P4_E10	NA	black	0	4.0863	0
MGH54_P2_D08	NA	black	0	0.12829	0
MGH36_P8_A02	NA	black	0	3.3369	0
MGH54_P2_B07	NA	black	0	3.5912	0
MGH53_P1_B10	NA	black	0	0.59741	0
MGH53_P2_F08	NA	black	0	0	0
MGH36_P10_A01	-1.5536601636	black	0	2.0072	3.1319
MGH36_P10_F01	0.482494351398	blue	3	0.73639	5.0658
MGH53_P4_G03	NA	black	0	0	0
MGH53_P1_F12	NA	black	0	0	4.4541
MGH36_P4_B03	NA	black	0	0	0
MGH54_P2_C07	NA	black	0	3.8337	0
MGH53_P1_B02	NA	black	0	0	1.5632
MGH54_P2_D05	NA	black	0	0.36961	0
MGH53_P2_C08	-0.100728318165	red	1	0.2461	4.9388
MGH53_P4_H09	NA	black	0	0	0
MGH36_P8_H02	NA	black	0	3.16	0
MGH36_P10_H10	NA	black	0	0	0
MGH53_P1_A12	NA	black	0	0.096262	0
MGH36_P8_F08	NA	black	0	0	4.9937
MGH53_P1_D10	NA	black	0	0.20539	0
MGH53_P4_A09	NA	black	0	0	2.3852
MGH53_P2_H08	NA	black	0	0	0
MGH36_P4_A09	NA	black	0	0.14274	0
MGH53_P4_C08	NA	black	0	0.852	0
MGH36_P5_E04	0.0313808817785	red	1	0.56267	4.0841
MGH53_P2_A07	NA	black	0	0	0
MGH54_P2_G10	NA	black	0	0.15056	0
MGH36_P7_E06	-5.29270748335	black	0	1.6489	0.29631
MGH36_P9_D04	NA	black	0	2.2981	0
MGH53_P1_C12	NA	black	0	0.21288	0
MGH36_P8_F06	NA	black	0	0	0
MGH36_P1_G11	NA	black	0	3.7536	0
MGH53_P1_F02	0.580687084625	blue	3	0.17887	0.44996
MGH54_P2_D10	NA	black	0	0	0
MGH36_P9_A08	NA	black	0	0	0
MGH53_P2_H03	NA	black	0	0.074505	0
MGH53_P4_B03	NA	black	0	3.1431	0
MGH53_P1_F10	5.94620162953	black	0	3.5411	5.7508
MGH53_P4_B05	NA	black	0	3.2645	0
MGH53_P2_B08	NA	black	0	4.4982	0
MGH36_P3_B06	0.0723114921544	red	1	0.48336	4.408
MGH36_P10_C02	NA	black	0	0	0
MGH36_P2_E05	NA	black	0	0.15186	0
MGH54_P2_G09	0.317949814499	green3	2	0.2461	0.50894
MGH54_P2_D12	-0.239275094376	red	1	0.079975	4.7901
MGH53_P2_H02	NA	black	0	0.12168	0
MGH36_P8_F11	NA	black	0	0	4.4638
MGH53_P2_A10	NA	black	0	0	0
MGH54_P2_E09	NA	black	0	0	0
MGH36_P3_H06	NA	black	0	4.1125	0
MGH36_P5_D05	NA	black	0	0	0
MGH54_P2_A11	NA	black	0	0.16736	0
MGH54_P2_G04	NA	black	0	2.5428	0
MGH36_P6_C01	NA	black	0	4.1862	0
MGH53_P2_E06	2.25810819449	black	0	2.5763	4.9248
MGH53_P1_E01	NA	black	0	3.6062	0
MGH36_P1_B01	NA	black	0	0.079975	0
MGH54_P2_H04	-0.0341109528613	red	1	0.17887	4.1462
MGH36_P2_C05	NA	black	0	0.1375	0
MGH36_P6_H05	NA	black	0	0.13356	0
MGH36_P10_E06	NA	black	0	3.5382	0
MGH54_P2_F03	NA	black	0	0.33228	0
MGH36_P4_B10	NA	black	0	0.094912	0
MGH54_P2_F02	NA	black	0	0	5.5957
MGH36_P2_E11	NA	black	0	2.0097	0
MGH54_P2_D11	NA	black	0	0.87184	0
MGH54_P2_G01	NA	black	0	0.16221	0
MGH36_P9_D02	NA	black	0	2.1257	0
MGH54_P2_E06	NA	black	0	0.10299	0
MGH54_P16_F12	NA	black	0	0	0.83915
MGH53_P5_C12	NA	black	0	0	0
MGH54_P12_C10	NA	black	0	0	0
MGH54_P16_F02	NA	black	0	0	0
MGH54_P11_C11	NA	black	0	0	0
MGH53_P1_E03	NA	black	0	0	0
MGH54_P15_D06	NA	black	0	0	0
MGH54_P14_F05	0.382801322984	red	1	0.22774	0.5509
MGH54_P16_A03	0.0578622820858	red	1	0.1375	3.6854
MGH53_P4_G11	NA	black	0	0	0
MGH53_P7_B09	NA	black	0	0	0
MGH54_P17_D11	NA	black	0	0	0
MGH54_P10_G04	NA	black	0	0	0
MGH54_P10_C06	NA	black	0	0	5.6824
MGH53_P2_A02	NA	black	0	0	0
MGH53_P4_F06	-0.372687882761	red	1	0.10969	5.4226
MGH53_P7_F07	-0.0617572852867	red	1	0.12697	4.2163
MGH53_P11_F06	-0.0868820443125	red	1	0.2228	4.6352
MGH53_P5_G02	NA	black	0	0	0
MGH53_P1_F09	NA	black	0	0	0
MGH53_P11_H03	NA	black	0	0.21164	0
MGH53_P10_D11	NA	black	0	0	0
MGH53_P1_A10	NA	black	0	0.1137	0
MGH53_P4_B12	NA	black	0	0.15445	0
MGH53_P5_H09	NA	black	0	0.36961	0
MGH53_P9_D07	NA	black	0	0	0
MGH53_P11_E03	NA	black	0	0	0
MGH53_P1_C02	NA	black	0	0	0
MGH53_P10_F11	NA	black	0	0	0
MGH53_P1_E02	NA	black	0	0	0
MGH53_P1_D07	NA	black	0	0	5.5904
MGH53_P6_B01	NA	black	0	0	0
MGH53_P2_G04	NA	black	0	0.1177	0
MGH53_P1_C05	NA	black	0	0.47301	0
MGH53_P2_G09	NA	black	0	0	5.1008
MGH53_P5_A05	NA	black	0	0	0
MGH53_P5_F04	NA	black	0	0	0
MGH53_P10_H03	NA	black	0	0	0
MGH53_P11_F08	NA	black	0	0.14666	0
MGH54_P7_F12	NA	black	0	0.14012	0
MGH53_P8_F03	NA	black	0	0	0
MGH53_P11_A07	NA	black	0	0.123	0
MGH53_P6_B11	NA	black	0	0.14143	0
MGH53_P4_C07	NA	black	0	0.16479	0
MGH53_P6_H06	NA	black	0	0	0
MGH36_P1_A01	NA	black	0	0	2.6613
MGH36_P1_A02	NA	black	0	0	0
MGH36_P1_A03	NA	black	0	0.22527	0
MGH36_P1_A04	NA	black	0	0.048236	0
MGH36_P1_A05	NA	black	0	0.07861	0
MGH36_P1_A06	NA	black	0	0.085425	0
MGH36_P1_A08	NA	black	0	0	4.7929
MGH36_P1_A10	NA	black	0	0	5.0639
MGH36_P1_A12	NA	black	0	0	0
MGH36_P1_B02	NA	black	0	0	2.7721
MGH36_P1_B03	NA	black	0	0	0
MGH36_P1_B04	NA	black	0	0.14143	0
MGH36_P1_B06	0.558001560875	blue	3	0.062122	2.0759
MGH36_P1_B07	NA	black	0	0	0
MGH36_P1_B08	-0.248431899255	red	1	0.082703	4.8314
MGH36_P1_B09	-0.381094057667	red	1	0.049631	5.145
MGH36_P1_B10	NA	black	0	0	4.658
MGH36_P1_B11	NA	black	0	0	0.11503
MGH36_P1_B12	NA	black	0	0	2.9065
MGH36_P1_C01	NA	black	0	0	0
MGH36_P1_C03	NA	black	0	0	4.1945
MGH36_P1_C05	NA	black	0	0.08134	0
MGH36_P1_C06	NA	black	0	0	3.8976
MGH36_P1_C07	NA	black	0	0.044044	0
MGH36_P1_C08	NA	black	0	0.11103	0
MGH36_P1_C09	NA	black	0	0	2.2234
MGH36_P1_C10	0.653456705775	blue	3	0.041243	1.9092
MGH36_P1_C11	NA	black	0	0	4.8159
MGH36_P1_D01	-0.0592780901603	red	1	0.07861	4.157
MGH36_P1_D02	NA	black	0	0	4.4426
MGH36_P1_D03	0.063036449813	red	1	0.094912	3.7118
MGH36_P1_D04	NA	black	0	0	3.7958
MGH36_P1_D06	NA	black	0	0.11902	0
MGH36_P1_D07	NA	black	0	0.13225	0
MGH36_P1_D08	NA	black	0	0	0
MGH36_P1_D09	NA	black	0	0	5.5214
MGH36_P1_D11	NA	black	0	0	0
MGH36_P1_F01	NA	black	0	0.042644	0
MGH36_P1_F02	-0.291388196281	red	1	0.042644	4.8432
MGH36_P1_F03	NA	black	0	0	0.2302
MGH36_P1_F04	NA	black	0	0	2.7918
MGH36_P1_F05	0.905180493451	black	0	0.074505	0.72683
MGH36_P1_F06	NA	black	0	0	5.3072
MGH36_P1_F08	NA	black	0	0	0.72596
MGH36_P1_F11	NA	black	0	0	0
MGH36_P1_F12	NA	black	0	0	0
MGH36_P1_G02	NA	black	0	0	0.63691
MGH36_P1_G03	NA	black	0	0	3.3798
MGH36_P1_G04	NA	black	0	0	0
MGH36_P1_G07	NA	black	0	0	0
MGH36_P1_G08	0.20355339444	red	1	0.034216	3.3341
MGH36_P1_G09	NA	black	0	0.018634	0
MGH36_P1_H02	NA	black	0	0	0
MGH36_P1_H03	-0.166270257389	red	1	0.055196	4.4829
MGH36_P1_H04	0.0349981159435	red	1	0.027154	3.845
MGH36_P1_H05	NA	black	0	0.02432	0
MGH36_P1_H06	-0.287217997071	red	1	0.089498	4.9959
MGH36_P1_H07	NA	black	0	0	0
MGH36_P1_H09	NA	black	0	0	0
MGH36_P1_H10	NA	black	0	0.075875	0
MGH36_P3_A01	NA	black	0	0	0
MGH36_P3_A02	NA	black	0	0.40054	0
MGH36_P3_A03	NA	black	0	0	0
MGH36_P3_A04	0.353437696699	red	1	0.14143	2.2777
MGH36_P3_A05	NA	black	0	0.46467	0
MGH36_P3_A08	-0.125917904901	red	1	0.23389	5.04
MGH36_P3_A09	NA	black	0	0	0
MGH36_P3_A10	NA	black	0	0	0
MGH36_P3_A12	NA	black	0	0.10836	0
MGH36_P3_B02	NA	black	0	0	2.557
MGH36_P3_B03	NA	black	0	0	5.8059
MGH36_P3_B04	-0.234595614194	red	1	0.39726	0.73552
MGH36_P3_B09	NA	black	0	0	4.1379
MGH36_P3_B10	NA	black	0	0.26303	0
MGH36_P3_B11	NA	black	0	0.13356	0
MGH36_P3_B12	NA	black	0	0.16479	0
MGH36_P3_C01	NA	black	0	0.11237	0
MGH36_P3_C03	NA	black	0	0	4.8456
MGH36_P3_C04	0.43807208	red	1	0.17249	1.4515
MGH36_P3_C05	NA	black	0	0.11503	0
MGH36_P3_C06	NA	black	0	0.15963	0
MGH36_P3_C08	NA	black	0	0.15834	0
MGH36_P3_C11	NA	black	0	0	0
MGH36_P3_C12	NA	black	0	0.46048	0
MGH36_P3_D01	NA	black	0	0	0
MGH36_P3_D02	NA	black	0	0	0
MGH36_P3_D03	NA	black	0	0.15445	0
MGH36_P3_D04	NA	black	0	0	0
MGH36_P3_D07	NA	black	0	0.123	0
MGH36_P3_D08	NA	black	0	0.3115	0
MGH36_P3_D09	NA	black	0	0	0
MGH36_P3_D11	NA	black	0	0	0
MGH36_P3_E02	NA	black	0	0.30217	0
MGH36_P3_E04	NA	black	0	0	5.1831
MGH36_P3_E05	NA	black	0	0.25822	0
MGH36_P3_E06	NA	black	0	0.15316	0
MGH36_P3_E07	-0.42164543323	red	1	0.031395	5.1933
MGH36_P3_E08	NA	black	0	0.15704	0
MGH36_P3_E09	NA	black	0	0	0
MGH36_P3_E10	NA	black	0	0	0
MGH36_P3_E11	NA	black	0	0	0
MGH36_P3_E12	0.628653704988	blue	3	0.17632	0.21039
MGH36_P3_F01	NA	black	0	0.090853	0
MGH36_P3_F02	NA	black	0	0	0
MGH36_P3_F05	NA	black	0	0.11103	0
MGH36_P3_F06	NA	black	0	0.10299	0
MGH36_P3_F07	NA	black	0	0	0
MGH36_P3_F08	0.122724326502	red	1	0.21412	3.0296
MGH36_P3_F09	NA	black	0	0	0
MGH36_P3_F10	NA	black	0	0	0
MGH36_P3_F11	NA	black	0	0.090853	0
MGH36_P3_F12	NA	black	0	0	1.5651
MGH36_P3_G01	NA	black	0	0	0.23389
MGH36_P3_G02	NA	black	0	0	0
MGH36_P3_G03	NA	black	0	0.13488	0
MGH36_P3_G04	0.118229961991	red	1	0.08134	3.5269
MGH36_P3_G05	-0.0581188823099	red	1	0.09356	4.1657
MGH36_P3_G06	NA	black	0	0.098958	0
MGH36_P3_G08	NA	black	0	0.20539	0
MGH36_P3_G09	NA	black	0	0.15445	0
MGH36_P3_G10	NA	black	0	0.20163	0
MGH36_P3_G11	NA	black	0	0.07861	0
MGH36_P3_G12	NA	black	0	0.13093	0
MGH36_P3_H03	NA	black	0	0.44996	0
MGH36_P3_H04	NA	black	0	0.11503	0
MGH36_P3_H05	0.0222106142867	red	1	0.15834	3.837
MGH36_P3_H07	NA	black	0	0.18396	0
MGH36_P3_H08	NA	black	0	0.28924	0
MGH36_P3_H11	NA	black	0	0.20664	0
MGH36_P3_H12	NA	black	0	0	5.2903
MGH36_P4_A01	NA	black	0	0	3.1235
MGH36_P4_A02	NA	black	0	0	6.2215
MGH36_P4_A03	NA	black	0	0.16607	0
MGH36_P4_A04	NA	black	0	0	0
MGH36_P4_A06	NA	black	0	0	0
MGH36_P4_A07	NA	black	0	0	4.3696
MGH36_P4_A08	NA	black	0	0	0
MGH36_P4_A11	NA	black	0	0.21164	0
MGH36_P4_A12	-0.255850097708	red	1	0.13881	5.1109
MGH36_P4_B02	NA	black	0	0.3471	0
MGH36_P4_B04	0.835093740769	black	0	0.090853	0.77568
MGH36_P4_B05	NA	black	0	0.123	0
MGH36_P4_B06	NA	black	0	2.698	0
MGH36_P4_B08	NA	black	0	0	0
MGH36_P4_B09	NA	black	0	0.13356	0
MGH36_P4_B12	NA	black	0	0.092207	0
MGH36_P4_C02	NA	black	0	0	0
MGH36_P4_C03	NA	black	0	0.34142	0
MGH36_P4_C04	NA	black	0	0	0
MGH36_P4_C05	-0.199083327111	red	1	0.089498	4.6763
MGH36_P4_C06	NA	black	0	0.21412	0
MGH36_P4_C07	NA	black	0	0	0
MGH36_P4_C08	NA	black	0	0	0
MGH36_P4_C10	NA	black	0	0	5.8313
MGH36_P4_C11	NA	black	0	0.29983	0
MGH36_P4_C12	NA	black	0	0.17249	0
MGH36_P4_D01	NA	black	0	0.40163	0
MGH36_P4_D02	0.65298530362	blue	3	0.13881	0.852
MGH36_P4_D05	NA	black	0	0	0
MGH36_P4_D07	0.401418910899	red	1	0.2228	0.54893
MGH36_P4_D08	NA	black	0	0	4.9441
MGH36_P4_D09	NA	black	0	0	0
MGH36_P4_D10	NA	black	0	0	0
MGH36_P4_D11	NA	black	0	0	0
MGH36_P4_D12	NA	black	0	0	0
MGH36_P4_E01	NA	black	0	0.10434	0
MGH36_P4_E02	NA	black	0	0.11103	0
MGH36_P4_E04	NA	black	0	0.36401	0
MGH36_P4_E06	NA	black	0	0.19787	0
MGH36_P4_E07	NA	black	0	0	0
MGH36_P4_E08	NA	black	0	0	0
MGH36_P4_E09	NA	black	0	0.10568	0
MGH36_P4_E10	NA	black	0	0.38626	0
MGH36_P4_E11	NA	black	0	0.10702	0
MGH36_P4_E12	NA	black	0	0.22651	0
MGH36_P4_F01	NA	black	0	0	0
MGH36_P4_F02	NA	black	0	0	0
MGH36_P4_F03	NA	black	0	0.10434	0
MGH36_P4_F04	NA	black	0	0.13093	0
MGH36_P4_F05	-0.247865464486	red	1	0.12697	5.0126
MGH36_P4_F06	NA	black	0	0	0
MGH36_P4_F07	NA	black	0	0.52306	0
MGH36_P4_F09	NA	black	0	0.092207	0
MGH36_P4_F10	NA	black	0	0	0
MGH36_P4_F11	NA	black	0	0.21164	0
MGH36_P4_F12	NA	black	0	0	4.938
MGH36_P4_G01	NA	black	0	0.20414	0
MGH36_P4_G02	NA	black	0	0.1375	0
MGH36_P4_G03	NA	black	0	0.14535	0
MGH36_P4_G04	NA	black	0	0	0
MGH36_P4_G05	NA	black	0	0.19912	0
MGH36_P4_G06	NA	black	0	0.30217	0
MGH36_P4_G08	NA	black	0	0	5.05
MGH36_P4_G09	NA	black	0	0.58785	0
MGH36_P4_G10	NA	black	0	0	0
MGH36_P4_G11	NA	black	0	0	0
MGH36_P4_H01	NA	black	0	0	0
MGH36_P4_H02	NA	black	0	0	0
MGH36_P4_H03	NA	black	0	0	0
MGH36_P4_H04	NA	black	0	0.11237	0
MGH36_P4_H05	NA	black	0	0	0
MGH36_P4_H09	NA	black	0	0	3.7406
MGH36_P4_H12	NA	black	0	0	0
MGH36_P6_A02	NA	black	0	0	0
MGH36_P6_A04	NA	black	0	0.23266	0
MGH36_P6_A05	NA	black	0	0	0
MGH36_P6_A07	NA	black	0	0.12035	0
MGH36_P6_A08	NA	black	0	0	5.6644
MGH36_P6_A09	NA	black	0	0	5.6369
MGH36_P6_A10	NA	black	0	0	4.328
MGH36_P6_A11	NA	black	0	0	0
MGH36_P6_B03	NA	black	0	0	0
MGH36_P6_B04	NA	black	0	0	0
MGH36_P6_B05	NA	black	0	0	2.7954
MGH36_P6_B06	NA	black	0	0.16993	0
MGH36_P6_B10	NA	black	0	0	4.9441
MGH36_P6_B11	NA	black	0	0	4.631
MGH36_P6_B12	NA	black	0	0	0.4049
MGH36_P6_C02	NA	black	0	1.2534	0
MGH36_P6_C03	NA	black	0	0.35389	0
MGH36_P6_C04	NA	black	0	0.097611	0
MGH36_P6_C05	NA	black	0	0.49467	0
MGH36_P6_C06	NA	black	0	0	3.8422
MGH36_P6_C07	NA	black	0	0	4.7467
MGH36_P6_C08	NA	black	0	0.086784	0
MGH36_P6_C09	NA	black	0	0	0
MGH36_P6_C11	NA	black	0	0.18396	0
MGH36_P6_C12	0.716579139219	black	0	0.14796	0.3584
MGH36_P6_D01	NA	black	0	0	4.5267
MGH36_P6_D02	NA	black	0	0	3.7996
MGH36_P6_D03	0.829604788653	black	0	0.12168	0.31383
MGH36_P6_D04	NA	black	0	0	3.8424
MGH36_P6_D05	NA	black	0	0	0
MGH36_P6_D06	NA	black	0	0	0
MGH36_P6_D07	0.182983465442	red	1	0.2302	2.346
MGH36_P6_D08	NA	black	0	0.11237	0
MGH36_P6_D10	NA	black	0	0.1865	0
MGH36_P6_D11	NA	black	0	0.10702	0
MGH36_P6_E02	NA	black	0	0	0
MGH36_P6_E03	-0.0194166463995	red	1	0.12433	4.0325
MGH36_P6_E04	-0.231730161414	red	1	0.075875	4.751
MGH36_P6_E05	NA	black	0	0	0
MGH36_P6_E06	NA	black	0	0.096262	0
MGH36_P6_E07	NA	black	0	0	0
MGH36_P6_E08	NA	black	0	0.25217	0
MGH36_P6_E09	NA	black	0	0.18396	0
MGH36_P6_E10	NA	black	0	0	0
MGH36_P6_E11	NA	black	0	0.20289	0
MGH36_P6_E12	NA	black	0	0.24367	0
MGH36_P6_F01	NA	black	0	0.069015	0
MGH36_P6_F04	NA	black	0	0	0
MGH36_P6_F06	NA	black	0	0	4.8379
MGH36_P6_F07	NA	black	0	0.12961	0
MGH36_P6_F08	NA	black	0	0.070389	0
MGH36_P6_F10	NA	black	0	0	4.3988
MGH36_P6_F12	0.0672958467665	red	1	0.48852	4.3621
MGH36_P6_G01	NA	black	0	0.13619	0
MGH36_P6_G02	NA	black	0	0	0
MGH36_P6_G03	NA	black	0	0	0.25701
MGH36_P6_G04	-0.182561185188	red	1	0.18269	5.0125
MGH36_P6_G05	NA	black	0	0.15575	0
MGH36_P6_G06	-0.136298085583	red	1	0.24853	5.3128
MGH36_P6_G07	NA	black	0	0	0
MGH36_P6_G08	NA	black	0	0	0
MGH36_P6_G09	-0.184751018402	red	1	0.14012	4.7962
MGH36_P6_G10	NA	black	0	0	0
MGH36_P6_G11	NA	black	0	0	0.24489
MGH36_P6_G12	NA	black	0	0	0
