Cell_name	Zvalue	Color	Cluster	MYC	RBL1
MGH36_P2_H09	-0.391916568755	red	1	4.5923	0.19787
MGH53_P1_C01	NA	black	0	0	0.12433
MGH53_P2_F11	NA	black	0	0	0
MGH36_P6_H04	NA	black	0	0	0
MGH36_P5_G05	-1.26953663571	red	1	6.8561	0.15056
MGH53_P4_B04	NA	black	0	0	0
MGH53_P1_E05	NA	black	0	0	0
MGH36_P10_A08	NA	black	0	4.3832	0
MGH36_P9_G01	NA	black	0	0	0.64247
MGH53_P4_A06	-0.621763660753	red	1	5.2067	0.17505
MGH36_P6_B09	NA	black	0	4.6174	0
MGH54_P2_D09	0.83932463324	green3	2	0.39177	0.22774
MGH53_P1_E06	NA	black	0	0	0
MGH36_P4_A10	NA	black	0	0	0.44573
MGH36_P6_B02	NA	black	0	0	0.57434
MGH53_P4_G06	NA	black	0	0	0
MGH36_P8_F01	NA	black	0	0	0.3584
MGH36_P9_F06	NA	black	0	5.8031	0
MGH36_P5_H04	NA	black	0	0	0.11103
MGH53_P1_B03	NA	black	0	0	0
MGH53_P2_D05	NA	black	0	3.3883	0
MGH36_P4_G12	-0.33843207893	red	1	4.4036	0.18015
MGH53_P2_D11	NA	black	0	0	0
MGH53_P4_C02	NA	black	0	0	0
MGH53_P4_F04	-0.0381357514189	red	1	3.7869	0.62667
MGH36_P3_D10	NA	black	0	0	0.13093
MGH54_P2_F04	NA	black	0	0	0
MGH36_P6_A03	NA	black	0	0	0.07861
MGH53_P1_F07	NA	black	0	0	0
MGH36_P5_H08	0.448623648971	red	1	0.21164	0.49672
MGH54_P2_A04	NA	black	0	4.2519	0
MGH53_P4_E11	-0.23538655414	red	1	4.2558	0.29631
MGH53_P2_G03	NA	black	0	0	0.10434
MGH36_P3_F04	-0.301978913327	red	1	4.986	0.4678
MGH54_P2_B02	NA	black	0	6.781	0
MGH36_P5_C07	NA	black	0	0	0.17249
MGH53_P2_E02	NA	black	0	0	0.19912
MGH54_P2_F09	NA	black	0	0	0
MGH36_P3_D05	NA	black	0	0	0.18269
MGH36_P5_F12	NA	black	0	0	0.16864
MGH53_P2_H09	NA	black	0	0	0.37851
MGH54_P2_F07	NA	black	0	0	0.45943
MGH36_P5_D10	NA	black	0	0	0.074505
MGH54_P2_F11	NA	black	0	0	0
MGH53_P2_H04	NA	black	0	0	0.1903
MGH36_P6_F09	NA	black	0	0	0.18523
MGH36_P9_F05	NA	black	0	0	0
MGH36_P8_G11	NA	black	0	0	0
MGH54_P2_A07	NA	black	0	0	0.22033
MGH36_P7_H06	-0.0557356834764	red	1	3.7496	0.50894
MGH53_P1_A01	NA	black	0	0	0.11636
MGH53_P1_A02	NA	black	0	3.4291	0
MGH54_P2_E07	-0.300718009423	red	1	4.1835	0.092207
MGH53_P4_F07	NA	black	0	0	0.12565
MGH53_P2_C05	NA	black	0	0	0
MGH53_P4_H07	NA	black	0	0	0
MGH53_P2_C06	-0.807190315601	red	1	6.2974	0.31499
MGH36_P3_F03	NA	black	0	0	0.1375
MGH36_P2_A10	NA	black	0	0	0.2762
MGH53_P4_E03	NA	black	0	4.1208	0
MGH36_P9_D12	NA	black	0	4.2324	0
MGH54_P2_H03	NA	black	0	0	0.089498
MGH36_P4_D06	NA	black	0	4.6504	0
MGH53_P2_B03	NA	black	0	0	0
MGH53_P4_F03	NA	black	0	0	0.12961
MGH36_P10_E09	NA	black	0	5.0261	0
MGH53_P1_G02	NA	black	0	0	0.16736
MGH54_P2_A02	NA	black	0	0	0.41576
MGH36_P3_A07	NA	black	0	0	0.16221
MGH53_P4_E12	NA	black	0	0	0.15575
MGH54_P2_A03	NA	black	0	4.1849	0
MGH53_P4_E10	-0.215739209047	red	1	3.9868	0.123
MGH54_P2_D08	NA	black	0	0	0
MGH36_P8_A02	NA	black	0	0	0
MGH54_P2_B07	NA	black	0	0	0
MGH53_P1_B10	-0.465505705296	red	1	5.0523	0.29278
MGH53_P2_F08	NA	black	0	0	0.37407
MGH36_P10_A01	NA	black	0	0	0
MGH36_P10_F01	NA	black	0	0	0.19787
MGH53_P4_G03	NA	black	0	0	0.56755
MGH53_P1_F12	NA	black	0	0	0
MGH36_P4_B03	NA	black	0	0	0.5509
MGH54_P2_C07	NA	black	0	0	0
MGH53_P1_B02	-0.176432642312	red	1	4.1708	0.38294
MGH54_P2_D05	NA	black	0	0	0
MGH53_P2_C08	NA	black	0	0	0
MGH53_P4_H09	0.923850048603	green3	2	0.64985	0.11902
MGH36_P8_H02	NA	black	0	0	0
MGH36_P10_H10	NA	black	0	0	0
MGH53_P1_A12	NA	black	0	5.2953	0
MGH36_P8_F08	NA	black	0	0	0.12168
MGH53_P1_D10	NA	black	0	0	0
MGH53_P4_A09	NA	black	0	0	0.41576
MGH53_P2_H08	NA	black	0	0	0
MGH36_P4_A09	NA	black	0	0.27143	0
MGH53_P4_C08	NA	black	0	0	0.33914
MGH36_P5_E04	NA	black	0	0	0
MGH53_P2_A07	NA	black	0	0	0.2857
MGH54_P2_G10	NA	black	0	0	0.15186
MGH36_P7_E06	NA	black	0	0	0.33342
MGH36_P9_D04	0.978696142438	green3	2	4.2349	3.4755
MGH53_P1_C12	NA	black	0	0	0
MGH36_P8_F06	NA	black	0	3.8051	0
MGH36_P1_G11	-0.517308368836	red	1	4.6186	0.017209
MGH53_P1_F02	NA	black	0	0	0.21039
MGH54_P2_D10	NA	black	0	4.9599	0
MGH36_P9_A08	NA	black	0	0	0
MGH53_P2_H03	NA	black	0	0	0.25942
MGH53_P4_B03	NA	black	0	0	0.38405
MGH53_P1_F10	-0.0296213385659	red	1	3.5125	0.32539
MGH53_P4_B05	NA	black	0	0	0.14012
MGH53_P2_B08	NA	black	0	0	0.21039
MGH36_P3_B06	NA	black	0	0	0.2857
MGH36_P10_C02	NA	black	0	2.9732	0
MGH36_P2_E05	NA	black	0	0	0.11636
MGH54_P2_G09	NA	black	0	0	0.15186
MGH54_P2_D12	NA	black	0	0	0.16607
MGH53_P2_H02	NA	black	0	0	0.16221
MGH36_P8_F11	NA	black	0	0	0.38957
MGH53_P2_A10	0.115586531629	red	1	3.5988	3.6955
MGH54_P2_E09	NA	black	0	0	0.22527
MGH36_P3_H06	-0.403948729373	red	1	4.8196	0.28451
MGH36_P5_D05	0.868546512807	green3	2	0.30801	0.2228
MGH54_P2_A11	-0.382474594453	red	1	4.6698	0.25096
MGH54_P2_G04	NA	black	0	0	0.16607
MGH36_P6_C01	NA	black	0	0	0.12829
MGH53_P2_E06	NA	black	0	0	0.17505
MGH53_P1_E01	NA	black	0	0	0.12035
MGH36_P1_B01	NA	black	0	0	0
MGH54_P2_H04	NA	black	0	0	0.10299
MGH36_P2_C05	NA	black	0	0	0.16479
MGH36_P6_H05	NA	black	0	0	0.22033
MGH36_P10_E06	NA	black	0	0.50182	0
MGH54_P2_F03	NA	black	0	0	0
MGH36_P4_B10	-1.00585841606	red	1	6.1422	0.14274
MGH54_P2_F02	NA	black	0	0	0.21785
MGH36_P2_E11	NA	black	0	0	0.075875
MGH54_P2_D11	NA	black	0	0	0.21164
MGH54_P2_G01	0.357112539895	red	1	2.2657	0.18142
MGH36_P9_D02	NA	black	0	0	0
MGH54_P2_E06	NA	black	0	0	0.11103
MGH54_P16_F12	NA	black	0	0	0
MGH53_P5_C12	NA	black	0	0	0.58976
MGH54_P12_C10	NA	black	0	0	0.42761
MGH54_P16_F02	NA	black	0	0	0.52206
MGH54_P11_C11	NA	black	0	0	0.18269
MGH53_P1_E03	NA	black	0	0	0
MGH54_P15_D06	NA	black	0	0	0
MGH54_P14_F05	NA	black	0	0	0.30451
MGH54_P16_A03	NA	black	0	0	0.21537
MGH53_P4_G11	NA	black	0	0	0.18523
MGH53_P7_B09	NA	black	0	0	0.13356
MGH54_P17_D11	NA	black	0	0	0
MGH54_P10_G04	NA	black	0	0	0
MGH54_P10_C06	NA	black	0	0	0.22774
MGH53_P2_A02	NA	black	0	0	0.12697
MGH53_P4_F06	NA	black	0	0	0
MGH53_P7_F07	NA	black	0	0	0
MGH53_P11_F06	NA	black	0	0	0.12565
MGH53_P5_G02	NA	black	0	0	0
MGH53_P1_F09	NA	black	0	0	0.15445
MGH53_P11_H03	NA	black	0	0	0.22527
MGH53_P10_D11	NA	black	0	0	0.37518
MGH53_P1_A10	NA	black	0	0	2.1903
MGH53_P4_B12	NA	black	0	0	0.22774
MGH53_P5_H09	NA	black	0	0	0.60502
MGH53_P9_D07	NA	black	0	0	0
MGH53_P11_E03	NA	black	0	0	0.91762
MGH53_P1_C02	NA	black	0	0	0
MGH53_P10_F11	NA	black	0	0	0
MGH53_P1_E02	NA	black	0	0	0
MGH53_P1_D07	NA	black	0	0	0
MGH53_P6_B01	NA	black	0	0	0.38957
MGH53_P2_G04	NA	black	0	0	1.9441
MGH53_P1_C05	NA	black	0	0	0
MGH53_P2_G09	NA	black	0	0	1.4787
MGH53_P5_A05	NA	black	0	0	0.45943
MGH53_P5_F04	NA	black	0	0	0
MGH53_P10_H03	NA	black	0	0	0.09356
MGH53_P11_F08	NA	black	0	0	0
MGH54_P7_F12	NA	black	0	0	0.49672
MGH53_P8_F03	NA	black	0	0	0
MGH53_P11_A07	NA	black	0	0	0.17505
MGH53_P6_B11	NA	black	0	0	0.52907
MGH53_P4_C07	NA	black	0	0	0.65901
MGH53_P6_H06	NA	black	0	0	0.37184
MGH36_P1_A01	-0.0149850897185	red	1	3.3125	1.0786
MGH36_P1_A02	NA	black	0	4.2764	0
MGH36_P1_A03	NA	black	0	0	0.30801
MGH36_P1_A04	NA	black	0	0	0.22527
MGH36_P1_A05	-2.46522684053	black	0	0.15316	2.2243
MGH36_P1_A06	NA	black	0	0	0.14012
MGH36_P1_A08	NA	black	0	1.9989	0
MGH36_P1_A10	0.421053807919	red	1	1.4098	0.37518
MGH36_P1_A12	-0.250479085145	red	1	4.1738	0.20414
MGH36_P1_B02	NA	black	0	0	0
MGH36_P1_B03	NA	black	0	0	0.15834
MGH36_P1_B04	NA	black	0	0	0.18903
MGH36_P1_B06	0.127883433237	red	1	3.0625	0.038436
MGH36_P1_B07	NA	black	0	0	0.21288
MGH36_P1_B08	NA	black	0	0	0.74588
MGH36_P1_B09	NA	black	0	0	0.18142
MGH36_P1_B10	-0.321909572043	red	1	0.51904	0.99204
MGH36_P1_B11	NA	black	0	0	0.056584
MGH36_P1_B12	NA	black	0	0	0.10434
MGH36_P1_C01	NA	black	0	4.4685	0
MGH36_P1_C03	1.04267983202	green3	2	0.32423	0.10836
MGH36_P1_C05	NA	black	0	0	0
MGH36_P1_C06	-0.328228551723	red	1	3.1481	2.719
MGH36_P1_C07	0.715826844595	green3	2	1.5059	0.04684
MGH36_P1_C08	NA	black	0	0	0.053806
MGH36_P1_C09	-0.0205200773691	red	1	3.4374	0.051024
MGH36_P1_C10	NA	black	0	0	0
MGH36_P1_C11	NA	black	0	0	0.071763
MGH36_P1_D01	NA	black	0	0	0.78325
MGH36_P1_D02	NA	black	0	0	0.14535
MGH36_P1_D03	0.81843531122	green3	2	0.74502	0.17505
MGH36_P1_D04	NA	black	0	0	0.062122
MGH36_P1_D06	NA	black	0	0	0
MGH36_P1_D07	NA	black	0	0	0
MGH36_P1_D08	NA	black	0	0	0.20539
MGH36_P1_D09	NA	black	0	0	0.11902
MGH36_P1_D11	NA	black	0	0	0.066261
MGH36_P1_F01	NA	black	0	0	0.13881
MGH36_P1_F02	NA	black	0	0	0.077243
MGH36_P1_F03	NA	black	0	0	0.049631
MGH36_P1_F04	NA	black	0	0.069015	0
MGH36_P1_F05	NA	black	0	0	0
MGH36_P1_F06	NA	black	0	0	0
MGH36_P1_F08	1.0341098113	green3	2	0.31846	0.11503
MGH36_P1_F11	NA	black	0	0	3.9674
MGH36_P1_F12	NA	black	0	0	0
MGH36_P1_G02	NA	black	0	0	0.29866
MGH36_P1_G03	1.00269241401	green3	2	0.45628	0.10702
MGH36_P1_G04	0.20769939424	red	1	1.2327	0.59932
MGH36_P1_G07	-0.536466987495	red	1	4.7021	0.041243
MGH36_P1_G08	-0.457398809615	red	1	4.5037	0.035624
MGH36_P1_G09	NA	black	0	2.5398	0
MGH36_P1_H02	-1.35622134473	red	1	6.991	0.13225
MGH36_P1_H03	NA	black	0	0	0.055196
MGH36_P1_H04	0.878143685771	green3	2	0.51803	0.17887
MGH36_P1_H05	NA	black	0	0	0
MGH36_P1_H06	NA	black	0	0	1.4233
MGH36_P1_H07	NA	black	0	0	0.03984
MGH36_P1_H09	NA	black	0	0	0.08134
MGH36_P1_H10	NA	black	0	0	0
MGH36_P3_A01	NA	black	0	0	1.2437
MGH36_P3_A02	NA	black	0	0	0
MGH36_P3_A03	-0.212648417757	red	1	4.7417	0.52607
MGH36_P3_A04	NA	black	0	0	0.37518
MGH36_P3_A05	NA	black	0	0	0.19283
MGH36_P3_A08	NA	black	0	0	0.36849
MGH36_P3_A09	NA	black	0	0	0.17632
MGH36_P3_A10	NA	black	0	0	0.26903
MGH36_P3_A12	NA	black	0	0	0
MGH36_P3_B02	NA	black	0	0	0.26784
MGH36_P3_B03	NA	black	0	0	0.4489
MGH36_P3_B04	NA	black	0	0	0.60312
MGH36_P3_B09	NA	black	0	4.532	0
MGH36_P3_B10	NA	black	0	0	0.52507
MGH36_P3_B11	NA	black	0	0	0.29278
MGH36_P3_B12	NA	black	0	2.0468	0
MGH36_P3_C01	NA	black	0	0	0.28924
MGH36_P3_C03	0.0555539283372	red	1	3.1506	0.37407
MGH36_P3_C04	NA	black	0	0	0.094912
MGH36_P3_C05	NA	black	0	7.587	0
MGH36_P3_C06	0.747014559343	green3	2	0.94711	0.18523
MGH36_P3_C08	NA	black	0	0	0.32423
MGH36_P3_C11	NA	black	0	0	0
MGH36_P3_C12	NA	black	0	0	0.50995
MGH36_P3_D01	NA	black	0	0	0.21909
MGH36_P3_D02	NA	black	0	0	0
MGH36_P3_D03	NA	black	0	0	0.74588
MGH36_P3_D04	NA	black	0	0	0.22774
MGH36_P3_D07	NA	black	0	0	0.13225
MGH36_P3_D08	NA	black	0	0	0.78325
MGH36_P3_D09	-0.532599609049	red	1	4.9193	0.15963
MGH36_P3_D11	-0.938071310376	red	1	6.0732	0.17249
MGH36_P3_E02	NA	black	0	0	0
MGH36_P3_E04	NA	black	0	0	0.46884
MGH36_P3_E05	0.47338356178	red	1	0.58015	0.4489
MGH36_P3_E06	0.999238091038	green3	2	0.53406	0.092207
MGH36_P3_E07	NA	black	0	0	0.4813
MGH36_P3_E08	0.623282306669	red	1	0.85838	0.301
MGH36_P3_E09	0.236479588687	red	1	2.6053	0.21909
MGH36_P3_E10	-0.110102250543	red	1	3.8526	0.35276
MGH36_P3_E11	NA	black	0	0	0
MGH36_P3_E12	NA	black	0	0	0.86156
MGH36_P3_F01	-0.365428072765	red	1	4.7533	0.3115
MGH36_P3_F02	NA	black	0	0	0.26183
MGH36_P3_F05	NA	black	0	0	0
MGH36_P3_F06	NA	black	0	0	0
MGH36_P3_F07	NA	black	0	0	0
MGH36_P3_F08	NA	black	0	0	0.65718
MGH36_P3_F09	NA	black	0	0	0.39616
MGH36_P3_F10	-0.325730814599	red	1	4.6885	0.34369
MGH36_P3_F11	NA	black	0	0	0.13093
MGH36_P3_F12	NA	black	0	0	0
MGH36_P3_G01	NA	black	0	0	0
MGH36_P3_G02	-0.858632985496	red	1	6.5629	0.33228
MGH36_P3_G03	0.58775201	red	1	1.1928	0.26424
MGH36_P3_G04	NA	black	0	0	0.23756
MGH36_P3_G05	NA	black	0	0	0.10165
MGH36_P3_G06	NA	black	0	0	4.21
MGH36_P3_G08	NA	black	0	0	0.30217
MGH36_P3_G09	NA	black	0	0	0.29278
MGH36_P3_G10	NA	black	0	0	0.41468
MGH36_P3_G11	NA	black	0	0	0.092207
MGH36_P3_G12	NA	black	0	0	0.24975
MGH36_P3_H03	NA	black	0	0	0.22527
MGH36_P3_H04	NA	black	0	0	0.11237
MGH36_P3_H05	NA	black	0	0	0.098958
MGH36_P3_H07	NA	black	0	0	0.14535
MGH36_P3_H08	NA	black	0	0	0
MGH36_P3_H11	0.0378909520481	red	1	2.9996	0.62947
MGH36_P3_H12	NA	black	0	5.0815	0
MGH36_P4_A01	-0.702771135511	red	1	5.6755	0.24853
MGH36_P4_A02	NA	black	0	0	0.21909
MGH36_P4_A03	NA	black	0	0	0.20664
MGH36_P4_A04	NA	black	0	4.0626	0
MGH36_P4_A06	NA	black	0	0	0.38405
MGH36_P4_A07	NA	black	0	0	3.2001
MGH36_P4_A08	NA	black	0	0	0.33914
MGH36_P4_A11	NA	black	0	0	0
MGH36_P4_A12	NA	black	0	0.64247	0
MGH36_P4_B02	NA	black	0	0	0.51602
MGH36_P4_B04	NA	black	0	5.2923	0
MGH36_P4_B05	NA	black	0	0	0
MGH36_P4_B06	NA	black	0	0	0
MGH36_P4_B08	NA	black	0	4.4914	0
MGH36_P4_B09	NA	black	0	0	0.50894
MGH36_P4_B12	-0.249293178452	red	1	4.6501	0.44573
MGH36_P4_C02	NA	black	0	0	0.13488
MGH36_P4_C03	NA	black	0	0	0.38294
MGH36_P4_C04	NA	black	0	0	0.27858
MGH36_P4_C05	NA	black	0	0	0.69153
MGH36_P4_C06	NA	black	0	0	1.6494
MGH36_P4_C07	NA	black	0	0	0.46676
MGH36_P4_C08	NA	black	0	0	0.10434
MGH36_P4_C10	NA	black	0	0	0
MGH36_P4_C11	NA	black	0	0	0.16092
MGH36_P4_C12	-0.34149371006	red	1	4.4559	0.20664
MGH36_P4_D01	NA	black	0	5.6537	0
MGH36_P4_D02	-0.0274243614285	red	1	3.4807	0.21909
MGH36_P4_D05	NA	black	0	0	0
MGH36_P4_D07	NA	black	0	0	0
MGH36_P4_D08	NA	black	0	0	0.16864
MGH36_P4_D09	NA	black	0	0	0.4813
MGH36_P4_D10	NA	black	0	0	0
MGH36_P4_D11	NA	black	0	0	0.54597
MGH36_P4_D12	NA	black	0	0	0.15186
MGH36_P4_E01	NA	black	0	0	0.19661
MGH36_P4_E02	NA	black	0	0	0
MGH36_P4_E04	NA	black	0	0	0
MGH36_P4_E06	NA	black	0	0	0
MGH36_P4_E07	NA	black	0	0	0.24732
MGH36_P4_E08	NA	black	0	0	0.4844
MGH36_P4_E09	NA	black	0	0	0
MGH36_P4_E10	NA	black	0	0	0.2228
MGH36_P4_E11	NA	black	0	0	0.53107
MGH36_P4_E12	-0.748320171955	red	1	0.41034	1.2576
MGH36_P4_F01	-0.0410107499126	red	1	3.7402	0.58304
MGH36_P4_F02	NA	black	0	0	0.33113
MGH36_P4_F03	NA	black	0	0	0.20163
MGH36_P4_F04	NA	black	0	0	0.14274
MGH36_P4_F05	-0.74488381577	red	1	5.9458	0.28333
MGH36_P4_F06	NA	black	0	0	0.34369
MGH36_P4_F07	0.470255933997	red	1	5.4122	1.308
MGH36_P4_F09	NA	black	0	0	0.51501
MGH36_P4_F10	-0.462523513667	red	1	4.8078	0.20038
MGH36_P4_F11	-0.323780742047	red	1	5.0714	0.46258
MGH36_P4_F12	NA	black	0	0	0.13093
MGH36_P4_G01	NA	black	0	0	0.70487
MGH36_P4_G02	NA	black	0	0	0.23266
MGH36_P4_G03	NA	black	0	0	0.1776
MGH36_P4_G04	-0.0342349221123	red	1	3.6572	0.5568
MGH36_P4_G05	0.749723235075	green3	2	0.66539	0.24123
MGH36_P4_G06	NA	black	0	0	0.21288
MGH36_P4_G08	-0.0598449009567	red	1	3.6277	0.31846
MGH36_P4_G09	NA	black	0	0	0.62106
MGH36_P4_G10	NA	black	0	0	0.20539
MGH36_P4_G11	NA	black	0	4.0952	0
MGH36_P4_H01	NA	black	0	0	0.23879
MGH36_P4_H02	-0.0333876116698	red	1	3.6067	0.50182
MGH36_P4_H03	NA	black	0	0	0.60027
MGH36_P4_H04	NA	black	0	0	0.051024
MGH36_P4_H05	NA	black	0	0	3.5164
MGH36_P4_H09	-0.165519392795	red	1	3.8703	0.15316
MGH36_P4_H12	NA	black	0	0	0.33342
MGH36_P6_A02	0.939087908689	green3	2	0.30918	0.1776
MGH36_P6_A04	-0.000429419724042	red	1	3.7838	0.81967
MGH36_P6_A05	NA	black	0	0	0.50894
MGH36_P6_A07	NA	black	0	0	0.24853
MGH36_P6_A08	NA	black	0	0	0.14926
MGH36_P6_A09	0.161321010275	red	1	1.7115	0.60692
MGH36_P6_A10	NA	black	0	4.5693	0
MGH36_P6_A11	NA	black	0	5.5889	0
MGH36_P6_B03	NA	black	0	0	0
MGH36_P6_B04	NA	black	0	0	0.097611
MGH36_P6_B05	NA	black	0	4.3232	0
MGH36_P6_B06	0.0662391555911	red	1	3.2073	0.094912
MGH36_P6_B10	NA	black	0	0	0.22404
MGH36_P6_B11	NA	black	0	0	0.26183
MGH36_P6_B12	NA	black	0	0	0.17377
MGH36_P6_C02	NA	black	0	0	0
MGH36_P6_C03	NA	black	0	0	0.419
MGH36_P6_C04	NA	black	0	0	0.20289
MGH36_P6_C05	-0.364347221753	red	1	4.7262	0.30217
MGH36_P6_C06	NA	black	0	3.4729	0
MGH36_P6_C07	NA	black	0	0	0.12565
MGH36_P6_C08	-1.73413178232	black	0	2.3443	3.6873
MGH36_P6_C09	NA	black	0	0	0.19409
MGH36_P6_C11	NA	black	0	0	0
MGH36_P6_C12	NA	black	0	0	0.082703
MGH36_P6_D01	0.941003771158	green3	2	0.28806	0.18015
MGH36_P6_D02	NA	black	0	0	0
MGH36_P6_D03	NA	black	0	0	0
MGH36_P6_D04	0.115769009042	red	1	2.7338	0.46884
MGH36_P6_D05	NA	black	0	0	0.12168
MGH36_P6_D06	-0.298953488778	red	1	4.5617	0.33342
MGH36_P6_D07	NA	black	0	0	0.20414
MGH36_P6_D08	NA	black	0	0	0.123
MGH36_P6_D10	NA	black	0	7.3238	0
MGH36_P6_D11	NA	black	0	0	0
MGH36_P6_E02	NA	black	0	0	0
MGH36_P6_E03	NA	black	0	0	0.47301
MGH36_P6_E04	NA	black	0	4.1536	0
MGH36_P6_E05	NA	black	0	0	0.20038
MGH36_P6_E06	NA	black	0	0	0.12829
MGH36_P6_E07	NA	black	0	3.7299	0
MGH36_P6_E08	NA	black	0	1.0969	0
MGH36_P6_E09	0.13466355686	red	1	2.9614	0.19912
MGH36_P6_E10	NA	black	0	0	0.10299
MGH36_P6_E11	NA	black	0	0	0.11503
MGH36_P6_E12	-0.112347726935	red	1	4.4831	0.62854
MGH36_P6_F01	NA	black	0	0	0.32423
MGH36_P6_F04	NA	black	0	0	0.25459
MGH36_P6_F06	NA	black	0	0	0.16736
MGH36_P6_F07	NA	black	0	4.4215	0
MGH36_P6_F08	-0.656919252333	red	1	5.0588	0.074505
MGH36_P6_F10	NA	black	0	0	0
MGH36_P6_F12	NA	black	0	0	0.15316
MGH36_P6_G01	-0.122446588893	red	1	3.7141	0.092207
MGH36_P6_G02	NA	black	0	0	0
MGH36_P6_G03	NA	black	0	0	0.10969
