Cell_name	Zvalue	Color	Cluster	BRCA1	MTA1
MGH54_P2_H07	NA	black	0	0.29042	0
MGH53_P2_E03	NA	black	0	0.21909	0
MGH53_P1_A05	NA	black	0	0.12565	0
MGH36_P7_D12	NA	black	0	0.1137	0
MGH53_P4_H03	NA	black	0	0	1.123
MGH53_P2_E05	NA	black	0	0	0
MGH36_P4_H11	NA	black	0	0	0
MGH53_P1_B01	NA	black	0	0.31267	0
MGH54_P2_G03	NA	black	0	0	0
MGH53_P2_F12	NA	black	0	0	0
MGH36_P4_C09	NA	black	0	0.24489	0
MGH36_P5_C08	-0.57563382485	red	1	0.21288	2.2669
MGH36_P4_H06	NA	black	0	0.21039	0
MGH36_P10_E01	NA	black	0	0	0
MGH36_P8_E12	0.0621113074366	green3	2	0.18015	1.0412
MGH53_P2_C10	-0.340583304191	green3	2	0.15445	1.7545
MGH36_P4_H08	NA	black	0	0	0
MGH36_P7_F07	NA	black	0	0.1137	0
MGH54_P2_A09	-0.957104704122	red	1	3.7669	0.94261
MGH36_P6_H11	NA	black	0	0.21288	0
MGH53_P2_E12	NA	black	0	0.46048	0
MGH53_P1_F08	NA	black	0	0	0.67265
MGH36_P6_D12	NA	black	0	0.18903	0
MGH36_P2_H09	NA	black	0	0.20664	0
MGH53_P1_C01	NA	black	0	0	0
MGH53_P2_F11	NA	black	0	0	0
MGH36_P6_H04	NA	black	0	0.2857	0
MGH36_P5_G05	NA	black	0	0.077243	0
MGH53_P4_B04	NA	black	0	0	0
MGH53_P1_E05	NA	black	0	0	0
MGH36_P10_A08	NA	black	0	0	0
MGH36_P9_G01	NA	black	0	0	0
MGH53_P4_A06	NA	black	0	4.2956	0
MGH36_P6_B09	NA	black	0	1.0222	0
MGH54_P2_D09	NA	black	0	0	1.037
MGH53_P1_E06	NA	black	0	0	0
MGH36_P4_A10	NA	black	0	0	0
MGH36_P6_B02	NA	black	0	0.24853	0
MGH53_P4_G06	NA	black	0	0.15186	0
MGH36_P8_F01	NA	black	0	0.40926	0
MGH36_P9_F06	NA	black	0	2.7566	0
MGH36_P5_H04	NA	black	0	0.056584	0
MGH53_P1_B03	NA	black	0	0.13619	0
MGH53_P2_D05	NA	black	0	0.54794	0
MGH36_P4_G12	NA	black	0	0	0
MGH53_P2_D11	NA	black	0	0.23756	0
MGH53_P4_C02	NA	black	0	0.1865	0
MGH53_P4_F04	NA	black	0	0	0
MGH36_P3_D10	NA	black	0	0.41359	0
MGH54_P2_F04	NA	black	0	0	0
MGH36_P6_A03	NA	black	0	0.20914	0
MGH53_P1_F07	NA	black	0	0.17377	0
MGH36_P5_H08	NA	black	0	0	0
MGH54_P2_A04	NA	black	0	0	0
MGH53_P4_E11	NA	black	0	3.1489	0
MGH53_P2_G03	NA	black	0	0	1.3092
MGH36_P3_F04	0.136832472256	green3	2	0.15575	0.90997
MGH54_P2_B02	NA	black	0	0	1.3051
MGH36_P5_C07	NA	black	0	0.21909	0
MGH53_P2_E02	NA	black	0	0.11902	0
MGH54_P2_F09	NA	black	0	0.11902	0
MGH36_P3_D05	NA	black	0	0	0
MGH36_P5_F12	NA	black	0	0.14143	0
MGH53_P2_H09	NA	black	0	0.14012	0
MGH54_P2_F07	NA	black	0	0	0
MGH36_P5_D10	NA	black	0	0.14405	0
MGH54_P2_F11	NA	black	0	0.22033	0
MGH53_P2_H04	NA	black	0	0.27023	0
MGH36_P6_F09	NA	black	0	0.27023	0
MGH36_P9_F05	NA	black	0	0	0
MGH36_P8_G11	NA	black	0	0.30334	0
MGH54_P2_A07	0.43539847803	green3	2	0.24367	0.16607
MGH36_P7_H06	NA	black	0	0	0
MGH53_P1_A01	NA	black	0	0.17505	0
MGH53_P1_A02	NA	black	0	0	0
MGH54_P2_E07	NA	black	0	0	0
MGH53_P4_F07	NA	black	0	0	0
MGH53_P2_C05	NA	black	0	0.47612	0
MGH53_P4_H07	NA	black	0	0	0
MGH53_P2_C06	NA	black	0	0	0.64524
MGH36_P3_F03	NA	black	0	0	0
MGH36_P2_A10	NA	black	0	0.13356	0
MGH53_P4_E03	NA	black	0	0	0
MGH36_P9_D12	NA	black	0	0	0
MGH54_P2_H03	NA	black	0	0.10299	0
MGH36_P4_D06	NA	black	0	0.11503	0
MGH53_P2_B03	NA	black	0	0	0.9115
MGH53_P4_F03	NA	black	0	0	0
MGH36_P10_E09	NA	black	0	0	0
MGH53_P1_G02	NA	black	0	0.17377	0
MGH54_P2_A02	NA	black	0	0	0
MGH36_P3_A07	NA	black	0	0	0
MGH53_P4_E12	NA	black	0	0.18015	0
MGH54_P2_A03	NA	black	0	0	0
MGH53_P4_E10	NA	black	0	0	0
MGH54_P2_D08	NA	black	0	0	0
MGH36_P8_A02	NA	black	0	0	0
MGH54_P2_B07	NA	black	0	0.25701	0
MGH53_P1_B10	NA	black	0	0	0
MGH53_P2_F08	NA	black	0	5.0594	0
MGH36_P10_A01	0.341010132936	green3	2	0.26664	0.34369
MGH36_P10_F01	NA	black	0	0	0
MGH53_P4_G03	NA	black	0	0	0
MGH53_P1_F12	NA	black	0	0	0
MGH36_P4_B03	NA	black	0	0.19156	0
MGH54_P2_C07	NA	black	0	0	0
MGH53_P1_B02	NA	black	0	0	0
MGH54_P2_D05	NA	black	0	0	0
MGH53_P2_C08	NA	black	0	0.31034	0
MGH53_P4_H09	NA	black	0	0	0
MGH36_P8_H02	NA	black	0	0	0
MGH36_P10_H10	NA	black	0	0.19409	0
MGH53_P1_A12	-1.38218548404	black	0	0.20163	3.6223
MGH36_P8_F08	0.456707798267	green3	2	0.14012	0.33342
MGH53_P1_D10	NA	black	0	0.24001	0
MGH53_P4_A09	NA	black	0	0	2.0555
MGH53_P2_H08	NA	black	0	0	0
MGH36_P4_A09	NA	black	0	0.40381	0
MGH53_P4_C08	NA	black	0	0.25096	0
MGH36_P5_E04	NA	black	0	0	0
MGH53_P2_A07	NA	black	0	0	0
MGH54_P2_G10	NA	black	0	0.097611	0
MGH36_P7_E06	NA	black	0	0	0
MGH36_P9_D04	NA	black	0	0	0
MGH53_P1_C12	NA	black	0	3.884	0
MGH36_P8_F06	NA	black	0	0	0
MGH36_P1_G11	NA	black	0	0	2.7545
MGH53_P1_F02	NA	black	0	0	0
MGH54_P2_D10	NA	black	0	0.10299	0
MGH36_P9_A08	NA	black	0	0	0
MGH53_P2_H03	NA	black	0	0.09356	0
MGH53_P4_B03	NA	black	0	0	0
MGH53_P1_F10	NA	black	0	0	0.33113
MGH53_P4_B05	NA	black	0	0	0
MGH53_P2_B08	NA	black	0	0	0
MGH36_P3_B06	NA	black	0	0.32423	0
MGH36_P10_C02	0.201436055578	green3	2	0.28924	0.6581
MGH36_P2_E05	NA	black	0	0.18269	0
MGH54_P2_G09	NA	black	0	0	0
MGH54_P2_D12	NA	black	0	0	0
MGH53_P2_H02	NA	black	0	0.079975	0
MGH36_P8_F11	NA	black	0	0.052416	0
MGH53_P2_A10	NA	black	0	0	0
MGH54_P2_E09	NA	black	0	0.10568	0
MGH36_P3_H06	NA	black	0	0.22033	0
MGH36_P5_D05	NA	black	0	0.20414	0
MGH54_P2_A11	NA	black	0	0	0
MGH54_P2_G04	NA	black	0	0	0
MGH36_P6_C01	0.430458320661	green3	2	0.24732	0.16864
MGH53_P2_E06	NA	black	0	0	0
MGH53_P1_E01	NA	black	0	0	0
MGH36_P1_B01	NA	black	0	0.051024	0
MGH54_P2_H04	NA	black	0	0	0
MGH36_P2_C05	NA	black	0	0.18269	0
MGH36_P6_H05	NA	black	0	0.090853	0
MGH36_P10_E06	0.228589830874	green3	2	0.12168	0.76638
MGH54_P2_F03	NA	black	0	0	2.0186
MGH36_P4_B10	0.0473779998024	green3	2	0.41792	0.98768
MGH54_P2_F02	NA	black	0	0.30918	0
MGH36_P2_E11	NA	black	0	0.18523	0
MGH54_P2_D11	NA	black	0	0.12168	0
MGH54_P2_G01	NA	black	0	0	1.5869
MGH36_P9_D02	NA	black	0	0	0
MGH54_P2_E06	NA	black	0	0.12433	0
MGH54_P16_F12	0.0919533996092	green3	2	0.16736	0.98841
MGH53_P5_C12	NA	black	0	0	0
MGH54_P12_C10	NA	black	0	0.8496	0
MGH54_P16_F02	NA	black	0	0	0
MGH54_P11_C11	NA	black	0	0	0
MGH53_P1_E03	NA	black	0	0.1903	0
MGH54_P15_D06	NA	black	0	0	0
MGH54_P14_F05	NA	black	0	0	0
MGH54_P16_A03	NA	black	0	0	0
MGH53_P4_G11	NA	black	0	0	0
MGH53_P7_B09	NA	black	0	0	0
MGH54_P17_D11	NA	black	0	0	0.27023
MGH54_P10_G04	NA	black	0	0	0
MGH54_P10_C06	NA	black	0	0	0.68616
MGH53_P2_A02	NA	black	0	0	0
MGH53_P4_F06	NA	black	0	0.26183	0
MGH53_P7_F07	NA	black	0	2.4655	0
MGH53_P11_F06	NA	black	0	0.14535	0
MGH53_P5_G02	NA	black	0	0	0
MGH53_P1_F09	NA	black	0	0	1.0208
MGH53_P11_H03	-0.028478336724	green3	2	0.26424	1.2253
MGH53_P10_D11	NA	black	0	0	0.9396
MGH53_P1_A10	NA	black	0	0	1.3912
MGH53_P4_B12	NA	black	0	0.079975	0
MGH53_P5_H09	NA	black	0	0	0
MGH53_P9_D07	NA	black	0	0	0
MGH53_P11_E03	NA	black	0	0	0
MGH53_P1_C02	NA	black	0	0	0
MGH53_P10_F11	NA	black	0	3.2934	0
MGH53_P1_E02	NA	black	0	0	0
MGH53_P1_D07	NA	black	0	0	0
MGH53_P6_B01	NA	black	0	0	0
MGH53_P2_G04	NA	black	0	0.10836	0
MGH53_P1_C05	NA	black	0	0	0
MGH53_P2_G09	NA	black	0	0.514	0
MGH53_P5_A05	NA	black	0	2.3234	0
MGH53_P5_F04	NA	black	0	0.69599	0
MGH53_P10_H03	NA	black	0	0.20914	0
MGH53_P11_F08	NA	black	0	3.6764	0
MGH54_P7_F12	NA	black	0	0.17505	0
MGH53_P8_F03	NA	black	0	0	0
MGH53_P11_A07	NA	black	0	0	0
MGH53_P6_B11	NA	black	0	3.9473	0
MGH53_P4_C07	NA	black	0	0	0
MGH53_P6_H06	NA	black	0	0	0
MGH36_P1_A01	0.547202900201	green3	2	0.096262	0.24367
MGH36_P1_A02	NA	black	0	0	1.2351
MGH36_P1_A03	NA	black	0	0.062122	0
MGH36_P1_A04	NA	black	0	0	0
MGH36_P1_A05	NA	black	0	0	1.2141
MGH36_P1_A06	NA	black	0	0	0
MGH36_P1_A08	NA	black	0	0	1.0243
MGH36_P1_A10	NA	black	0	3.5955	0
MGH36_P1_A12	NA	black	0	0	0
MGH36_P1_B02	-2.35905356698	black	0	2.7257	0.15445
MGH36_P1_B03	NA	black	0	0	0
MGH36_P1_B04	NA	black	0	0	0
MGH36_P1_B06	0.196115733901	green3	2	0.03984	0.86552
MGH36_P1_B07	NA	black	0	0	1.2418
MGH36_P1_B08	NA	black	0	0.053806	0
MGH36_P1_B09	NA	black	0	0	0
MGH36_P1_B10	NA	black	0	0	1.03
MGH36_P1_B11	0.146631440216	green3	2	0.15834	0.89064
MGH36_P1_B12	-1.6056362939	black	0	0.071763	3.4589
MGH36_P1_C01	NA	black	0	0.070389	0
MGH36_P1_C03	NA	black	0	0.19409	0
MGH36_P1_C05	NA	black	0	0	0.90535
MGH36_P1_C06	0.472230053092	green3	2	0.10165	0.36513
MGH36_P1_C07	NA	black	0	0	4.27
MGH36_P1_C08	0.258460476929	green3	2	0.060739	0.75873
MGH36_P1_C09	NA	black	0	0	0
MGH36_P1_C10	-0.0982363017496	green3	2	0.052416	1.3028
MGH36_P1_C11	NA	black	0	0.041243	0
MGH36_P1_D01	-0.470501956927	green3	2	0.26063	2.1699
MGH36_P1_D02	NA	black	0	0	0
MGH36_P1_D03	-1.53650598154	black	0	0.11902	3.5286
MGH36_P1_D04	-0.960107347455	red	1	0.22774	3.0061
MGH36_P1_D06	NA	black	0	0.15575	0
MGH36_P1_D07	NA	black	0	3.0411	0
MGH36_P1_D08	-0.00337384488083	green3	2	0.60312	1.2129
MGH36_P1_D09	NA	black	0	0	0
MGH36_P1_D11	NA	black	0	0	0.52807
MGH36_P1_F01	NA	black	0	0	0
MGH36_P1_F02	-0.298986033329	green3	2	1.3488	0.77905
MGH36_P1_F03	-0.536997040883	red	1	0.029983	1.913
MGH36_P1_F04	-0.137239528447	green3	2	0.086784	1.373
MGH36_P1_F05	NA	black	0	0.46153	0
MGH36_P1_F06	NA	black	0	0	1.8608
MGH36_P1_F08	NA	black	0	0	0.87342
MGH36_P1_F11	NA	black	0	0	0
MGH36_P1_F12	-0.884272550547	red	1	2.9616	0.85679
MGH36_P1_G02	NA	black	0	0	2.1757
MGH36_P1_G03	NA	black	0	0	3.6857
MGH36_P1_G04	NA	black	0	0	0
MGH36_P1_G07	NA	black	0	0	0
MGH36_P1_G08	NA	black	0	0	2.6344
MGH36_P1_G09	NA	black	0	0	0
MGH36_P1_H02	NA	black	0	0	0
MGH36_P1_H03	0.624163130853	green3	2	0.034216	0.21785
MGH36_P1_H04	0.601787953235	green3	2	0.13093	0.07861
MGH36_P1_H05	NA	black	0	0	0.12035
MGH36_P1_H06	NA	black	0	0	0.051024
MGH36_P1_H07	NA	black	0	0	0
MGH36_P1_H09	NA	black	0	0	0
MGH36_P1_H10	NA	black	0	0.028569	0
MGH36_P3_A01	NA	black	0	0	0
MGH36_P3_A02	NA	black	0	0	0
MGH36_P3_A03	NA	black	0	0.88049	0
MGH36_P3_A04	0.271710455886	green3	2	0.20664	0.60312
MGH36_P3_A05	NA	black	0	0	0
MGH36_P3_A08	-0.334936298102	green3	2	0.15186	1.742
MGH36_P3_A09	NA	black	0	0	0
MGH36_P3_A10	NA	black	0	3.5814	0
MGH36_P3_A12	NA	black	0	0	1.121
MGH36_P3_B02	NA	black	0	0	2.0293
MGH36_P3_B03	NA	black	0	0	0
MGH36_P3_B04	NA	black	0	0.21164	0
MGH36_P3_B09	NA	black	0	0	1.2412
MGH36_P3_B10	NA	black	0	0.32654	0
MGH36_P3_B11	NA	black	0	0.32654	0
MGH36_P3_B12	NA	black	0	0.38626	0
MGH36_P3_C01	NA	black	0	0	0
MGH36_P3_C03	NA	black	0	0	0
MGH36_P3_C04	NA	black	0	0.40708	0
MGH36_P3_C05	NA	black	0	2.839	0
MGH36_P3_C06	NA	black	0	0	0
MGH36_P3_C08	NA	black	0	2.2247	0
MGH36_P3_C11	NA	black	0	0	0.69243
MGH36_P3_C12	NA	black	0	0	1.9415
MGH36_P3_D01	0.269608868905	green3	2	0.38626	0.21785
MGH36_P3_D02	NA	black	0	0	0
MGH36_P3_D03	NA	black	0	0	0
MGH36_P3_D04	NA	black	0	0	0
MGH36_P3_D07	-0.0060522807464	green3	2	0.66357	1.5375
MGH36_P3_D08	NA	black	0	0	0
MGH36_P3_D09	NA	black	0	0.15704	0
MGH36_P3_D11	0.511922392406	green3	2	0.15704	0.19661
MGH36_P3_E02	NA	black	0	0	0
MGH36_P3_E04	NA	black	0	0.11902	0
MGH36_P3_E05	NA	black	0	0.14405	0
MGH36_P3_E06	NA	black	0	0	0
MGH36_P3_E07	NA	black	0	0	2.6547
MGH36_P3_E08	NA	black	0	0	1.1609
MGH36_P3_E09	NA	black	0	0	0
MGH36_P3_E10	NA	black	0	0	0
MGH36_P3_E11	NA	black	0	0	0
MGH36_P3_E12	0.3208074485	green3	2	0.14535	0.57918
MGH36_P3_F01	NA	black	0	0	1.2035
MGH36_P3_F02	NA	black	0	0	1.4761
MGH36_P3_F05	NA	black	0	0	0
MGH36_P3_F06	NA	black	0	0.12961	0
MGH36_P3_F07	NA	black	0	0.14274	0
MGH36_P3_F08	NA	black	0	0	0.4813
MGH36_P3_F09	NA	black	0	0	4.3953
MGH36_P3_F10	NA	black	0	0	2.1935
MGH36_P3_F11	NA	black	0	0	1.4
MGH36_P3_F12	NA	black	0	0	0
MGH36_P3_G01	NA	black	0	0.24245	0
MGH36_P3_G02	NA	black	0	0	0
MGH36_P3_G03	NA	black	0	0.14143	0
MGH36_P3_G04	0.49716926318	green3	2	0.19912	0.13488
MGH36_P3_G05	-0.290856672106	green3	2	0.22651	1.7493
MGH36_P3_G06	NA	black	0	1.7782	0
MGH36_P3_G08	-4.67216200226	black	0	4.7219	0.17377
MGH36_P3_G09	0.453651048592	green3	2	0.23879	0.13488
MGH36_P3_G10	-2.23661439806	black	0	0.14012	4.6149
MGH36_P3_G11	NA	black	0	0.16993	0
MGH36_P3_G12	NA	black	0	0	0.3115
MGH36_P3_H03	NA	black	0	0	0
MGH36_P3_H04	NA	black	0	0.14535	0
MGH36_P3_H05	NA	black	0	0.10165	0
MGH36_P3_H07	0.0475180638311	green3	2	0.60407	0.21661
MGH36_P3_H08	NA	black	0	0	0.24853
MGH36_P3_H11	0.0399871775647	green3	2	0.14666	1.0875
MGH36_P3_H12	NA	black	0	0	0
MGH36_P4_A01	0.48924994348	green3	2	0.17249	0.21039
MGH36_P4_A02	NA	black	0	0.1865	0
MGH36_P4_A03	NA	black	0	1.2023	0
MGH36_P4_A04	NA	black	0	0	0.40817
MGH36_P4_A06	NA	black	0	0.14274	0
MGH36_P4_A07	-2.51833115669	black	0	2.904	0.17505
MGH36_P4_A08	NA	black	0	0	0
MGH36_P4_A11	NA	black	0	5.0404	0
MGH36_P4_A12	NA	black	0	0	0
MGH36_P4_B02	NA	black	0	0.41576	0
MGH36_P4_B04	NA	black	0	0.14535	0
MGH36_P4_B05	-0.608570792629	red	1	2.109	0.80735
MGH36_P4_B06	NA	black	0	0	0
MGH36_P4_B08	NA	black	0	0.14796	0
MGH36_P4_B09	NA	black	0	0	0
MGH36_P4_B12	NA	black	0	0	0
MGH36_P4_C02	NA	black	0	0	0
MGH36_P4_C03	-0.0165479834644	green3	2	0.41792	1.224
MGH36_P4_C04	NA	black	0	0	0
MGH36_P4_C05	NA	black	0	0	0
MGH36_P4_C06	NA	black	0	0	0
MGH36_P4_C07	NA	black	0	0	0
MGH36_P4_C08	NA	black	0	0.31267	0
MGH36_P4_C10	NA	black	0	0	0
MGH36_P4_C11	NA	black	0	0	0
MGH36_P4_C12	NA	black	0	0	1.3115
MGH36_P4_D01	NA	black	0	0	0
MGH36_P4_D02	NA	black	0	0.28806	0
MGH36_P4_D05	NA	black	0	0	0
MGH36_P4_D07	NA	black	0	0	0
MGH36_P4_D08	NA	black	0	0	0
MGH36_P4_D09	NA	black	0	0	0
MGH36_P4_D10	NA	black	0	0.75788	0
MGH36_P4_D11	NA	black	0	3.8998	0
MGH36_P4_D12	-0.155193910844	green3	2	0.12829	1.4201
MGH36_P4_E01	0.553745345939	green3	2	0.13093	0.16864
MGH36_P4_E02	NA	black	0	0.15575	0
MGH36_P4_E04	NA	black	0	0	0
MGH36_P4_E06	NA	black	0	0.13619	0
MGH36_P4_E07	NA	black	0	0	1.2821
MGH36_P4_E08	NA	black	0	0.29396	0
MGH36_P4_E09	NA	black	0	0	0
MGH36_P4_E10	NA	black	0	0	0
MGH36_P4_E11	NA	black	0	0	0
MGH36_P4_E12	NA	black	0	0.27501	0
MGH36_P4_F01	NA	black	0	0.13093	0
MGH36_P4_F02	NA	black	0	0	0
MGH36_P4_F03	NA	black	0	0	0
MGH36_P4_F04	NA	black	0	0	1.1884
MGH36_P4_F05	NA	black	0	0	0
MGH36_P4_F06	NA	black	0	0	1.3962
MGH36_P4_F07	NA	black	0	0	0
MGH36_P4_F09	NA	black	0	0.11503	0
MGH36_P4_F10	NA	black	0	0	0
MGH36_P4_F11	NA	black	0	0.29278	0
MGH36_P4_F12	NA	black	0	0.15056	0
MGH36_P4_G01	NA	black	0	0.25217	0
MGH36_P4_G02	NA	black	0	0	2.8408
MGH36_P4_G03	NA	black	0	0.17632	0
MGH36_P4_G04	0.00560861578809	green3	2	0.52707	1.1296
MGH36_P4_G05	NA	black	0	0.24732	0
MGH36_P4_G06	NA	black	0	0	0
MGH36_P4_G08	NA	black	0	0	1.0461
MGH36_P4_G09	NA	black	0	0	0
MGH36_P4_G10	0.175821227147	green3	2	0.26544	0.75018
MGH36_P4_G11	0.234527093163	green3	2	0.12035	0.75702
MGH36_P4_H01	NA	black	0	0	0
MGH36_P4_H02	NA	black	0	0.16479	0
MGH36_P4_H03	NA	black	0	0	0
MGH36_P4_H04	NA	black	0	0	1.3144
MGH36_P4_H05	0.380623492776	green3	2	0.17505	0.42438
MGH36_P4_H09	0.41009959065	green3	2	0.15963	0.39067
MGH36_P4_H12	NA	black	0	0	0
MGH36_P6_A02	0.0827659847737	green3	2	0.543	0.48954
MGH36_P6_A04	NA	black	0	0.10299	0
MGH36_P6_A05	NA	black	0	0	0
MGH36_P6_A07	NA	black	0	4.091	0
MGH36_P6_A08	NA	black	0	0.18903	0
MGH36_P6_A09	NA	black	0	0	0
MGH36_P6_A10	NA	black	0	0.10969	0
MGH36_P6_A11	NA	black	0	0	0
MGH36_P6_B03	NA	black	0	0	1.4457
MGH36_P6_B04	NA	black	0	0	0
MGH36_P6_B05	NA	black	0	0	0
MGH36_P6_B06	0.589901984821	green3	2	0.10969	0.14405
MGH36_P6_B10	NA	black	0	0	0
MGH36_P6_B11	NA	black	0	0	1.2981
MGH36_P6_B12	NA	black	0	0.20038	0
MGH36_P6_C02	NA	black	0	0	0
MGH36_P6_C03	NA	black	0	3.9977	0
MGH36_P6_C04	NA	black	0	0	0.301
MGH36_P6_C05	NA	black	0	0.19156	0
MGH36_P6_C06	-0.0896578857156	green3	2	0.42975	1.4983
MGH36_P6_C07	NA	black	0	0	1.2815
MGH36_P6_C08	0.386722628293	green3	2	0.10969	0.50284
MGH36_P6_C09	NA	black	0	0	0
MGH36_P6_C11	NA	black	0	0	0
MGH36_P6_C12	NA	black	0	0	0.34596
MGH36_P6_D01	NA	black	0	0.097611	0
MGH36_P6_D02	NA	black	0	0	0
MGH36_P6_D03	NA	black	0	0	3.5661
MGH36_P6_D04	0.417236848525	green3	2	0.16607	0.36625
MGH36_P6_D05	NA	black	0	0	4.1996
MGH36_P6_D06	0.556534656389	green3	2	0.12829	0.16864
MGH36_P6_D07	NA	black	0	0	0
MGH36_P6_D08	NA	black	0	0.25096	0
MGH36_P6_D10	NA	black	0	0	0
MGH36_P6_D11	NA	black	0	0	0
MGH36_P6_E02	NA	black	0	0	0
MGH36_P6_E03	0.367310636593	green3	2	0.29514	0.20289
MGH36_P6_E04	0.427780279783	green3	2	0.096262	0.4489
MGH36_P6_E05	NA	black	0	0	0
MGH36_P6_E06	0.0983384100586	green3	2	0.23266	0.9501
MGH36_P6_E07	NA	black	0	0.18523	0
MGH36_P6_E08	-0.744675585187	red	1	0.09356	2.3039
MGH36_P6_E09	NA	black	0	0.2302	0
MGH36_P6_E10	-0.314766771854	green3	2	0.20289	1.7655
MGH36_P6_E11	NA	black	0	0.13225	0
MGH36_P6_E12	0.00124838747695	green3	2	0.66084	0.94486
MGH36_P6_F01	NA	black	0	0	0
MGH36_P6_F04	-0.392641580592	green3	2	0.11503	1.7962
MGH36_P6_F06	NA	black	0	0	0
MGH36_P6_F07	0.619673289381	green3	2	0.042644	0.21164
MGH36_P6_F08	NA	black	0	0	0.58976
MGH36_P6_F10	NA	black	0	0	0
MGH36_P6_F12	NA	black	0	0	0.33113
MGH36_P6_G01	NA	black	0	0	1.3606
MGH36_P6_G02	NA	black	0	0	1.1329
MGH36_P6_G03	NA	black	0	0.16221	0
MGH36_P6_G04	NA	black	0	0	0
MGH36_P6_G05	0.538400621591	green3	2	0.1003	0.25217
MGH36_P6_G06	NA	black	0	0	0
MGH36_P6_G07	NA	black	0	4.7955	0
MGH36_P6_G08	NA	black	0	0	0
MGH36_P6_G09	NA	black	0	0	0
MGH36_P6_G10	NA	black	0	0.14535	0
MGH36_P6_G11	NA	black	0	3.2216	0
MGH36_P6_G12	NA	black	0	0.35389	0
MGH36_P6_H06	NA	black	0	0	0
MGH36_P6_H07	NA	black	0	0.1003	0
MGH36_P6_H10	-1.79290226643	black	0	0.08134	3.7443
MGH36_P6_H12	-1.12188946357	black	0	1.8504	0.32423
MGH36_P7_A01	NA	black	0	0.48852	0
MGH36_P7_A02	NA	black	0	0	0.17249
MGH36_P7_A03	NA	black	0	0	1.5251
MGH36_P7_A04	NA	black	0	0	2.4568
MGH36_P7_A06	NA	black	0	0	0.3173
