Cell_name	Zvalue	Color	Cluster	POU2F1	SNAPC1
93_P6_H04	NA	black	0	0	0
93_P6_C01	-0.211855048429	red	1	1.0915	3.8954
93_P5_G06	-0.686063931328	red	1	2.5969	0.40817
93_P6_A07	NA	black	0	3.3971	0
93_P5_H10	-0.775725227837	red	1	0.8528	4.3779
93_P6_F08	-0.326136842068	red	1	1.8127	0.35614
93_P5_H01	NA	black	0	0	0
93_P5_B02	NA	black	0	0	4.2399
93_P5_G01	NA	black	0	0	0
93_P6_A12	NA	black	0	0	0
93_P5_G11	NA	black	0	1.918	0
93_P6_E11	-0.980958751561	red	1	0.37629	2.905
93_P5_D07	NA	black	0	1.3004	0
93_P6_E02	-0.174115930909	red	1	0.43189	1.4542
93_P6_E09	NA	black	0	1.0854	0
93_P5_F09	0.255964790971	red	1	0.11503	0.73812
93_P6_E06	0.218691856705	red	1	0.75104	0.32884
93_P5_A06	NA	black	0	0	2.6367
93_P5_D04	0.467391371462	green3	2	0.20539	0.37518
93_P5_H07	-0.433379633715	red	1	3.1979	0.81885
93_P6_D06	NA	black	0	0	0.71282
93_P6_C07	-0.636089384131	red	1	2.3685	0.32998
93_P5_F07	0.670708730773	red	1	0.041243	0.20664
93_P5_C04	NA	black	0	0.26544	0
93_P5_A02	NA	black	0	0.70399	0
93_P5_A07	NA	black	0	0.74071	0
93_P5_A08	NA	black	0	0	0
93_P6_B12	NA	black	0	1.1144	0
93_P5_G04	NA	black	0	0	0
93_P5_H11	2.13694417426	black	0	2.5056	3.6068
93_P6_E03	NA	black	0	3.5103	0
93_P6_B07	-1.52225946067	red	1	0.067639	3.1276
93_P5_D02	-0.475850834301	red	1	2.069	0.32769
93_P6_D08	NA	black	0	0.22774	0
93_P6_A01	NA	black	0	0	3.8273
93_P5_E12	NA	black	0	0.21661	0
93_P5_A03	NA	black	0	0.9138	0
93_P5_F02	NA	black	0	0.52807	0
93_P6_F06	0.493262984977	green3	2	0.21412	0.32769
93_P5_F08	NA	black	0	0	0
93_P6_C10	NA	black	0	0.52406	0
93_P5_G08	NA	black	0	0	0.4957
93_P6_D07	NA	black	0	0	0
93_P6_F05	NA	black	0	3.7438	0
93_P5_C07	NA	black	0	0	0
93_P5_B03	NA	black	0	1.9553	0
93_P6_E10	NA	black	0	3.1987	0
93_P5_A11	0.0444804338533	red	1	1.0489	0.58304
93_P5_F01	NA	black	0	0	0
93_P5_C03	-0.781919142133	red	1	0.40054	2.589
93_P6_B10	NA	black	0	0	0
93_P5_E03	3.25970328215	black	0	3.7428	3.0819
93_P5_G09	NA	black	0	3.6843	0
93_P5_C10	0.168397613528	red	1	0.11237	0.86315
93_P5_E10	-1.99861347549	black	0	0.30217	4.4194
93_P5_D08	-0.00541275122194	red	1	0.70841	1.1263
MGH93_P7_D06	NA	black	0	0	0
MGH93_P7_G08	NA	black	0	0	0
MGH93_P7_D02	NA	black	0	1.4478	0
MGH93_P7_A03	-1.01320432649	red	1	2.8363	0.22033
MGH93_P7_B06	NA	black	0	2.1378	0
MGH93_P7_C09	NA	black	0	0	4.4653
MGH93_P7_F07	NA	black	0	3.1993	0
MGH93_P7_B02	NA	black	0	0	0
MGH93_P7_H05	NA	black	0	0.55189	0
MGH93_P7_H09	0.505164170721	green3	2	0.085425	0.40163
MGH93_P7_D10	-0.0992144717445	red	1	1.4228	0.51702
MGH93_P7_B11	-0.464706463467	red	1	0.42116	2.0169
MGH93_P7_F11	NA	black	0	0.14666	0
MGH93_P7_C04	NA	black	0	0	0
MGH93_P7_F02	NA	black	0	0	0
MGH93_P7_D12	NA	black	0	0	0
MGH93_P7_G04	NA	black	0	0.071763	0
MGH93_P7_A10	NA	black	0	0.33457	0
MGH93_P7_G09	NA	black	0	0	0
MGH93_P7_F06	0.0440840643134	red	1	0.91991	0.85439
MGH93_P7_H08	0.0418863819193	red	1	1.0963	0.28451
MGH93_P7_A11	NA	black	0	0	0
MGH93_P7_G10	NA	black	0	1.1641	0
MGH93_P7_G03	-0.278323350589	red	1	2.3704	0.77989
MGH93_P7_G07	NA	black	0	0.073135	0
MGH93_P7_A12	NA	black	0	3.2636	0
MGH93_P7_A06	NA	black	0	0.88362	0
MGH93_P7_A08	NA	black	0	0.99277	0
MGH93_P7_H10	NA	black	0	1.8953	0
MGH93_P7_C05	NA	black	0	1.157	0
MGH93_P7_C12	NA	black	0	0.59932	0
MGH93_P7_C07	NA	black	0	0.64708	0
MGH93_P7_B03	NA	black	0	1.0447	0
MGH93_P7_A07	-0.936855759294	red	1	0.075875	2.3649
MGH93_P7_E10	NA	black	0	0.58304	0
MGH93_P7_F04	-0.14856758255	red	1	1.4114	0.1865
MGH93_P7_A09	NA	black	0	0.86552	0
MGH93_P7_E06	NA	black	0	0.30568	0
MGH93_P7_C02	NA	black	0	0	3.3434
MGH93_P7_F10	NA	black	0	0	0.67627
MGH93_P7_C10	-0.498228644045	red	1	0.82456	3.115
MGH93_P7_H07	NA	black	0	2.3225	0
MGH93_P7_H01	NA	black	0	3.1577	0
MGH93_P7_B10	NA	black	0	2.6913	0
MGH93_P7_F12	NA	black	0	2.183	0
MGH93_P7_F08	NA	black	0	0	0
MGH93_P7_A01	NA	black	0	1.4521	0
MGH93_P7_E11	NA	black	0	2.9975	0
MGH93_P7_E09	-3.01322066426	black	0	0.1635	5.4066
MGH93_P7_E05	NA	black	0	3.2052	0
MGH93_P7_D08	NA	black	0	1.8703	0
MGH93_P7_D01	-0.309850225012	red	1	1.9084	0.48954
MGH93_P7_H11	NA	black	0	1.5539	0
MGH93_P7_H12	0.495415840277	green3	2	0.04684	0.43829
MGH93_P7_D05	-1.21303415955	red	1	0.12961	2.8146
MGH93_P7_E04	NA	black	0	0.10702	0
MGH93_P7_D04	NA	black	0	0.8984	0
MGH93_P7_C06	NA	black	0	0	0.21909
MGH93_P7_E12	0.448918338616	green3	2	0.21039	0.40054
MGH93_P7_G06	0.302241610009	red	1	0.25459	0.60881
MGH93_P7_B04	0.364416209535	red	1	1.9061	1.8883
MGH93_P7_F03	NA	black	0	0	0
MGH93_P7_B12	-0.0871984991474	red	1	1.3242	0.25459
MGH93_P7_H04	NA	black	0	1.4594	0
MGH93_P7_A05	-0.237672698096	red	1	2.0215	0.7031
MGH93_P7_D07	NA	black	0	2.9336	0
MGH93_P7_F01	NA	black	0	0.53804	0
MGH93_P7_F05	NA	black	0	2.4949	0
93_P10_H10	-0.509170668419	red	1	2.2925	0.44467
93_P10_E02	NA	black	0	2.0395	0
93_P9_C04	-1.41912733215	red	1	0.044044	2.9538
93_P9_A08	0.034391673334	red	1	1.1144	0.20914
93_P9_G06	NA	black	0	0.18903	0
93_P8_F09	NA	black	0	1.4967	0
93_P8_G06	NA	black	0	0.45943	0
93_P9_E04	NA	black	0	0.077243	0
93_P10_D06	NA	black	0	2.4834	0
93_P9_B07	NA	black	0	3.0552	0
93_P9_G08	NA	black	0	0	0
93_P9_D04	1.54008525175	red	1	2.4362	3.0058
93_P8_E07	NA	black	0	0	0
93_P9_H01	1.67407979115	red	1	2.6717	2.8448
93_P9_B08	NA	black	0	0.079975	0
93_P10_E03	0.664327133042	red	1	0.042644	0.21412
93_P8_H09	NA	black	0	0	4.5875
93_P10_B02	NA	black	0	1.8045	0
93_P8_B06	NA	black	0	2.1293	0
93_P10_E05	0.50230655893	green3	2	0.08134	0.40817
93_P8_E06	-0.216897583588	red	1	0.32308	1.4834
93_P10_A02	-0.173087586526	red	1	0.13356	1.3499
93_P8_B04	-1.0546665036	red	1	2.9638	0.25217
93_P8_C05	NA	black	0	0.89918	0
93_P9_F12	0.163967850844	red	1	0.84639	0.35502
93_P10_A01	-0.107582097021	red	1	1.4844	0.5955
93_P8_A10	NA	black	0	0.07861	0
93_P9_B06	0.740716228717	red	1	0.055196	0.1003
93_P10_D12	0.139674748587	red	1	0.9501	0.16092
93_P8_D04	-0.0975800446229	red	1	0.33685	1.278
93_P9_B10	NA	black	0	0.071763	0
93_P9_E12	NA	black	0	0.71458	0
93_P9_B02	0.126548756084	red	1	0.09356	0.92524
93_P8_G11	NA	black	0	0.23511	0
93_P10_H08	NA	black	0	1.9373	0
93_P10_B04	NA	black	0	1.4594	0
93_P9_C12	0.168399887983	red	1	0.83996	0.34937
93_P8_D11	NA	black	0	0	0
93_P8_A03	NA	black	0	0	0
93_P9_F02	-0.296375261201	red	1	1.7778	0.38515
93_P10_F03	-0.233343098417	red	1	1.7247	0.4844
93_P9_G11	NA	black	0	0	2.4423
93_P8_B09	NA	black	0	0	0
93_P9_E05	-0.721511823438	red	1	2.5276	0.33113
93_P8_E09	-0.103454056882	red	1	1.3901	0.39944
93_P8_G03	NA	black	0	0	0
93_P9_C10	0.634853085286	green3	2	0.10568	0.20414
93_P8_D06	NA	black	0	2.5871	0
93_P8_C06	NA	black	0	0.38957	0
93_P10_C01	-0.613317241111	red	1	2.4052	0.38184
93_P8_A05	0.14581568492	red	1	2.1087	1.3646
93_P8_C11	NA	black	0	0.77146	0
93_P8_E08	NA	black	0	2.1528	0
93_P8_G12	NA	black	0	1.196	0
93_P9_D09	NA	black	0	0	0
93_P8_D05	-0.00592096310125	red	1	0.71545	1.1283
93_P9_F04	NA	black	0	2.9201	0
93_P10_H12	NA	black	0	0.53007	0
93_P9_H09	-0.311330074734	red	1	2.0419	0.58592
93_P10_E06	NA	black	0	1.5902	0
93_P10_D07	NA	black	0	0	0
93_P8_G05	NA	black	0	1.4179	0
93_P9_A03	0.476379345764	green3	2	0.10165	0.43189
93_P10_E10	-0.938156856413	red	1	2.6613	0.1865
93_P10_G11	0.640857884998	green3	2	0.13093	0.17377
93_P10_F08	-0.0509869428993	red	1	1.2744	0.35952
93_P8_F07	NA	black	0	0.71282	0
93_P10_E01	NA	black	0	2.6441	0
93_P9_E07	NA	black	0	0.056584	0
93_P9_E03	NA	black	0	0	5.2273
93_P9_D12	NA	black	0	2.2777	0
93_P8_E03	NA	black	0	0	0
93_P10_E12	0.135297450746	red	1	0.84318	0.4957
93_P8_F11	NA	black	0	0	0
93_P9_B03	-0.390588101814	red	1	2.8576	0.78743
93_P9_H10	0.652599758926	red	1	0.045443	0.22774
93_P10_E04	0.356543712068	red	1	0.58207	0.19661
93_P8_A07	NA	black	0	3.1919	0
93_P8_F08	NA	black	0	2.2981	0
93_P10_C11	NA	black	0	0	0
93_P10_H07	0.513219651499	green3	2	0.12168	0.36625
93_P9_E02	NA	black	0	0	4.6832
93_P10_H05	NA	black	0	0.15445	0
93_P9_B11	0.741471973756	red	1	0.11237	0.045443
93_P9_G10	-0.799961687879	red	1	2.6736	0.33228
93_P10_F05	NA	black	0	0	0
93_P9_F10	-0.207237685829	red	1	0.62012	1.6599
93_P9_A02	NA	black	0	0	0.88518
93_P8_D10	NA	black	0	0	0
93_P10_G04	3.42824307725	black	0	3.1927	3.7432
93_P10_C05	NA	black	0	0.29396	0
93_P8_C07	NA	black	0	1.0786	0
93_P9_E06	NA	black	0	0	3.0925
93_P8_B11	NA	black	0	0	0
93_P10_H01	NA	black	0	0.24245	0
93_P8_H05	NA	black	0	0	0
93_P9_B09	-0.611409310254	red	1	2.7693	0.55876
93_P8_H07	-0.151939528621	red	1	2	0.848
93_P10_C10	NA	black	0	1.1903	0
93_P8_D12	0.240146040602	red	1	0.57725	0.50182
93_P8_C03	NA	black	0	0.74157	0
93_P10_C03	-1.5322478409	red	1	3.9525	0.32077
93_P8_D08	NA	black	0	0.30451	0
93_P8_E10	NA	black	0	0	0
93_P10_A12	NA	black	0	0	0
93_P10_F10	1.72749719798	red	1	2.9125	2.6535
93_P9_F07	-0.141221942095	red	1	1.5714	0.584
93_P8_B03	NA	black	0	2.3882	0
93_P9_G05	0.104643130323	red	1	0.8213	0.6663
93_P10_A05	NA	black	0	0.4489	0
93_P9_C06	-1.11378200144	red	1	2.9501	0.19535
93_P8_A02	-1.15294095339	red	1	0.098958	2.6855
93_P8_F01	NA	black	0	0	0
93_P8_G04	NA	black	0	1.5069	0
93_P9_D06	NA	black	0	0.38847	0
93_P10_A11	NA	black	0	0	0.5955
93_P10_B12	NA	black	0	0.086784	0
93_P8_B02	NA	black	0	2.5588	0
93_P8_C09	-0.892236374292	red	1	3.8613	0.64985
93_P8_B07	0.208687435565	red	1	3.6298	1.2762
93_P8_C02	NA	black	0	0	0
93_P10_B09	0.174848294119	red	1	0.87342	0.22897
93_P9_A12	NA	black	0	3.4596	0
93_P8_E05	NA	black	0	2.7623	0
93_P10_C08	NA	black	0	1.051	0
93_P9_H02	NA	black	0	0.67807	0
93_P9_H05	NA	black	0	2.6645	0
93_P9_G02	-0.471917546196	red	1	2.4174	0.55974
93_P9_A04	NA	black	0	0	0.37518
93_P10_C04	NA	black	0	0.95829	0
93_P10_H11	NA	black	0	1.157	0
93_P9_D10	NA	black	0	1.842	0
93_P8_E12	-0.678947357896	red	1	2.5301	0.37962
93_P9_D07	NA	black	0	3.1094	0
93_P10_G05	NA	black	0	0	0.96273
93_P10_F06	NA	black	0	1.3465	0
93_P10_C07	NA	black	0	0.12565	0
93_P9_D08	NA	black	0	0.76214	0
93_P10_G06	NA	black	0	0.98404	0
93_P10_G09	-1.01246840357	red	1	3.2268	0.39944
93_P8_F02	-0.166850113004	red	1	2.07	0.84559
93_P8_G08	NA	black	0	0	0
93_P10_H02	NA	black	0	2.0412	0
93_P10_H03	-0.0113196531785	red	1	1.2048	0.54794
93_P8_E01	0.361960048114	red	1	1.8472	1.9508
93_P9_H11	-1.08869239304	red	1	3.7226	0.50487
93_P9_H03	-0.557495618419	red	1	2.2678	0.36289
93_P9_C02	0.0654272646839	red	1	0.13356	1.0072
93_P8_F06	NA	black	0	1.1204	0
93_P9_G07	1.71682647436	red	1	2.0036	4.3927
93_P10_E08	0.579535576232	green3	2	0.064883	0.31267
93_P10_D02	NA	black	0	1.0072	0
93_P10_A09	NA	black	0	0	0.54696
93_P10_G07	NA	black	0	0.123	0
93_P8_E11	NA	black	0	1.4103	0
93_P10_C12	NA	black	0	2.4735	0
93_P9_B12	NA	black	0	0	0
93_P8_H03	NA	black	0	3.38	0
93_P9_G12	NA	black	0	3.0101	0
93_P10_B06	NA	black	0	0	0.23511
93_P8_D02	NA	black	0	0	0
93_P9_A10	NA	black	0	0	0
93_P9_G01	-0.0467579659478	red	1	1.3414	0.69153
93_P9_H12	-0.255090608608	red	1	1.6267	0.2762
93_P10_F12	-0.264013736549	red	1	1.7044	0.37407
93_P10_G03	NA	black	0	0	0
93_P9_F08	-0.19304235219	red	1	1.9851	0.76638
93_P10_C06	-0.120433093099	red	1	1.3802	0.24732
93_P10_D04	2.81675820255	black	0	3.1844	3.2826
93_P9_C11	NA	black	0	0.89763	0
93_P9_A01	3.79728545509	black	0	3.017	4.3108
93_P9_B05	-0.338278918202	red	1	1.7727	0.27501
93_P9_A06	NA	black	0	0.68706	0
93_P10_A10	0.681153306623	red	1	0.031395	0.20038
93_P10_F07	-0.931141794336	red	1	3.5729	0.56169
93_P9_B04	NA	black	0	2.0384	0
93_P10_H04	NA	black	0	0	0
93_P10_B11	NA	black	0	0.34483	0
93_P9_D01	1.11098940259	red	1	2.1574	2.8701
93_P8_A11	NA	black	0	1.7698	0
93_P9_F11	NA	black	0	0.1177	0
93_P8_G09	0.530428941677	green3	2	0.077243	0.37184
93_P10_G01	-0.382103158739	red	1	1.8516	0.27739
93_P8_D07	NA	black	0	0	0
93_P8_G01	-0.159071149003	red	1	1.1243	4.0029
93_P9_H04	NA	black	0	2.3832	0
93_P10_B10	NA	black	0	2.7452	0
93_P9_G04	-1.84080676571	red	1	3.9088	0.1375
93_P8_D01	0.0876522673026	red	1	1.281	2.6427
93_P8_F03	NA	black	0	0.60597	0
93_P10_D03	NA	black	0	0.11902	0
93_P10_H06	NA	black	0	0	0.28451
93_P8_B12	NA	black	0	2.6353	0
93_P8_D09	NA	black	0	0.75958	0
93_P9_D11	NA	black	0	2.651	0
93_P10_G08	-0.343894274395	red	1	1.7732	0.26183
93_P8_H06	NA	black	0	1.8754	0
93_P9_C07	0.400700430597	red	1	0.11636	0.53107
93_P8_A12	0.61508887363	green3	2	0.029983	0.28924
93_P8_C01	NA	black	0	0.66993	0
93_P9_F06	-1.09918037218	red	1	2.9694	0.21785
