Cell_name	Zvalue	Color	Cluster	BCL2L11	CREB1
MGH54_P2_H10	NA	black	0	0.10434	0
MGH53_P4_E06	NA	black	0	0	0.053806
MGH53_P4_D12	0.711330267974	green3	2	0.10702	0.060739
MGH54_P2_H07	NA	black	0	0	0.073135
MGH53_P2_E03	NA	black	0	0	0
MGH53_P1_A05	NA	black	0	0	2.9773
MGH36_P7_D12	NA	black	0	0	0.045443
MGH53_P4_H03	NA	black	0	0	0
MGH53_P2_E05	NA	black	0	3.24	0
MGH36_P4_H11	NA	black	0	0	0.13488
MGH53_P1_B01	NA	black	0	0	0
MGH54_P2_G03	0.229831605205	green3	2	0.81885	0.07861
MGH53_P2_F12	NA	black	0	0	2.5296
MGH36_P4_C09	NA	black	0	0	0.20289
MGH36_P5_C08	-0.298495634777	green3	2	0.017209	1.3488
MGH36_P4_H06	NA	black	0	0	0.79909
MGH36_P10_E01	NA	black	0	0	0.10165
MGH36_P8_E12	NA	black	0	0	2.3868
MGH53_P2_C10	NA	black	0	0	2.9098
MGH36_P4_H08	NA	black	0	0	0.11902
MGH36_P7_F07	NA	black	0	0	0.76043
MGH54_P2_A09	NA	black	0	0	2.4701
MGH36_P6_H11	NA	black	0	0	0.08134
MGH53_P2_E12	NA	black	0	0	0.18903
MGH53_P1_F08	NA	black	0	0	1.0022
MGH36_P6_D12	NA	black	0	0	0.16993
MGH36_P2_H09	0.748447737424	green3	2	0.027154	0.079975
MGH53_P1_C01	NA	black	0	0.10568	0
MGH53_P2_F11	NA	black	0	0	0.027154
MGH36_P6_H04	NA	black	0	0	0.16864
MGH36_P5_G05	-0.576648679248	green3	2	1.9464	0.015783
MGH53_P4_B04	NA	black	0	0	0
MGH53_P1_E05	-0.656363615775	green3	2	0.21288	1.9256
MGH36_P10_A08	NA	black	0	0	0.11103
MGH36_P9_G01	NA	black	0	0	2.3956
MGH53_P4_A06	0.659771640016	green3	2	0.11503	0.123
MGH36_P6_B09	NA	black	0	0	0.25338
MGH54_P2_D09	NA	black	0	0.10165	0
MGH53_P1_E06	NA	black	0	0	0.63784
MGH36_P4_A10	NA	black	0	0	0.096262
MGH36_P6_B02	NA	black	0	0	0.098958
MGH53_P4_G06	0.666526871748	green3	2	0.1137	0.11503
MGH36_P8_F01	NA	black	0	0	0.16607
MGH36_P9_F06	NA	black	0	0.12565	0
MGH36_P5_H04	-2.59776530303	black	0	4.7914	0.082703
MGH53_P1_B03	0.300914535177	green3	2	0.61164	0.25096
MGH53_P2_D05	NA	black	0	0	0.094912
MGH36_P4_G12	NA	black	0	0	0.082703
MGH53_P2_D11	NA	black	0	0	0
MGH53_P4_C02	NA	black	0	0	0.11902
MGH53_P4_F04	NA	black	0	0	0
MGH36_P3_D10	NA	black	0	0	0.25096
MGH54_P2_F04	NA	black	0	0	0
MGH36_P6_A03	NA	black	0	0	0.084064
MGH53_P1_F07	NA	black	0	0	0.067639
MGH36_P5_H08	NA	black	0	0	0
MGH54_P2_A04	NA	black	0	0	2.8135
MGH53_P4_E11	NA	black	0	0	0.053806
MGH53_P2_G03	NA	black	0	0	0
MGH36_P3_F04	-1.00901961561	red	1	2.7691	0.17505
MGH54_P2_B02	NA	black	0	0	0.28688
MGH36_P5_C07	NA	black	0	0	0.074505
MGH53_P2_E02	0.206942738521	green3	2	0.86315	0.045443
MGH54_P2_F09	NA	black	0	0	0.045443
MGH36_P3_D05	NA	black	0	0	0.12961
MGH36_P5_F12	0.769638372523	green3	2	0.055196	0.029983
MGH53_P2_H09	NA	black	0	0	0.13881
MGH54_P2_F07	NA	black	0	0	0.051024
MGH36_P5_D10	NA	black	0	0	0.0229
MGH54_P2_F11	NA	black	0	0	0.038436
MGH53_P2_H04	NA	black	0	0	0
MGH36_P6_F09	NA	black	0	0	1.6452
MGH36_P9_F05	NA	black	0	0	0.98477
MGH36_P8_G11	NA	black	0	0	0.7031
MGH54_P2_A07	NA	black	0	0	0.051024
MGH36_P7_H06	NA	black	0	0	3.0454
MGH53_P1_A01	NA	black	0	0	0.051024
MGH53_P1_A02	NA	black	0	0	0
MGH54_P2_E07	-1.15108128703	red	1	2.7583	0.04684
MGH53_P4_F07	NA	black	0	0	0
MGH53_P2_C05	NA	black	0	0	3.8717
MGH53_P4_H07	NA	black	0	0	0.15963
MGH53_P2_C06	NA	black	0	3.5611	0
MGH36_P3_F03	NA	black	0	0	0.123
MGH36_P2_A10	0.774705503468	green3	2	0.051024	0.027154
MGH53_P4_E03	NA	black	0	0	1.9605
MGH36_P9_D12	NA	black	0	0	0
MGH54_P2_H03	NA	black	0	0	0.03984
MGH36_P4_D06	NA	black	0	0	0.045443
MGH53_P2_B03	0.112221521338	green3	2	0.50284	0.77146
MGH53_P4_F03	NA	black	0	0	0
MGH36_P10_E09	NA	black	0	0	0
MGH53_P1_G02	NA	black	0	0	0.066261
MGH54_P2_A02	NA	black	0	0	0.15316
MGH36_P3_A07	NA	black	0	0	0.049631
MGH53_P4_E12	NA	black	0	0	0.03984
MGH54_P2_A03	NA	black	0	0	0
MGH53_P4_E10	NA	black	0	0	2.5649
MGH54_P2_D08	NA	black	0	2.8078	0
MGH36_P8_A02	NA	black	0	0	0
MGH54_P2_B07	NA	black	0	3.4465	0
MGH53_P1_B10	NA	black	0	0	0.1177
MGH53_P2_F08	NA	black	0	0	3.1117
MGH36_P10_A01	NA	black	0	0	2.338
MGH36_P10_F01	NA	black	0	0	0.74416
MGH53_P4_G03	NA	black	0	0	2.5957
MGH53_P1_F12	-0.720302587729	green3	2	2.3176	0.17377
MGH36_P4_B03	NA	black	0	0	0.079975
MGH54_P2_C07	NA	black	0	0	0
MGH53_P1_B02	NA	black	0	0	2.8793
MGH54_P2_D05	NA	black	0	0	3.011
MGH53_P2_C08	NA	black	0	2.9338	0
MGH53_P4_H09	NA	black	0	0	0.055196
MGH36_P8_H02	NA	black	0	0.77653	0
MGH36_P10_H10	NA	black	0	0	0
MGH53_P1_A12	NA	black	0	0	2.4636
MGH36_P8_F08	NA	black	0	0	2.009
MGH53_P1_D10	NA	black	0	0.18142	0
MGH53_P4_A09	NA	black	0	0	0
MGH53_P2_H08	NA	black	0	0	0.22157
MGH36_P4_A09	0.242025505371	green3	2	0.77484	0.14274
MGH53_P4_C08	NA	black	0	0	0.048236
MGH36_P5_E04	0.718848777299	green3	2	0.090853	0.064883
MGH53_P2_A07	NA	black	0	0	0.13093
MGH54_P2_G10	0.11395432418	green3	2	0.073135	0.852
MGH36_P7_E06	NA	black	0	0	1.8639
MGH36_P9_D04	NA	black	0	0	0
MGH53_P1_C12	NA	black	0	0	0.10969
MGH36_P8_F06	NA	black	0	0	0
MGH36_P1_G11	NA	black	0	0	0
MGH53_P1_F02	NA	black	0	0	0
MGH54_P2_D10	NA	black	0	0	0
MGH36_P9_A08	NA	black	0	0	2.8858
MGH53_P2_H03	NA	black	0	0	0.035624
MGH53_P4_B03	NA	black	0	0	0.15963
MGH53_P1_F10	0.669781185748	green3	2	2.0925	2.0656
MGH53_P4_B05	NA	black	0	0	0.066261
MGH53_P2_B08	NA	black	0	0	0.062122
MGH36_P3_B06	-0.296841050165	green3	2	1.6206	0.12961
MGH36_P10_C02	NA	black	0	0	0
MGH36_P2_E05	-1.47831572488	red	1	3.2576	0.075875
MGH54_P2_G09	NA	black	0	0	1.5869
MGH54_P2_D12	0.751984698099	green3	2	0.073135	0.037031
MGH53_P2_H02	NA	black	0	0	0.1177
MGH36_P8_F11	NA	black	0	0	0.085425
MGH53_P2_A10	NA	black	0	0	0.13881
MGH54_P2_E09	NA	black	0	0.51096	0
MGH36_P3_H06	NA	black	0	0	0
MGH36_P5_D05	NA	black	0	0	0.71809
MGH54_P2_A11	NA	black	0	0	2.0807
MGH54_P2_G04	NA	black	0	0	0.062122
MGH36_P6_C01	NA	black	0	0	0.27381
MGH53_P2_E06	0.493114297169	green3	2	1.5592	2.9828
MGH53_P1_E01	NA	black	0	0	0.62012
MGH36_P1_B01	NA	black	0	0	0.12961
MGH54_P2_H04	0.275265978283	green3	2	0.2461	0.58592
MGH36_P2_C05	0.721982938842	green3	2	0.048236	0.096262
MGH36_P6_H05	NA	black	0	0	0
MGH36_P10_E06	NA	black	0	0	0.045443
MGH54_P2_F03	NA	black	0	0	0.090853
MGH36_P4_B10	NA	black	0	0	0.051024
MGH54_P2_F02	NA	black	0	0	0.13093
MGH36_P2_E11	0.702378080341	green3	2	0.067639	0.10568
MGH54_P2_D11	-0.286500113804	green3	2	1.5661	0.04684
MGH54_P2_G01	NA	black	0	0	0
MGH36_P9_D02	NA	black	0	0	1.7866
MGH54_P2_E06	NA	black	0	1.5028	0
MGH54_P16_F12	NA	black	0	0	0
MGH53_P5_C12	NA	black	0	0	0
MGH54_P12_C10	NA	black	0	0	0.3774
MGH54_P16_F02	NA	black	0	0	2.4688
MGH54_P11_C11	NA	black	0	0	2.0111
MGH53_P1_E03	NA	black	0	0	1.7194
MGH54_P15_D06	NA	black	0	0	0
MGH54_P14_F05	NA	black	0	0.19661	0
MGH54_P16_A03	NA	black	0	2.7	0
MGH53_P4_G11	0.787102920846	green3	2	0.014355	0.042644
MGH53_P7_B09	NA	black	0	0	0
MGH54_P17_D11	NA	black	0	0	0.079975
MGH54_P10_G04	-0.796083384435	green3	2	2.3159	0.082703
MGH54_P10_C06	NA	black	0	0	0
MGH53_P2_A02	NA	black	0	0	0
MGH53_P4_F06	NA	black	0	0	0.15704
MGH53_P7_F07	NA	black	0	0	0
MGH53_P11_F06	NA	black	0	0	0.16221
MGH53_P5_G02	NA	black	0	0	0
MGH53_P1_F09	NA	black	0	0	0.11503
MGH53_P11_H03	NA	black	0	0	0
MGH53_P10_D11	NA	black	0	0	0
MGH53_P1_A10	NA	black	0	0	0
MGH53_P4_B12	NA	black	0	0	0
MGH53_P5_H09	NA	black	0	0	0
MGH53_P9_D07	NA	black	0	0	2.4257
MGH53_P11_E03	NA	black	0	0	3.7462
MGH53_P1_C02	NA	black	0	0	0.17632
MGH53_P10_F11	NA	black	0	0	3.0291
MGH53_P1_E02	0.326109692281	green3	2	0.51904	0.30451
MGH53_P1_D07	NA	black	0	0	2.2497
MGH53_P6_B01	-1.52556661445	red	1	0.2302	3.1522
MGH53_P2_G04	NA	black	0	0	0.11237
MGH53_P1_C05	-0.895659390546	red	1	2.7135	0.24367
MGH53_P2_G09	NA	black	0	0	2.9243
MGH53_P5_A05	NA	black	0	0	0.18523
MGH53_P5_F04	NA	black	0	0	0
MGH53_P10_H03	NA	black	0	0	0.08134
MGH53_P11_F08	NA	black	0	0.13619	0
MGH54_P7_F12	NA	black	0	0	0.069015
MGH53_P8_F03	NA	black	0	0	1.8516
MGH53_P11_A07	NA	black	0	0	1.2339
MGH53_P6_B11	NA	black	0	0	0
MGH53_P4_C07	NA	black	0	0	3.8428
MGH53_P6_H06	NA	black	0	0	0
MGH36_P1_A01	0.184772047621	green3	2	0.14143	0.74846
MGH36_P1_A02	NA	black	0	0	0.049631
MGH36_P1_A03	NA	black	0	0	2.1683
MGH36_P1_A04	NA	black	0	0	2.4284
MGH36_P1_A05	0.722152709911	green3	2	0.074505	0.074505
MGH36_P1_A06	NA	black	0	0	0
MGH36_P1_A08	NA	black	0	0	0
MGH36_P1_A10	NA	black	0	0.41143	0
MGH36_P1_A12	-0.430093711988	green3	2	0.45628	1.8131
MGH36_P1_B02	NA	black	0	0	0
MGH36_P1_B03	NA	black	0	0	0
MGH36_P1_B04	NA	black	0	0	0.12035
MGH36_P1_B06	NA	black	0	0	1.8572
MGH36_P1_B07	NA	black	0	0	0
MGH36_P1_B08	NA	black	0	0	0.015783
MGH36_P1_B09	NA	black	0	0	1.9233
MGH36_P1_B10	0.0495293769683	green3	2	1.0895	0.041243
MGH36_P1_B11	NA	black	0	0	0
MGH36_P1_B12	-0.903388460956	red	1	0.15575	2.1985
MGH36_P1_C01	NA	black	0	0	0
MGH36_P1_C03	NA	black	0	0	1.9986
MGH36_P1_C05	NA	black	0	0	0
MGH36_P1_C06	NA	black	0	0	1.9855
MGH36_P1_C07	NA	black	0	0.041243	0
MGH36_P1_C08	NA	black	0	0	0.11103
MGH36_P1_C09	NA	black	0	0	1.4027
MGH36_P1_C10	NA	black	0	0	0.03984
MGH36_P1_C11	NA	black	0	0	2.669
MGH36_P1_D01	NA	black	0	0	2.2624
MGH36_P1_D02	-0.0626003521211	green3	2	1.3329	0.49467
MGH36_P1_D03	NA	black	0	0	0
MGH36_P1_D04	NA	black	0	0	1.2327
MGH36_P1_D06	NA	black	0	0	0.05797
MGH36_P1_D07	NA	black	0	0	0.22897
MGH36_P1_D08	NA	black	0	0	0.052416
MGH36_P1_D09	-1.23925039066	red	1	2.8869	0.052416
MGH36_P1_D11	NA	black	0	0	1.9305
MGH36_P1_F01	NA	black	0	0	2.8482
MGH36_P1_F02	NA	black	0	0	1.8111
MGH36_P1_F03	NA	black	0	0	2.4335
MGH36_P1_F04	NA	black	0	0	0
MGH36_P1_F05	NA	black	0	0	2.8468
MGH36_P1_F06	NA	black	0	0	0.20038
MGH36_P1_F08	NA	black	0	0	2.8912
MGH36_P1_F11	NA	black	0	0	3.1718
MGH36_P1_F12	NA	black	0	0	0
MGH36_P1_G02	NA	black	0	0	0
MGH36_P1_G03	NA	black	0	0	0
MGH36_P1_G04	NA	black	0	0	1.224
MGH36_P1_G07	NA	black	0	0	0
MGH36_P1_G08	NA	black	0	0	0.15704
MGH36_P1_G09	NA	black	0	0	0.017209
MGH36_P1_H02	NA	black	0	0	0.38957
MGH36_P1_H03	-0.0708645599276	green3	2	1.2624	0.05797
MGH36_P1_H04	NA	black	0	0	1.4212
MGH36_P1_H05	NA	black	0	0	0.0028825
MGH36_P1_H06	NA	black	0	0	0.069015
MGH36_P1_H07	NA	black	0	0	0.23143
MGH36_P1_H09	NA	black	0	0	0
MGH36_P1_H10	NA	black	0	0	2.8225
MGH36_P3_A01	NA	black	0	0	0
MGH36_P3_A02	2.09599266854	blue	3	3.4746	2.3389
MGH36_P3_A03	NA	black	0	0	2.0233
MGH36_P3_A04	NA	black	0	0	0.069015
MGH36_P3_A05	NA	black	0	0	0.063503
MGH36_P3_A08	NA	black	0	0	0
MGH36_P3_A09	NA	black	0	0	0
MGH36_P3_A10	NA	black	0	0	0.18015
MGH36_P3_A12	NA	black	0	0	0
MGH36_P3_B02	NA	black	0	0	0
MGH36_P3_B03	NA	black	0	0	0.1003
MGH36_P3_B04	NA	black	0	0	0.082703
MGH36_P3_B09	NA	black	0	0	2.33
MGH36_P3_B10	NA	black	0	0	0
MGH36_P3_B11	NA	black	0	0	0.049631
MGH36_P3_B12	NA	black	0	0	0.08134
MGH36_P3_C01	NA	black	0	0	0
MGH36_P3_C03	NA	black	0	0	0.059355
MGH36_P3_C04	0.0387466711745	green3	2	1.101	0.12697
MGH36_P3_C05	NA	black	0	0	2.5797
MGH36_P3_C06	NA	black	0	0	0.11503
MGH36_P3_C08	NA	black	0	0	0.079975
MGH36_P3_C11	0.353413270922	green3	2	0.56365	0.18777
MGH36_P3_C12	NA	black	0	0	0
MGH36_P3_D01	NA	black	0	0	2.9023
MGH36_P3_D02	NA	black	0	0	0
MGH36_P3_D03	0.501423161209	green3	2	0.27739	0.21537
MGH36_P3_D04	NA	black	0	0	0.12961
MGH36_P3_D07	-0.237260872137	green3	2	1.5013	0.059355
MGH36_P3_D08	-2.1028402965	red	1	0.15575	3.737
MGH36_P3_D09	NA	black	0	0	0
MGH36_P3_D11	NA	black	0	0	0
MGH36_P3_E02	NA	black	0	0	1.3505
MGH36_P3_E04	0.734523311219	green3	2	0.089498	0.045443
MGH36_P3_E05	NA	black	0	0	0.27381
MGH36_P3_E06	NA	black	0	0	0.074505
MGH36_P3_E07	NA	black	0	0	0.32308
MGH36_P3_E08	NA	black	0	0	0
MGH36_P3_E09	NA	black	0	0	1.8856
MGH36_P3_E10	NA	black	0	0	2.8143
MGH36_P3_E11	NA	black	0	0	0
MGH36_P3_E12	-0.0546633906926	green3	2	1.2528	0.18142
MGH36_P3_F01	NA	black	0	0	0
MGH36_P3_F02	NA	black	0	0	0.12433
MGH36_P3_F05	NA	black	0	0	0
MGH36_P3_F06	NA	black	0	0	0.097611
MGH36_P3_F07	NA	black	0	0	0
MGH36_P3_F08	NA	black	0	0	0
MGH36_P3_F09	NA	black	0	0	0.18903
MGH36_P3_F10	NA	black	0	0	0.48336
MGH36_P3_F11	NA	black	0	0	0.22404
MGH36_P3_F12	NA	black	0	0	0.33342
MGH36_P3_G01	NA	black	0	0	0
MGH36_P3_G02	NA	black	0	0.15316	0
MGH36_P3_G03	NA	black	0	0	0.1003
MGH36_P3_G04	NA	black	0	0	0.03984
MGH36_P3_G05	NA	black	0	0	0.045443
MGH36_P3_G06	NA	black	0	0	0.6248
MGH36_P3_G08	NA	black	0	0	0.067639
MGH36_P3_G09	NA	black	0	0	0.084064
MGH36_P3_G10	NA	black	0	0	0
MGH36_P3_G11	NA	black	0	0	0
MGH36_P3_G12	NA	black	0	1.7655	0
MGH36_P3_H03	NA	black	0	0	0.70929
MGH36_P3_H04	NA	black	0	0	0.041243
MGH36_P3_H05	NA	black	0	0	0
MGH36_P3_H07	NA	black	0	0	0.91609
MGH36_P3_H08	-1.5629044102	red	1	3.3706	0.074505
MGH36_P3_H11	NA	black	0	0	3.6527
MGH36_P3_H12	-2.07370408573	red	1	0.16864	3.7324
MGH36_P4_A01	NA	black	0	0	0
MGH36_P4_A02	NA	black	0	0	0
MGH36_P4_A03	NA	black	0	0	0.074505
MGH36_P4_A04	NA	black	0	0	2.2621
MGH36_P4_A06	NA	black	0	0	0
MGH36_P4_A07	NA	black	0	0	2.1057
MGH36_P4_A08	NA	black	0	0	0
MGH36_P4_A11	NA	black	0	0	0.096262
MGH36_P4_A12	NA	black	0	0	0.062122
MGH36_P4_B02	NA	black	0	0	0
MGH36_P4_B04	-0.421224981067	green3	2	1.8242	0.14796
MGH36_P4_B05	NA	black	0	1.512	0
MGH36_P4_B06	NA	black	0	0	0.1635
MGH36_P4_B08	NA	black	0	0	2.9745
MGH36_P4_B09	NA	black	0	0	2.7729
MGH36_P4_B12	NA	black	0	0	0
MGH36_P4_C02	NA	black	0	0	0.053806
MGH36_P4_C03	NA	black	0	0	2.4552
MGH36_P4_C04	NA	black	0	0	0
MGH36_P4_C05	NA	black	0	0	1.4641
MGH36_P4_C06	NA	black	0	0	0.10568
MGH36_P4_C07	NA	black	0	0	0.14535
MGH36_P4_C08	NA	black	0	0	0.053806
MGH36_P4_C10	NA	black	0	0	0
MGH36_P4_C11	NA	black	0	0	0
MGH36_P4_C12	NA	black	0	0	2.9657
MGH36_P4_D01	NA	black	0	0	0.21909
MGH36_P4_D02	NA	black	0	0	0.07861
MGH36_P4_D05	NA	black	0	0	0.13225
MGH36_P4_D07	NA	black	0	0	0.17632
MGH36_P4_D08	NA	black	0	0	0.053806
MGH36_P4_D09	-1.74005006558	red	1	3.5826	0.062122
MGH36_P4_D10	NA	black	0	0	0.23511
MGH36_P4_D11	0.709859237391	green3	2	0.11237	0.05797
MGH36_P4_D12	NA	black	0	0	0.74674
MGH36_P4_E01	0.0205248081806	green3	2	0.097611	0.96938
MGH36_P4_E02	NA	black	0	0	0.052416
MGH36_P4_E04	NA	black	0	0	0
MGH36_P4_E06	NA	black	0	0	2.8963
MGH36_P4_E07	NA	black	0	0	0.15445
MGH36_P4_E08	NA	black	0	0	0
MGH36_P4_E09	NA	black	0	0	0.12168
MGH36_P4_E10	NA	black	0	0	0
MGH36_P4_E11	NA	black	0	0	0.23511
MGH36_P4_E12	NA	black	0	0	0.20914
MGH36_P4_F01	NA	black	0	0	0
MGH36_P4_F02	NA	black	0	0	0.15963
MGH36_P4_F03	NA	black	0	0	0.11103
MGH36_P4_F04	NA	black	0	0	0.063503
MGH36_P4_F05	NA	black	0	0	0.05797
MGH36_P4_F06	NA	black	0	0	0.15834
MGH36_P4_F07	0.681340726221	green3	2	0.13881	0.073135
MGH36_P4_F09	NA	black	0	0	0
MGH36_P4_F10	NA	black	0	0	0
MGH36_P4_F11	NA	black	0	0	0.064883
MGH36_P4_F12	-1.88214133738	red	1	3.7627	0.05797
MGH36_P4_G01	NA	black	0	0	0.60692
MGH36_P4_G02	NA	black	0	0	0.24853
MGH36_P4_G03	NA	black	0	4.8325	0
MGH36_P4_G04	NA	black	0	0	2.6859
MGH36_P4_G05	NA	black	0	0	0.18015
MGH36_P4_G06	NA	black	0	0	3.3515
MGH36_P4_G08	NA	black	0	0	0.19535
MGH36_P4_G09	NA	black	0	0	0
MGH36_P4_G10	NA	black	0	0	0.056584
MGH36_P4_G11	NA	black	0	0	0
MGH36_P4_H01	NA	black	0	0	0
MGH36_P4_H02	NA	black	0	0	0.12433
MGH36_P4_H03	NA	black	0	0	0.22527
MGH36_P4_H04	-0.999724799981	red	1	2.5782	0.064883
MGH36_P4_H05	NA	black	0	0	0
MGH36_P4_H09	NA	black	0	0	0
MGH36_P4_H12	-2.38967511791	black	0	4.4689	0.069015
MGH36_P6_A02	NA	black	0	0	0
MGH36_P6_A04	NA	black	0	0	2.801
MGH36_P6_A05	NA	black	0	0	0.071763
MGH36_P6_A07	NA	black	0	0	0.074505
MGH36_P6_A08	NA	black	0	0	2.1253
MGH36_P6_A09	NA	black	0	0	0
MGH36_P6_A10	NA	black	0	0	0.042644
MGH36_P6_A11	NA	black	0	0	0
MGH36_P6_B03	NA	black	0	0	0.10299
MGH36_P6_B04	NA	black	0	0	0.077243
MGH36_P6_B05	NA	black	0	0	1.8193
MGH36_P6_B06	-0.204319113113	green3	2	1.4605	0.07861
MGH36_P6_B10	NA	black	0	0	0.10568
MGH36_P6_B11	NA	black	0	0	0.042644
MGH36_P6_B12	NA	black	0	0	0.08134
MGH36_P6_C02	NA	black	0	0	0
MGH36_P6_C03	NA	black	0	0	0
MGH36_P6_C04	NA	black	0	0	0.049631
MGH36_P6_C05	NA	black	0	0	0.073135
MGH36_P6_C06	NA	black	0	0	0
MGH36_P6_C07	0.260989332712	green3	2	0.78241	0.052416
MGH36_P6_C08	NA	black	0	0	0
MGH36_P6_C09	0.651307502267	green3	2	0.16864	0.088142
MGH36_P6_C11	NA	black	0	0	0.25459
MGH36_P6_C12	NA	black	0	2.4404	0
MGH36_P6_D01	NA	black	0	0	0
MGH36_P6_D02	NA	black	0	0	2.009
MGH36_P6_D03	NA	black	0	0	1.6794
MGH36_P6_D04	NA	black	0	1.1421	0
MGH36_P6_D05	NA	black	0	0	0.25338
MGH36_P6_D06	NA	black	0	0	0.14405
MGH36_P6_D07	NA	black	0	0	0.049631
MGH36_P6_D08	NA	black	0	0	0.50691
MGH36_P6_D10	NA	black	0	0	0
MGH36_P6_D11	NA	black	0	0	0.062122
MGH36_P6_E02	0.565205589578	green3	2	0.2558	0.13488
MGH36_P6_E03	NA	black	0	0	3.8608
MGH36_P6_E04	NA	black	0	0	0.94411
MGH36_P6_E05	NA	black	0	0	0.048236
MGH36_P6_E06	NA	black	0	0	0.04684
MGH36_P6_E07	NA	black	0	0	0
MGH36_P6_E08	NA	black	0	0	0
MGH36_P6_E09	NA	black	0	0	0
MGH36_P6_E10	NA	black	0	0	0
MGH36_P6_E11	NA	black	0	0	0
MGH36_P6_E12	NA	black	0	0	0.12565
MGH36_P6_F01	NA	black	0	0	0.035624
MGH36_P6_F04	NA	black	0	0	0.53506
MGH36_P6_F06	NA	black	0	0	0.037031
MGH36_P6_F07	NA	black	0	0	0
MGH36_P6_F08	0.753359475992	green3	2	0.066261	0.041243
MGH36_P6_F10	0.704640726643	green3	2	0.085425	0.088142
MGH36_P6_F12	NA	black	0	0	0.090853
MGH36_P6_G01	NA	black	0	0	1.8949
MGH36_P6_G02	NA	black	0	0	0
MGH36_P6_G03	NA	black	0	0	0.14926
MGH36_P6_G04	NA	black	0	0	0.089498
MGH36_P6_G05	NA	black	0	0	0
MGH36_P6_G06	NA	black	0	0	0.08134
MGH36_P6_G07	NA	black	0	0	0.048236
MGH36_P6_G08	NA	black	0	0	0.99567
MGH36_P6_G09	NA	black	0	0	0
MGH36_P6_G10	NA	black	0	0	0
MGH36_P6_G11	NA	black	0	0	0
MGH36_P6_G12	NA	black	0	0	0
MGH36_P6_H06	NA	black	0	0	0.17249
MGH36_P6_H07	NA	black	0	0	0.044044
