Cell_name	Zvalue	Color	Cluster	HDAC2	MYC
MGH54_P2_A08	NA	black	0	0.096262	0
MGH36_P4_H07	NA	black	0	0	7.8082
MGH36_P9_D06	NA	black	0	4.1073	0
MGH53_P4_C04	NA	black	0	0.12035	0
MGH53_P1_E10	NA	black	0	0.41251	0
MGH53_P2_E09	NA	black	0	4.5139	0
MGH36_P3_C10	NA	black	0	0	0
MGH53_P2_F01	NA	black	0	0	0
MGH53_P4_H05	NA	black	0	4.811	0
MGH53_P4_G10	-0.906618454628	green3	2	0.23756	4.48
MGH54_P2_D07	NA	black	0	0.25822	0
MGH53_P2_D09	NA	black	0	3.7256	0
MGH53_P1_D09	2.40457133369	black	0	0.15575	0.71633
MGH54_P2_B08	NA	black	0	0.097611	0
MGH54_P2_G05	NA	black	0	3.0902	0
MGH53_P2_F06	NA	black	0	0.36177	0
MGH36_P3_E01	NA	black	0	0.19535	0
MGH36_P5_E12	NA	black	0	0.12433	0
MGH53_P4_A12	NA	black	0	0.38073	0
MGH36_P9_F01	NA	black	0	4.1458	0
MGH36_P3_H10	NA	black	0	0.08134	0
MGH36_P3_H02	NA	black	0	0.2916	0
MGH36_P5_C10	NA	black	0	4.7786	0
MGH54_P2_B05	-0.0566094465932	green3	2	2.4683	4.5024
MGH36_P2_F09	-2.51995099412	black	0	0.29514	6.3924
MGH53_P4_A05	NA	black	0	0.18396	0
MGH54_P2_H10	NA	black	0	0.029983	0
MGH53_P4_E06	NA	black	0	0.46676	0
MGH53_P4_D12	NA	black	0	0	0
MGH54_P2_H07	NA	black	0	0.084064	0
MGH53_P2_E03	-0.751168822244	green3	2	0.52306	4.4218
MGH53_P1_A05	0.693290503085	green3	2	0.049631	2.6886
MGH36_P7_D12	NA	black	0	2.9731	0
MGH53_P4_H03	NA	black	0	0	0
MGH53_P2_E05	NA	black	0	0	0.67987
MGH36_P4_H11	NA	black	0	5.2191	0
MGH53_P1_B01	0.127090040261	green3	2	0.1003	3.2951
MGH54_P2_G03	NA	black	0	3.3294	0
MGH53_P2_F12	NA	black	0	2.6542	0
MGH36_P4_C09	NA	black	0	0.30918	0
MGH36_P5_C08	NA	black	0	0.29396	0
MGH36_P4_H06	-1.29505953931	green3	2	0.34596	4.9968
MGH36_P10_E01	NA	black	0	0	0
MGH36_P8_E12	-0.0837903649377	green3	2	3.0784	2.9811
MGH53_P2_C10	NA	black	0	0.075875	0
MGH36_P4_H08	NA	black	0	0.29748	0
MGH36_P7_F07	-0.437192218005	green3	2	0.12565	3.9164
MGH54_P2_A09	-1.04916775368	green3	2	0.19535	4.6222
MGH36_P6_H11	2.3650237981	black	0	0.11503	0.80571
MGH53_P2_E12	NA	black	0	0.27381	0
MGH53_P1_F08	NA	black	0	0.16993	0
MGH36_P6_D12	0.505291195627	green3	2	0.19283	2.8602
MGH36_P2_H09	-1.04303303144	green3	2	0.14796	4.5923
MGH53_P1_C01	NA	black	0	0.15575	0
MGH53_P2_F11	NA	black	0	0	0
MGH36_P6_H04	NA	black	0	0.16736	0
MGH36_P5_G05	-3.08573041416	black	0	0.16221	6.8561
MGH53_P4_B04	NA	black	0	0.10568	0
MGH53_P1_E05	NA	black	0	0.76977	0
MGH36_P10_A08	NA	black	0	0	4.3832
MGH36_P9_G01	NA	black	0	3.2461	0
MGH53_P4_A06	-1.37466751425	green3	2	0.49262	5.2067
MGH36_P6_B09	NA	black	0	0	4.6174
MGH54_P2_D09	1.82576194016	blue	3	0.9381	0.39177
MGH53_P1_E06	NA	black	0	0	0
MGH36_P4_A10	NA	black	0	3.6803	0
MGH36_P6_B02	NA	black	0	0.27501	0
MGH53_P4_G06	NA	black	0	4.2893	0
MGH36_P8_F01	NA	black	0	0	0
MGH36_P9_F06	-2.12965455956	black	0	0.16221	5.8031
MGH36_P5_H04	NA	black	0	0.34028	0
MGH53_P1_B03	NA	black	0	0	0
MGH53_P2_D05	NA	black	0	0	3.3883
MGH36_P4_G12	0.476693780754	green3	2	4.0189	4.4036
MGH53_P2_D11	NA	black	0	3.4849	0
MGH53_P4_C02	NA	black	0	0	0
MGH53_P4_F04	-0.31959228245	green3	2	0.12565	3.7869
MGH36_P3_D10	NA	black	0	3.9039	0
MGH54_P2_F04	NA	black	0	0	0
MGH36_P6_A03	NA	black	0	0	0
MGH53_P1_F07	NA	black	0	0.36065	0
MGH36_P5_H08	2.96138816543	black	0	0.055196	0.21164
MGH54_P2_A04	0.299435861813	green3	2	3.6625	4.2519
MGH53_P4_E11	-0.760396739944	green3	2	0.07861	4.2558
MGH53_P2_G03	NA	black	0	3.5021	0
MGH36_P3_F04	-1.37743002994	green3	2	0.1865	4.986
MGH54_P2_B02	1.60285953721	blue	3	3.9661	6.781
MGH36_P5_C07	NA	black	0	0.14274	0
MGH53_P2_E02	NA	black	0	4.2287	0
MGH54_P2_F09	NA	black	0	0.07861	0
MGH36_P3_D05	NA	black	0	0.26424	0
MGH36_P5_F12	NA	black	0	0.14274	0
MGH53_P2_H09	NA	black	0	0.090853	0
MGH54_P2_F07	NA	black	0	0	0
MGH36_P5_D10	NA	black	0	0.26183	0
MGH54_P2_F11	NA	black	0	0.24975	0
MGH53_P2_H04	NA	black	0	0.18523	0
MGH36_P6_F09	NA	black	0	0.21039	0
MGH36_P9_F05	NA	black	0	0	0
MGH36_P8_G11	NA	black	0	0	0
MGH54_P2_A07	NA	black	0	1.8734	0
MGH36_P7_H06	-0.282016712112	green3	2	0.15575	3.7496
MGH53_P1_A01	NA	black	0	3.6727	0
MGH53_P1_A02	0.00600420830239	green3	2	0.31962	3.4291
MGH54_P2_E07	-0.0101910356983	green3	2	2.5753	4.1835
MGH53_P4_F07	NA	black	0	0	0
MGH53_P2_C05	NA	black	0	0	0
MGH53_P4_H07	NA	black	0	0.15834	0
MGH53_P2_C06	-2.63302600817	black	0	0.10969	6.2974
MGH36_P3_F03	NA	black	0	0.18523	0
MGH36_P2_A10	NA	black	0	0.31615	0
MGH53_P4_E03	NA	black	0	0	4.1208
MGH36_P9_D12	NA	black	0	0	4.2324
MGH54_P2_H03	NA	black	0	0	0
MGH36_P4_D06	-1.0833568267	green3	2	0.17505	4.6504
MGH53_P2_B03	NA	black	0	0.059355	0
MGH53_P4_F03	NA	black	0	0	0
MGH36_P10_E09	NA	black	0	0	5.0261
MGH53_P1_G02	NA	black	0	0.19283	0
MGH54_P2_A02	NA	black	0	0.41468	0
MGH36_P3_A07	NA	black	0	0.073135	0
MGH53_P4_E12	NA	black	0	0	0
MGH54_P2_A03	0.322231461834	green3	2	3.8506	4.1849
MGH53_P4_E10	NA	black	0	0	3.9868
MGH54_P2_D08	NA	black	0	0.092207	0
MGH36_P8_A02	NA	black	0	1.7084	0
MGH54_P2_B07	NA	black	0	0.23266	0
MGH53_P1_B10	-1.47458532078	red	1	0.123	5.0523
MGH53_P2_F08	NA	black	0	0	0
MGH36_P10_A01	NA	black	0	0	0
MGH36_P10_F01	NA	black	0	0.09356	0
MGH53_P4_G03	NA	black	0	0.26903	0
MGH53_P1_F12	NA	black	0	3.9527	0
MGH36_P4_B03	NA	black	0	0.12961	0
MGH54_P2_C07	NA	black	0	0	0
MGH53_P1_B02	0.280663133263	green3	2	3.7104	4.1708
MGH54_P2_D05	NA	black	0	0.096262	0
MGH53_P2_C08	NA	black	0	3.9926	0
MGH53_P4_H09	-0.89320620958	green3	2	3.451	0.64985
MGH36_P8_H02	NA	black	0	3.8735	0
MGH36_P10_H10	NA	black	0	0.21164	0
MGH53_P1_A12	NA	black	0	0	5.2953
MGH36_P8_F08	NA	black	0	0.21537	0
MGH53_P1_D10	NA	black	0	0	0
MGH53_P4_A09	NA	black	0	3.2756	0
MGH53_P2_H08	NA	black	0	1.8448	0
MGH36_P4_A09	NA	black	0	0	0.27143
MGH53_P4_C08	NA	black	0	2.5343	0
MGH36_P5_E04	NA	black	0	1.1686	0
MGH53_P2_A07	NA	black	0	0.1903	0
MGH54_P2_G10	NA	black	0	0.10836	0
MGH36_P7_E06	NA	black	0	0	0
MGH36_P9_D04	0.36511354084	green3	2	3.9252	4.2349
MGH53_P1_C12	NA	black	0	0.077243	0
MGH36_P8_F06	0.0432387908959	green3	2	2.9559	3.8051
MGH36_P1_G11	0.118302349279	green3	2	2.8978	4.6186
MGH53_P1_F02	NA	black	0	0.12829	0
MGH54_P2_D10	NA	black	0	0	4.9599
MGH36_P9_A08	NA	black	0	0	0
MGH53_P2_H03	NA	black	0	3.5035	0
MGH53_P4_B03	NA	black	0	0.73205	0
MGH53_P1_F10	NA	black	0	0	3.5125
MGH53_P4_B05	NA	black	0	2.9911	0
MGH53_P2_B08	NA	black	0	0.092207	0
MGH36_P3_B06	NA	black	0	3.466	0
MGH36_P10_C02	NA	black	0	0	2.9732
MGH36_P2_E05	NA	black	0	0.049631	0
MGH54_P2_G09	NA	black	0	3.2288	0
MGH54_P2_D12	NA	black	0	2.2681	0
MGH53_P2_H02	NA	black	0	0.086784	0
MGH36_P8_F11	NA	black	0	0.24367	0
MGH53_P2_A10	-0.0810470390082	green3	2	1.168	3.5988
MGH54_P2_E09	NA	black	0	3.4726	0
MGH36_P3_H06	-1.2588510749	green3	2	0.12829	4.8196
MGH36_P5_D05	2.84919253463	black	0	0.077243	0.30801
MGH54_P2_A11	-0.772088230272	green3	2	0.8953	4.6698
MGH54_P2_G04	NA	black	0	0.33571	0
MGH36_P6_C01	NA	black	0	0.074505	0
MGH53_P2_E06	NA	black	0	0.11503	0
MGH53_P1_E01	NA	black	0	0.070389	0
MGH36_P1_B01	NA	black	0	0.16092	0
MGH54_P2_H04	NA	black	0	0.40272	0
MGH36_P2_C05	NA	black	0	0	0
MGH36_P6_H05	NA	black	0	0.048236	0
MGH36_P10_E06	2.68354784312	black	0	0.069015	0.50182
MGH54_P2_F03	NA	black	0	0.12697	0
MGH36_P4_B10	-2.53240739192	black	0	0.066261	6.1422
MGH54_P2_F02	NA	black	0	0	0
MGH36_P2_E11	NA	black	0	0.10299	0
MGH54_P2_D11	NA	black	0	0	0
MGH54_P2_G01	1.05729950221	green3	2	0.11636	2.2657
MGH36_P9_D02	NA	black	0	0.12565	0
MGH54_P2_E06	NA	black	0	3.3938	0
MGH54_P16_F12	NA	black	0	3.2684	0
MGH53_P5_C12	NA	black	0	0	0
MGH54_P12_C10	NA	black	0	3.6351	0
MGH54_P16_F02	NA	black	0	0	0
MGH54_P11_C11	NA	black	0	2.2317	0
MGH53_P1_E03	NA	black	0	3.2807	0
MGH54_P15_D06	NA	black	0	3.3561	0
MGH54_P14_F05	NA	black	0	0	0
MGH54_P16_A03	NA	black	0	2.0275	0
MGH53_P4_G11	NA	black	0	3.9126	0
MGH53_P7_B09	NA	black	0	0.086784	0
MGH54_P17_D11	NA	black	0	0	0
MGH54_P10_G04	NA	black	0	3.9573	0
MGH54_P10_C06	NA	black	0	0.071763	0
MGH53_P2_A02	NA	black	0	4.1172	0
MGH53_P4_F06	NA	black	0	0.13093	0
MGH53_P7_F07	NA	black	0	4.051	0
MGH53_P11_F06	NA	black	0	0	0
MGH53_P5_G02	NA	black	0	4.2601	0
MGH53_P1_F09	NA	black	0	0.16736	0
MGH53_P11_H03	NA	black	0	0	0
MGH53_P10_D11	NA	black	0	1.4136	0
MGH53_P1_A10	NA	black	0	3.9509	0
MGH53_P4_B12	NA	black	0	0.11103	0
MGH53_P5_H09	NA	black	0	0	0
MGH53_P9_D07	NA	black	0	0	0
MGH53_P11_E03	NA	black	0	4.0109	0
MGH53_P1_C02	NA	black	0	0.24123	0
MGH53_P10_F11	NA	black	0	0.27023	0
MGH53_P1_E02	NA	black	0	3.7755	0
MGH53_P1_D07	NA	black	0	0	0
MGH53_P6_B01	NA	black	0	0.17632	0
MGH53_P2_G04	NA	black	0	0	0
MGH53_P1_C05	NA	black	0	0.35163	0
MGH53_P2_G09	NA	black	0	3.6045	0
MGH53_P5_A05	NA	black	0	5.3135	0
MGH53_P5_F04	NA	black	0	0.42761	0
MGH53_P10_H03	NA	black	0	0	0
MGH53_P11_F08	NA	black	0	4.4619	0
MGH54_P7_F12	NA	black	0	0.27739	0
MGH53_P8_F03	NA	black	0	0	0
MGH53_P11_A07	NA	black	0	0.088142	0
MGH53_P6_B11	NA	black	0	0	0
MGH53_P4_C07	NA	black	0	0.10434	0
MGH53_P6_H06	NA	black	0	0	0
MGH36_P1_A01	NA	black	0	0	3.3125
MGH36_P1_A02	-0.599819151237	green3	2	0.65076	4.2764
MGH36_P1_A03	NA	black	0	0.16607	0
MGH36_P1_A04	NA	black	0	0.18903	0
MGH36_P1_A05	NA	black	0	0	0.15316
MGH36_P1_A06	NA	black	0	4.4035	0
MGH36_P1_A08	-0.850527997017	green3	2	4.1733	1.9989
MGH36_P1_A10	-0.564896608887	green3	2	3.3414	1.4098
MGH36_P1_A12	-0.656800467232	green3	2	0.1776	4.1738
MGH36_P1_B02	NA	black	0	2.2609	0
MGH36_P1_B03	NA	black	0	4.126	0
MGH36_P1_B04	NA	black	0	3.2396	0
MGH36_P1_B06	0.0398993084161	green3	2	2.3262	3.0625
MGH36_P1_B07	NA	black	0	0.052416	0
MGH36_P1_B08	NA	black	0	1.2684	0
MGH36_P1_B09	NA	black	0	0.070389	0
MGH36_P1_B10	0.224146108065	green3	2	2.3716	0.51904
MGH36_P1_B11	NA	black	0	0.092207	0
MGH36_P1_B12	NA	black	0	2.2147	0
MGH36_P1_C01	NA	black	0	0	4.4685
MGH36_P1_C03	2.82543574915	black	0	0.085425	0.32423
MGH36_P1_C05	NA	black	0	2.736	0
MGH36_P1_C06	-0.164190341656	green3	2	3.9898	3.1481
MGH36_P1_C07	-1.03774873817	green3	2	4.0352	1.5059
MGH36_P1_C08	NA	black	0	0.034216	0
MGH36_P1_C09	-0.00257338793984	green3	2	2.8953	3.4374
MGH36_P1_C10	NA	black	0	0.1776	0
MGH36_P1_C11	NA	black	0	0	0
MGH36_P1_D01	NA	black	0	0.19912	0
MGH36_P1_D02	NA	black	0	3.0325	0
MGH36_P1_D03	-1.14419166774	green3	2	3.7338	0.74502
MGH36_P1_D04	NA	black	0	2.7689	0
MGH36_P1_D06	NA	black	0	3.8361	0
MGH36_P1_D07	NA	black	0	0.086784	0
MGH36_P1_D08	NA	black	0	0.11237	0
MGH36_P1_D09	NA	black	0	0	0
MGH36_P1_D11	NA	black	0	0	0
MGH36_P1_F01	NA	black	0	0.062122	0
MGH36_P1_F02	NA	black	0	3.8415	0
MGH36_P1_F03	NA	black	0	0.90689	0
MGH36_P1_F04	NA	black	0	0	0.069015
MGH36_P1_F05	NA	black	0	3.1237	0
MGH36_P1_F06	NA	black	0	0.28924	0
MGH36_P1_F08	1.72833081831	blue	3	1.0621	0.31846
MGH36_P1_F11	NA	black	0	1.7242	0
MGH36_P1_F12	NA	black	0	0.11636	0
MGH36_P1_G02	NA	black	0	3.0858	0
MGH36_P1_G03	0.032858776663	green3	2	2.5502	0.45628
MGH36_P1_G04	-0.360058369678	green3	2	3.0295	1.2327
MGH36_P1_G07	0.0194314294778	green3	2	2.6613	4.7021
MGH36_P1_G08	-1.01221044641	green3	2	0.02432	4.5037
MGH36_P1_G09	0.831733018543	green3	2	0.048236	2.5398
MGH36_P1_H02	-3.36972557338	black	0	0.038436	6.991
MGH36_P1_H03	NA	black	0	0	0
MGH36_P1_H04	2.6936831042	black	0	0.045443	0.51803
MGH36_P1_H05	NA	black	0	0.085425	0
MGH36_P1_H06	NA	black	0	0	0
MGH36_P1_H07	NA	black	0	3.6212	0
MGH36_P1_H09	NA	black	0	5.2181	0
MGH36_P1_H10	NA	black	0	3.7006	0
MGH36_P3_A01	NA	black	0	0.19409	0
MGH36_P3_A02	NA	black	0	0.26424	0
MGH36_P3_A03	-0.918581825875	green3	2	0.68527	4.7417
MGH36_P3_A04	NA	black	0	0.21537	0
MGH36_P3_A05	NA	black	0	0.09356	0
MGH36_P3_A08	NA	black	0	3.121	0
MGH36_P3_A09	NA	black	0	0	0
MGH36_P3_A10	NA	black	0	0.1776	0
MGH36_P3_A12	NA	black	0	3.5321	0
MGH36_P3_B02	NA	black	0	0	0
MGH36_P3_B03	NA	black	0	0	0
MGH36_P3_B04	NA	black	0	0.12168	0
MGH36_P3_B09	-1.01629616636	green3	2	0.079975	4.532
MGH36_P3_B10	NA	black	0	0	0
MGH36_P3_B11	NA	black	0	0.094912	0
MGH36_P3_B12	-0.401598599108	green3	2	3.3693	2.0468
MGH36_P3_C01	NA	black	0	0.44255	0
MGH36_P3_C03	-0.108397279197	green3	2	3.539	3.1506
MGH36_P3_C04	NA	black	0	2.5236	0
MGH36_P3_C05	-3.7815283932	black	0	0.14274	7.587
MGH36_P3_C06	-0.366514770258	green3	2	2.9839	0.94711
MGH36_P3_C08	NA	black	0	2.0721	0
MGH36_P3_C11	NA	black	0	0	0
MGH36_P3_C12	NA	black	0	0.26303	0
MGH36_P3_D01	NA	black	0	0.18523	0
MGH36_P3_D02	NA	black	0	0	0
MGH36_P3_D03	NA	black	0	5.4091	0
MGH36_P3_D04	NA	black	0	0.61636	0
MGH36_P3_D07	NA	black	0	0	0
MGH36_P3_D08	NA	black	0	2.5717	0
MGH36_P3_D09	NA	black	0	0	4.9193
MGH36_P3_D11	NA	black	0	0	6.0732
MGH36_P3_E02	NA	black	0	0	0
MGH36_P3_E04	NA	black	0	4.6548	0
MGH36_P3_E05	-1.00284868025	green3	2	3.5333	0.58015
MGH36_P3_E06	NA	black	0	0	0.53406
MGH36_P3_E07	NA	black	0	4.7388	0
MGH36_P3_E08	NA	black	0	0	0.85838
MGH36_P3_E09	0.760891829919	green3	2	0.082703	2.6053
MGH36_P3_E10	-0.359863331462	green3	2	0.2461	3.8526
MGH36_P3_E11	NA	black	0	0	0
MGH36_P3_E12	NA	black	0	0.11636	0
MGH36_P3_F01	-1.21137565186	green3	2	0.10165	4.7533
MGH36_P3_F02	NA	black	0	0	0
MGH36_P3_F05	NA	black	0	4.6718	0
MGH36_P3_F06	NA	black	0	4.3525	0
MGH36_P3_F07	NA	black	0	4.0372	0
MGH36_P3_F08	NA	black	0	0.22651	0
MGH36_P3_F09	NA	black	0	0	0
MGH36_P3_F10	-1.16363764664	green3	2	0.075875	4.6885
MGH36_P3_F11	NA	black	0	3.0204	0
MGH36_P3_F12	NA	black	0	0	0
MGH36_P3_G01	NA	black	0	0.13488	0
MGH36_P3_G02	-2.87162176565	black	0	0.11636	6.5629
MGH36_P3_G03	1.92815241687	black	0	0.22897	1.1928
MGH36_P3_G04	NA	black	0	0.064883	0
MGH36_P3_G05	NA	black	0	0.24975	0
MGH36_P3_G06	NA	black	0	1.373	0
MGH36_P3_G08	NA	black	0	0.21785	0
MGH36_P3_G09	NA	black	0	0.05797	0
MGH36_P3_G10	NA	black	0	0.07861	0
MGH36_P3_G11	NA	black	0	3.786	0
MGH36_P3_G12	NA	black	0	0.42008	0
MGH36_P3_H03	NA	black	0	0	0
MGH36_P3_H04	NA	black	0	4.2752	0
MGH36_P3_H05	NA	black	0	2.918	0
MGH36_P3_H07	NA	black	0	0	0
MGH36_P3_H08	NA	black	0	0.10969	0
MGH36_P3_H11	0.387742905421	green3	2	0.16092	2.9996
MGH36_P3_H12	1.06304122717	green3	2	4.4377	5.0815
MGH36_P4_A01	NA	black	0	0	5.6755
MGH36_P4_A02	NA	black	0	0.30685	0
MGH36_P4_A03	NA	black	0	2.9256	0
MGH36_P4_A04	0.249175763866	green3	2	3.7652	4.0626
MGH36_P4_A06	NA	black	0	4.8712	0
MGH36_P4_A07	NA	black	0	2.6135	0
MGH36_P4_A08	NA	black	0	1.8339	0
MGH36_P4_A11	NA	black	0	0	0
MGH36_P4_A12	-1.32096949287	green3	2	3.8621	0.64247
MGH36_P4_B02	NA	black	0	0.25459	0
MGH36_P4_B04	-1.72034554716	red	1	0.085425	5.2923
MGH36_P4_B05	NA	black	0	3.3886	0
MGH36_P4_B06	NA	black	0	0.10165	0
MGH36_P4_B08	-0.506411803629	green3	2	1.2898	4.4914
MGH36_P4_B09	NA	black	0	4.1858	0
MGH36_P4_B12	NA	black	0	0	4.6501
MGH36_P4_C02	NA	black	0	0.074505	0
MGH36_P4_C03	NA	black	0	3.369	0
MGH36_P4_C04	NA	black	0	0.31962	0
MGH36_P4_C05	NA	black	0	4.0918	0
MGH36_P4_C06	NA	black	0	0	0
MGH36_P4_C07	NA	black	0	0.40599	0
MGH36_P4_C08	NA	black	0	0.086784	0
MGH36_P4_C10	NA	black	0	0	0
MGH36_P4_C11	NA	black	0	0.10568	0
MGH36_P4_C12	-0.929230782987	green3	2	0.123	4.4559
MGH36_P4_D01	0.787811047823	green3	2	3.6152	5.6537
MGH36_P4_D02	-0.0437206588794	green3	2	0.05797	3.4807
MGH36_P4_D05	NA	black	0	0	0
MGH36_P4_D07	NA	black	0	0.089498	0
MGH36_P4_D08	NA	black	0	1.57	0
MGH36_P4_D09	NA	black	0	0.33457	0
MGH36_P4_D10	NA	black	0	1.2714	0
MGH36_P4_D11	NA	black	0	0	0
MGH36_P4_D12	NA	black	0	4.1209	0
MGH36_P4_E01	NA	black	0	3.5022	0
MGH36_P4_E02	NA	black	0	0.15056	0
MGH36_P4_E04	NA	black	0	0.38294	0
MGH36_P4_E06	NA	black	0	3.7981	0
MGH36_P4_E07	NA	black	0	4.1164	0
MGH36_P4_E08	NA	black	0	0	0
MGH36_P4_E09	NA	black	0	4.3258	0
MGH36_P4_E10	NA	black	0	0.14796	0
MGH36_P4_E11	NA	black	0	0	0
MGH36_P4_E12	2.47623535518	black	0	0.33457	0.41034
MGH36_P4_F01	-0.198602310575	green3	2	0.79161	3.7402
MGH36_P4_F02	NA	black	0	0.082703	0
MGH36_P4_F03	NA	black	0	0	0
MGH36_P4_F04	NA	black	0	0.094912	0
MGH36_P4_F05	-2.25417824765	black	0	0.16736	5.9458
MGH36_P4_F06	NA	black	0	0.14012	0
MGH36_P4_F07	-1.49320498914	red	1	0.5509	5.4122
MGH36_P4_F09	NA	black	0	0.24489	0
MGH36_P4_F10	0.946752479737	green3	2	4.5711	4.8078
MGH36_P4_F11	0.822282050131	green3	2	4.0314	5.0714
MGH36_P4_F12	NA	black	0	0.086784	0
MGH36_P4_G01	NA	black	0	0.14666	0
MGH36_P4_G02	NA	black	0	0.14535	0
MGH36_P4_G03	NA	black	0	0.19787	0
MGH36_P4_G04	0.0681164744025	green3	2	3.5993	3.6572
MGH36_P4_G05	2.28875235343	black	0	0.31615	0.66539
MGH36_P4_G06	NA	black	0	0.1375	0
MGH36_P4_G08	0.0339354543416	green3	2	3.1787	3.6277
MGH36_P4_G09	NA	black	0	0.123	0
MGH36_P4_G10	NA	black	0	3.722	0
MGH36_P4_G11	-0.53958360474	green3	2	0.36737	4.0952
MGH36_P4_H01	NA	black	0	2.6889	0
MGH36_P4_H02	NA	black	0	0	3.6067
MGH36_P4_H03	NA	black	0	0.22527	0
MGH36_P4_H04	NA	black	0	0.15834	0
MGH36_P4_H05	NA	black	0	3.4354	0
MGH36_P4_H09	0.278598014322	green3	2	4.5583	3.8703
MGH36_P4_H12	NA	black	0	0.20789	0
MGH36_P6_A02	-1.99943079996	black	0	4.3108	0.30918
MGH36_P6_A04	-0.199002864338	green3	2	1.0101	3.7838
MGH36_P6_A05	NA	black	0	0.10836	0
MGH36_P6_A07	NA	black	0	0.16736	0
MGH36_P6_A08	NA	black	0	0	0
MGH36_P6_A09	1.41799942291	blue	3	0.338	1.7115
MGH36_P6_A10	-0.865181824246	green3	2	0.52105	4.5693
MGH36_P6_A11	-1.93170470386	black	0	0.16736	5.5889
MGH36_P6_B03	NA	black	0	3.5514	0
MGH36_P6_B04	NA	black	0	0.17505	0
MGH36_P6_B05	0.124816667165	green3	2	3.0124	4.3232
MGH36_P6_B06	-0.133909830783	green3	2	3.987	3.2073
MGH36_P6_B10	NA	black	0	0.075875	0
MGH36_P6_B11	NA	black	0	2.6034	0
MGH36_P6_B12	NA	black	0	0.23634	0
MGH36_P6_C02	NA	black	0	3.9027	0
MGH36_P6_C03	NA	black	0	0	0
MGH36_P6_C04	NA	black	0	0.16221	0
MGH36_P6_C05	0.278124948627	green3	2	3.2227	4.7262
MGH36_P6_C06	NA	black	0	0	3.4729
MGH36_P6_C07	NA	black	0	2.3632	0
MGH36_P6_C08	-0.378333226689	green3	2	3.5193	2.3443
MGH36_P6_C09	NA	black	0	0.12829	0
MGH36_P6_C11	NA	black	0	0.25217	0
MGH36_P6_C12	NA	black	0	2.9969	0
MGH36_P6_D01	2.8318006154	black	0	0.10836	0.28806
MGH36_P6_D02	NA	black	0	3.4666	0
MGH36_P6_D03	NA	black	0	2.8516	0
MGH36_P6_D04	-0.505768125202	green3	2	4.4641	2.7338
MGH36_P6_D05	NA	black	0	2.7822	0
MGH36_P6_D06	0.317893206052	green3	2	3.4125	4.5617
MGH36_P6_D07	NA	black	0	3.6786	0
MGH36_P6_D08	NA	black	0	0.075875	0
MGH36_P6_D10	2.25327148073	black	0	4.2492	7.3238
MGH36_P6_D11	NA	black	0	0.077243	0
MGH36_P6_E02	NA	black	0	0	0
MGH36_P6_E03	NA	black	0	3.4889	0
MGH36_P6_E04	0.0544866974626	green3	2	2.829	4.1536
MGH36_P6_E05	NA	black	0	0	0
MGH36_P6_E06	NA	black	0	0.26303	0
MGH36_P6_E07	-0.176691503813	green3	2	0.92676	3.7299
MGH36_P6_E08	2.11356570026	black	0	0.10568	1.0969
MGH36_P6_E09	0.418575301342	green3	2	0.18015	2.9614
MGH36_P6_E10	NA	black	0	0.11636	0
MGH36_P6_E11	NA	black	0	2.9574	0
