Cell_name	Zvalue	Color	Cluster	NOX4	STAT3
MGH36_P4_H11	NA	black	0	0	2.4166
MGH53_P1_B01	-0.759706356563	red	1	0.14926	5.0552
MGH54_P2_G03	NA	black	0	0	0
MGH53_P2_F12	NA	black	0	0	4.0004
MGH36_P4_C09	NA	black	0	0	1.1808
MGH36_P5_C08	-0.810147826398	red	1	0.075875	4.7887
MGH36_P4_H06	NA	black	0	0	0.15834
MGH36_P10_E01	NA	black	0	0	0.65992
MGH36_P8_E12	NA	black	0	0	0
MGH53_P2_C10	NA	black	0	0	2.362
MGH36_P4_H08	NA	black	0	0	0
MGH36_P7_F07	0.382660950197	green3	2	0.096262	0.80488
MGH54_P2_A09	NA	black	0	0	4.6616
MGH36_P6_H11	NA	black	0	0	0.24123
MGH53_P2_E12	NA	black	0	0	0.35389
MGH53_P1_F08	NA	black	0	0	4.906
MGH36_P6_D12	-0.530919999272	red	1	0.08134	3.9205
MGH36_P2_H09	0.310458970079	red	1	0.10568	1.0412
MGH53_P1_C01	-0.797645040939	red	1	0.12168	5.0108
MGH53_P2_F11	NA	black	0	0	3.6218
MGH36_P6_H04	NA	black	0	0	0
MGH36_P5_G05	NA	black	0	0	5.8706
MGH53_P4_B04	NA	black	0	0	2.1548
MGH53_P1_E05	NA	black	0	0	4.0583
MGH36_P10_A08	NA	black	0	0	1.748
MGH36_P9_G01	NA	black	0	0	4.1782
MGH53_P4_A06	0.283550835597	red	1	0.14143	1.0475
MGH36_P6_B09	NA	black	0	0	2.7835
MGH54_P2_D09	NA	black	0	0	0.42868
MGH53_P1_E06	NA	black	0	0	0.21661
MGH36_P4_A10	0.514215076834	green3	2	0.10836	0.27262
MGH36_P6_B02	-0.411934845428	red	1	0.21785	4.0744
MGH53_P4_G06	NA	black	0	0	0.26544
MGH36_P8_F01	NA	black	0	0	2.2869
MGH36_P9_F06	NA	black	0	0	3.8066
MGH36_P5_H04	0.544629977363	green3	2	0.097611	0.20789
MGH53_P1_B03	NA	black	0	0	2.4597
MGH53_P2_D05	-0.108110797611	red	1	0.39397	3.2415
MGH36_P4_G12	NA	black	0	0	0
MGH53_P2_D11	NA	black	0	0	3.2377
MGH53_P4_C02	NA	black	0	0	1.7908
MGH53_P4_F04	NA	black	0	0	4.8984
MGH36_P3_D10	0.360889654969	green3	2	0.25217	0.16221
MGH54_P2_F04	0.518872440598	green3	2	0.11503	0.22404
MGH36_P6_A03	NA	black	0	0	3.8742
MGH53_P1_F07	NA	black	0	0	0.60217
MGH36_P5_H08	NA	black	0	0	1.2576
MGH54_P2_A04	NA	black	0	0	4.2833
MGH53_P4_E11	NA	black	0	0	3.7484
MGH53_P2_G03	-0.167701210293	red	1	0.10299	2.754
MGH36_P3_F04	0.509629864315	green3	2	0.094912	0.34823
MGH54_P2_B02	NA	black	0	0	0.51197
MGH36_P5_C07	0.633809541987	red	1	0.032806	0.17887
MGH53_P2_E02	NA	black	0	0	1.7545
MGH54_P2_F09	NA	black	0	0	0.090853
MGH36_P3_D05	NA	black	0	0	0
MGH36_P5_F12	NA	black	0	0	4.7992
MGH53_P2_H09	NA	black	0	0	0.123
MGH54_P2_F07	NA	black	0	0	0.10702
MGH36_P5_D10	NA	black	0	0	5.3642
MGH54_P2_F11	NA	black	0	0	0
MGH53_P2_H04	NA	black	0	0	3.4908
MGH36_P6_F09	NA	black	0	0	4.1458
MGH36_P9_F05	NA	black	0	0	3.2547
MGH36_P8_G11	NA	black	0	0	2.7011
MGH54_P2_A07	NA	black	0	0	0.18903
MGH36_P7_H06	0.589719080646	red	1	0.092207	0.067639
MGH53_P1_A01	NA	black	0	0	4.3062
MGH53_P1_A02	NA	black	0	0	4.2212
MGH54_P2_E07	NA	black	0	0	0.88206
MGH53_P4_F07	NA	black	0	0	0
MGH53_P2_C05	NA	black	0	0.15704	0
MGH53_P4_H07	NA	black	0	0	4.5999
MGH53_P2_C06	NA	black	0	0	5.2247
MGH36_P3_F03	NA	black	0	0	3.2575
MGH36_P2_A10	-0.428227689019	red	1	0.11636	3.6984
MGH53_P4_E03	NA	black	0	0	3.4805
MGH36_P9_D12	NA	black	0	0	1.7655
MGH54_P2_H03	NA	black	0	0	0.086784
MGH36_P4_D06	NA	black	0	0	0
MGH53_P2_B03	NA	black	0	0	1.2197
MGH53_P4_F03	NA	black	0	0	3.1048
MGH36_P10_E09	-0.355167947543	red	1	0.14926	3.5434
MGH53_P1_G02	NA	black	0	0	0
MGH54_P2_A02	NA	black	0	0	0.54201
MGH36_P3_A07	NA	black	0	0	0.10434
MGH53_P4_E12	NA	black	0	0	0.25701
MGH54_P2_A03	NA	black	0	0	2.764
MGH53_P4_E10	-0.358666630044	red	1	0.11103	3.4378
MGH54_P2_D08	NA	black	0	0	0.26424
MGH36_P8_A02	NA	black	0	0	2.8746
MGH54_P2_B07	-0.383338418382	red	1	0.1177	3.5445
MGH53_P1_B10	0.528255731712	green3	2	0.12961	0.11503
MGH53_P2_F08	-0.315665480646	red	1	0.21537	3.6284
MGH36_P10_A01	NA	black	0	0	2.7989
MGH36_P10_F01	NA	black	0	0	3.0023
MGH53_P4_G03	NA	black	0	0	4.3364
MGH53_P1_F12	NA	black	0	0	0.60597
MGH36_P4_B03	NA	black	0	0	3.9081
MGH54_P2_C07	-0.30090235982	red	1	0.12697	3.2753
MGH53_P1_B02	NA	black	0	0	0.77231
MGH54_P2_D05	NA	black	0	0	0.24853
MGH53_P2_C08	NA	black	0	0	4.1467
MGH53_P4_H09	NA	black	0	0	0.69599
MGH36_P8_H02	NA	black	0	0	2.3981
MGH36_P10_H10	NA	black	0	0	0.0028825
MGH53_P1_A12	-0.27389324131	red	1	0.29396	3.8123
MGH36_P8_F08	NA	black	0	0	0.53207
MGH53_P1_D10	NA	black	0	0	0
MGH53_P4_A09	0.375339310858	green3	2	0.22157	0.28924
MGH53_P2_H08	NA	black	0	0	1.7515
MGH36_P4_A09	NA	black	0	0	0.13881
MGH53_P4_C08	NA	black	0	0	0.18142
MGH36_P5_E04	NA	black	0	0	3.382
MGH53_P2_A07	NA	black	0	0	5.0291
MGH54_P2_G10	0.403100398463	green3	2	0.085425	0.76553
MGH36_P7_E06	NA	black	0	0	5.403
MGH36_P9_D04	NA	black	0	0	0
MGH53_P1_C12	0.521703536808	green3	2	0.1177	0.20038
MGH36_P8_F06	NA	black	0	0	2.648
MGH36_P1_G11	NA	black	0	0	0.041243
MGH53_P1_F02	NA	black	0	0	2.1512
MGH54_P2_D10	NA	black	0	0	1.7895
MGH36_P9_A08	NA	black	0	0	0
MGH53_P2_H03	-0.326576078554	red	1	0.14274	3.4144
MGH53_P4_B03	-0.300737912434	red	1	0.34028	4.3332
MGH53_P1_F10	NA	black	0	0	3.2611
MGH53_P4_B05	NA	black	0	0	0.36849
MGH53_P2_B08	NA	black	0	0	3.4542
MGH36_P3_B06	NA	black	0	0	0
MGH36_P10_C02	-0.307999497149	red	1	0.24853	3.7447
MGH36_P2_E05	NA	black	0	0	3.9114
MGH54_P2_G09	NA	black	0	0	0.16864
MGH54_P2_D12	NA	black	0	0	0.22527
MGH53_P2_H02	NA	black	0	0	0.8953
MGH36_P8_F11	NA	black	0	0	0.17249
MGH53_P2_A10	NA	black	0	0	1.4704
MGH54_P2_E09	NA	black	0	0	0.37962
MGH36_P3_H06	NA	black	0	0	0.51299
MGH36_P5_D05	0.625946956539	red	1	0.035624	0.19283
MGH54_P2_A11	NA	black	0	0	0.10434
MGH54_P2_G04	NA	black	0	0	0.11503
MGH36_P6_C01	NA	black	0	0	0
MGH53_P2_E06	-0.581898015094	red	1	0.17505	4.5432
MGH53_P1_E01	NA	black	0	0.10836	0
MGH36_P1_B01	NA	black	0	0	0.78325
MGH54_P2_H04	NA	black	0	0	0
MGH36_P2_C05	NA	black	0	0	3.9732
MGH36_P6_H05	NA	black	0	0	4.1121
MGH36_P10_E06	NA	black	0	0	0
MGH54_P2_F03	NA	black	0	0	0
MGH36_P4_B10	NA	black	0	0	0.19409
MGH54_P2_F02	NA	black	0	0	3.0086
MGH36_P2_E11	0.633708824568	red	1	0.042644	0.13881
MGH54_P2_D11	NA	black	0	0	3.1204
MGH54_P2_G01	0.229422358127	red	1	0.17632	1.177
MGH36_P9_D02	-0.149148789092	red	1	0.1903	2.8174
MGH54_P2_E06	NA	black	0	0	2.5046
MGH54_P16_F12	NA	black	0	0	2.6121
MGH53_P5_C12	NA	black	0	0	0.53207
MGH54_P12_C10	NA	black	0	0	0
MGH54_P16_F02	NA	black	0	0	1.7307
MGH54_P11_C11	NA	black	0	0	0.098958
MGH53_P1_E03	NA	black	0	0	3.8798
MGH54_P15_D06	NA	black	0	0	3.2502
MGH54_P14_F05	NA	black	0	0	4.0637
MGH54_P16_A03	NA	black	0	0	3.48
MGH53_P4_G11	0.363795827459	green3	2	0.25217	0.14535
MGH53_P7_B09	NA	black	0	0	0
MGH54_P17_D11	NA	black	0	0	0
MGH54_P10_G04	0.254264344751	red	1	0.16864	1.0909
MGH54_P10_C06	NA	black	0	0	0
MGH53_P2_A02	NA	black	0	0.24853	0
MGH53_P4_F06	0.538933493511	green3	2	0.1177	0.13356
MGH53_P7_F07	NA	black	0	0	0
MGH53_P11_F06	NA	black	0	0	0.11103
MGH53_P5_G02	NA	black	0	0	4.8963
MGH53_P1_F09	-0.252462931916	red	1	0.13225	3.1104
MGH53_P11_H03	-0.432438546701	red	1	0.2302	4.2395
MGH53_P10_D11	NA	black	0	0	5.0138
MGH53_P1_A10	NA	black	0	0	2.8532
MGH53_P4_B12	NA	black	0	0	0.045443
MGH53_P5_H09	NA	black	0	0	4.8863
MGH53_P9_D07	NA	black	0	0	0
MGH53_P11_E03	NA	black	0	0	3.2469
MGH53_P1_C02	NA	black	0	0	0.17887
MGH53_P10_F11	NA	black	0	0	0
MGH53_P1_E02	NA	black	0	0	0.56462
MGH53_P1_D07	NA	black	0	0	0.2916
MGH53_P6_B01	NA	black	0	0	5.3557
MGH53_P2_G04	-0.82837834753	red	1	0.12829	5.1602
MGH53_P1_C05	NA	black	0	0	4.2389
MGH53_P2_G09	0.43472094025	green3	2	0.16736	0.3115
MGH53_P5_A05	NA	black	0	0	0
MGH53_P5_F04	NA	black	0	0	4.7156
MGH53_P10_H03	NA	black	0	0.090853	0
MGH53_P11_F08	NA	black	0	0	0
MGH54_P7_F12	NA	black	0	0	3.9278
MGH53_P8_F03	NA	black	0	0	2.9241
MGH53_P11_A07	NA	black	0	0	0.30685
MGH53_P6_B11	NA	black	0	0	0
MGH53_P4_C07	NA	black	0	0	1.2054
MGH53_P6_H06	NA	black	0	0	6.2253
MGH36_P1_A01	NA	black	0	0	5.1066
MGH36_P1_A02	NA	black	0	0	0
MGH36_P1_A03	NA	black	0	0	4.8359
MGH36_P1_A04	0.197165540288	red	1	0.096262	1.4699
MGH36_P1_A05	-0.582716617521	red	1	0.16736	4.5011
MGH36_P1_A06	NA	black	0	0	4.7378
MGH36_P1_A08	NA	black	0	0	3.3377
MGH36_P1_A10	NA	black	0	0.18142	0
MGH36_P1_A12	0.607749931868	red	1	0.07861	0.067639
MGH36_P1_B02	NA	black	0	0	2.9048
MGH36_P1_B03	NA	black	0	0	3.6714
MGH36_P1_B04	NA	black	0	0	2.7575
MGH36_P1_B06	NA	black	0	0	3.9491
MGH36_P1_B07	-0.665905918867	red	1	0.11636	4.5258
MGH36_P1_B08	NA	black	0	0	3.8557
MGH36_P1_B09	-0.49870041211	red	1	0.052416	3.7219
MGH36_P1_B10	0.473434192132	green3	2	0.09356	0.48543
MGH36_P1_B11	NA	black	0	0	5.4514
MGH36_P1_B12	0.116535092845	red	1	0.027154	1.8086
MGH36_P1_C01	0.505752382245	green3	2	0.10969	0.29866
MGH36_P1_C03	0.648290544139	red	1	0.03984	0.10299
MGH36_P1_C05	NA	black	0	0	0.15186
MGH36_P1_C06	NA	black	0	0	4.3418
MGH36_P1_C07	NA	black	0	0	3.9287
MGH36_P1_C08	0.621203351596	red	1	0.052416	0.13881
MGH36_P1_C09	-0.130578147826	red	1	0.038436	2.5649
MGH36_P1_C10	-1.12733809763	red	1	0.042644	5.5562
MGH36_P1_C11	0.584940176719	red	1	0.071763	0.17887
MGH36_P1_D01	-0.189248490076	red	1	0.07861	2.7945
MGH36_P1_D02	0.512002708836	green3	2	0.082703	0.38957
MGH36_P1_D03	NA	black	0	0	3.265
MGH36_P1_D04	NA	black	0	0	1.3545
MGH36_P1_D06	NA	black	0	0	1.748
MGH36_P1_D07	NA	black	0	0	3.0812
MGH36_P1_D08	-0.807721466053	red	1	0.059355	4.6968
MGH36_P1_D09	NA	black	0	0	3.8144
MGH36_P1_D11	NA	black	0	0	0.1177
MGH36_P1_F01	NA	black	0	0	4.978
MGH36_P1_F02	-0.602671338227	red	1	0.09356	4.2041
MGH36_P1_F03	0.653242341325	red	1	0.049631	0.044044
MGH36_P1_F04	NA	black	0	0	2.2678
MGH36_P1_F05	0.0674533933543	red	1	0.028569	1.9575
MGH36_P1_F06	NA	black	0	0	4.8329
MGH36_P1_F08	NA	black	0	0	2.7985
MGH36_P1_F11	NA	black	0	0	4.4908
MGH36_P1_F12	NA	black	0	0	0.020058
MGH36_P1_G02	NA	black	0	0	5.025
MGH36_P1_G03	NA	black	0	0	3.2621
MGH36_P1_G04	NA	black	0	0	4.9308
MGH36_P1_G07	NA	black	0	0	4.9465
MGH36_P1_G08	NA	black	0	0	1.2314
MGH36_P1_G09	-0.366433989911	red	1	0.020058	3.2438
MGH36_P1_H02	NA	black	0	0	0.034216
MGH36_P1_H03	0.319763114539	red	1	0.0071955	1.2209
MGH36_P1_H04	NA	black	0	0	3.0261
MGH36_P1_H05	0.680283000995	red	1	0.027154	0.053806
MGH36_P1_H06	NA	black	0	0	0.14666
MGH36_P1_H07	NA	black	0	0	4.791
MGH36_P1_H09	-0.366787411716	red	1	0.075875	3.371
MGH36_P1_H10	NA	black	0	0	0.10836
MGH36_P3_A01	NA	black	0	0	0.56657
MGH36_P3_A02	NA	black	0	0	0
MGH36_P3_A03	0.00262339481474	red	1	0.5568	3.358
MGH36_P3_A04	0.434326576752	green3	2	0.15445	0.3774
MGH36_P3_A05	-0.526753142831	red	1	0.14274	4.1604
MGH36_P3_A08	0.49680489296	green3	2	0.13225	0.22774
MGH36_P3_A09	NA	black	0	0	0.40272
MGH36_P3_A10	NA	black	0	0	4.3201
MGH36_P3_A12	-0.399045093993	red	1	0.22651	4.0636
MGH36_P3_B02	NA	black	0	0	4.2873
MGH36_P3_B03	NA	black	0	0	0.21909
MGH36_P3_B04	-0.00913804043609	red	1	0.53804	3.1806
MGH36_P3_B09	NA	black	0	0	0.21039
MGH36_P3_B10	NA	black	0	0	4.6207
MGH36_P3_B11	NA	black	0	0	4.481
MGH36_P3_B12	NA	black	0	0	5.0323
MGH36_P3_C01	NA	black	0	0	0.36401
MGH36_P3_C03	NA	black	0	0	0.15575
MGH36_P3_C04	NA	black	0	0	0.87106
MGH36_P3_C05	NA	black	0	0	0.77231
MGH36_P3_C06	NA	black	0	0	3.5349
MGH36_P3_C08	-0.845636944966	red	1	0.17121	5.5409
MGH36_P3_C11	NA	black	0	0	4.9999
MGH36_P3_C12	NA	black	0	0	3.5068
MGH36_P3_D01	NA	black	0	0	3.62
MGH36_P3_D02	NA	black	0	0	2.3887
MGH36_P3_D03	NA	black	0	0	0
MGH36_P3_D04	NA	black	0	0	4.9654
MGH36_P3_D07	NA	black	0	0	0
MGH36_P3_D08	NA	black	0	0	2.7805
MGH36_P3_D09	NA	black	0	0	4.0121
MGH36_P3_D11	NA	black	0	0	4.1649
MGH36_P3_E02	NA	black	0	0	0.52306
MGH36_P3_E04	NA	black	0	0	1.0222
MGH36_P3_E05	NA	black	0	0	0.3115
MGH36_P3_E06	NA	black	0	0	0.22157
MGH36_P3_E07	0.53133578409	green3	2	0.1003	0.24489
MGH36_P3_E08	-0.687589319847	red	1	0.12433	4.6439
MGH36_P3_E09	0.0647584577827	red	1	0.1137	1.9287
MGH36_P3_E10	NA	black	0	0	0.48027
MGH36_P3_E11	NA	black	0	0	0
MGH36_P3_E12	NA	black	0	0	2.8323
MGH36_P3_F01	NA	black	0	0	0.16993
MGH36_P3_F02	0.39678651474	green3	2	0.17887	0.42223
MGH36_P3_F05	-0.626600683875	red	1	0.082703	4.2357
MGH36_P3_F06	NA	black	0	0	1.1641
MGH36_P3_F07	NA	black	0	0	0.57725
MGH36_P3_F08	NA	black	0	0	0.21537
MGH36_P3_F09	NA	black	0	0.301	0
MGH36_P3_F10	NA	black	0	0	0.12565
MGH36_P3_F11	0.50222566383	green3	2	0.098958	0.3584
MGH36_P3_F12	NA	black	0	0	4.8329
MGH36_P3_G01	NA	black	0	0	0.35727
MGH36_P3_G02	NA	black	0	0	5.1266
MGH36_P3_G03	0.382706537411	green3	2	0.086784	0.8335
MGH36_P3_G04	NA	black	0	0	0.31962
MGH36_P3_G05	NA	black	0	0	4.2587
MGH36_P3_G06	0.435318190307	green3	2	0.10836	0.56949
MGH36_P3_G08	0.491626981393	green3	2	0.1137	0.33457
MGH36_P3_G09	-0.631051673147	red	1	0.086784	4.2678
MGH36_P3_G10	NA	black	0	0	1.3248
MGH36_P3_G11	-0.428804375767	red	1	0.085425	3.6003
MGH36_P3_G12	NA	black	0	0	2.344
MGH36_P3_H03	NA	black	0	0	4.0136
MGH36_P3_H04	NA	black	0	0	3.5234
MGH36_P3_H05	NA	black	0	0	3.4433
MGH36_P3_H07	NA	black	0	0	4.1604
MGH36_P3_H08	NA	black	0	0	2.2546
MGH36_P3_H11	-0.451332285848	red	1	0.12697	3.8189
MGH36_P3_H12	-0.55413425234	red	1	0.19409	4.5478
MGH36_P4_A01	NA	black	0	0	0.23389
MGH36_P4_A02	NA	black	0	0	2.4683
MGH36_P4_A03	-0.318336728666	red	1	0.31499	4.2267
MGH36_P4_A04	NA	black	0	0	0.12961
MGH36_P4_A06	NA	black	0	0	0
MGH36_P4_A07	NA	black	0	0	3.1515
MGH36_P4_A08	NA	black	0	0	0.51904
MGH36_P4_A11	NA	black	0	0	0.75873
MGH36_P4_A12	NA	black	0	0	0
MGH36_P4_B02	0.429316388946	green3	2	0.19409	0.18777
MGH36_P4_B04	NA	black	0	0	0.26784
MGH36_P4_B05	NA	black	0	0	3.3262
MGH36_P4_B06	NA	black	0	0	0.76384
MGH36_P4_B08	NA	black	0	0	4.5679
MGH36_P4_B09	NA	black	0	0	0.45838
MGH36_P4_B12	0.579156902575	red	1	0.096262	0.086784
MGH36_P4_C02	NA	black	0	0	0.19409
MGH36_P4_C03	NA	black	0	0.11503	0
MGH36_P4_C04	NA	black	0	0	0
MGH36_P4_C05	NA	black	0	0	0.12168
MGH36_P4_C06	NA	black	0	0	4.2105
MGH36_P4_C07	NA	black	0	0	4.3734
MGH36_P4_C08	NA	black	0	0.13225	0
MGH36_P4_C10	0.462552152352	green3	2	0.15316	0.26424
MGH36_P4_C11	-0.984094597467	red	1	0.16092	5.9726
MGH36_P4_C12	-0.865744669373	red	1	0.096262	5.0826
MGH36_P4_D01	0.51542769128	green3	2	0.13093	0.15963
MGH36_P4_D02	NA	black	0	0	4.2851
MGH36_P4_D05	NA	black	0	0	0.25217
MGH36_P4_D07	NA	black	0	0	0.11103
MGH36_P4_D08	NA	black	0	0	5.7746
MGH36_P4_D09	0.348887413595	green3	2	0.26664	0.123
MGH36_P4_D10	NA	black	0	0	4.4757
MGH36_P4_D11	NA	black	0	0	5.0833
MGH36_P4_D12	0.585306302666	red	1	0.10836	0.0028825
MGH36_P4_E01	NA	black	0	0	3.2738
MGH36_P4_E02	-0.522655668927	red	1	0.1177	4.0346
MGH36_P4_E04	NA	black	0	0	0.51096
MGH36_P4_E06	NA	black	0	0	3.8034
MGH36_P4_E07	NA	black	0	0.11503	0
MGH36_P4_E08	0.311922746956	red	1	0.25701	0.41359
MGH36_P4_E09	NA	black	0	0	5.9541
MGH36_P4_E10	NA	black	0	0.22404	0
MGH36_P4_E11	NA	black	0	0.10836	0
MGH36_P4_E12	NA	black	0	0	0.79826
MGH36_P4_F01	NA	black	0	0	0.11503
MGH36_P4_F02	-0.517227159874	red	1	0.12565	4.0491
MGH36_P4_F03	-0.143467480364	red	1	0.11103	2.6787
MGH36_P4_F04	0.248188244033	red	1	0.76723	4.0369
MGH36_P4_F05	-0.650942568242	red	1	0.13093	4.5507
MGH36_P4_F06	NA	black	0	0	4.7944
MGH36_P4_F07	NA	black	0	0	2.727
MGH36_P4_F09	0.551863399513	green3	2	0.1003	0.16864
MGH36_P4_F10	0.558940717604	green3	2	0.10568	0.11636
MGH36_P4_F11	NA	black	0	0	0.21039
MGH36_P4_F12	0.0868385792635	red	1	0.13093	1.8351
MGH36_P4_G01	NA	black	0	0	3.4805
MGH36_P4_G02	NA	black	0	0	6.3116
MGH36_P4_G03	NA	black	0	0	0.38626
MGH36_P4_G04	NA	black	0	0	2.9514
MGH36_P4_G05	0.368069437425	green3	2	0.097611	0.8536
MGH36_P4_G06	NA	black	0	0	0.1776
MGH36_P4_G08	NA	black	0	0	0
MGH36_P4_G09	NA	black	0	0.18523	0
MGH36_P4_G10	NA	black	0	0	0.11103
MGH36_P4_G11	NA	black	0	0	0.39397
MGH36_P4_H01	1.99485022567	black	0	2.3827	3.9372
MGH36_P4_H02	NA	black	0	0.14274	0
MGH36_P4_H03	-0.842956582538	red	1	0.17632	5.573
MGH36_P4_H04	NA	black	0	0	0.20914
MGH36_P4_H05	NA	black	0	0	0.13488
MGH36_P4_H09	-0.198345498883	red	1	0.13881	2.9216
MGH36_P4_H12	NA	black	0	0	0
MGH36_P6_A02	NA	black	0	0	3.5737
MGH36_P6_A04	-0.0727627159719	red	1	0.59455	0.23634
MGH36_P6_A05	0.43799406426	green3	2	0.16864	0.29042
MGH36_P6_A07	NA	black	0	0	0.18142
MGH36_P6_A08	NA	black	0	0	0.27977
MGH36_P6_A09	NA	black	0	0	0.3774
MGH36_P6_A10	NA	black	0	0	0.084064
MGH36_P6_A11	NA	black	0	0.15704	0
MGH36_P6_B03	NA	black	0	0	5.8989
MGH36_P6_B04	NA	black	0	0	1.7502
MGH36_P6_B05	NA	black	0	0	1.3511
MGH36_P6_B06	NA	black	0	0	3.4105
MGH36_P6_B10	NA	black	0	0	4.1595
MGH36_P6_B11	NA	black	0	0	0.29866
MGH36_P6_B12	NA	black	0	0	0
MGH36_P6_C02	NA	black	0	0	4.2593
MGH36_P6_C03	0.41697826617	green3	2	0.20414	0.1865
MGH36_P6_C04	NA	black	0	0	0
MGH36_P6_C05	NA	black	0	0	0
MGH36_P6_C06	NA	black	0	0	4.0746
MGH36_P6_C07	NA	black	0	0	4.1633
MGH36_P6_C08	NA	black	0	0	4.183
MGH36_P6_C09	NA	black	0	0	0.17249
MGH36_P6_C11	NA	black	0	0	5.0442
MGH36_P6_C12	NA	black	0	0	0.59072
MGH36_P6_D01	NA	black	0	0	0
MGH36_P6_D02	-0.00244512140799	red	1	0.54992	3.3403
MGH36_P6_D03	NA	black	0	0	4.5569
MGH36_P6_D04	NA	black	0	0	0.11503
MGH36_P6_D05	-0.385226844646	red	1	0.22404	3.9866
MGH36_P6_D06	NA	black	0	0.0071955	0
MGH36_P6_D07	-0.212284074081	red	1	0.13093	2.959
MGH36_P6_D08	-0.267074910997	red	1	0.23634	3.4885
MGH36_P6_D10	-0.657591902927	red	1	0.10434	4.4369
MGH36_P6_D11	NA	black	0	0	4.5056
MGH36_P6_E02	NA	black	0	0	0
MGH36_P6_E03	NA	black	0	0	3.3138
MGH36_P6_E04	NA	black	0	0	3.1462
MGH36_P6_E05	-0.592695179984	red	1	0.10969	4.2419
MGH36_P6_E06	0.547462868224	green3	2	0.10568	0.15963
